,dart_AdvertisingExpenses,dart_AllowanceForOtherDoubtfulAccounts,dart_AmortisationExpense,dart_BadDebtExpenses,dart_Commissions,dart_CommunicationExpenses,dart_ConferenceExpenses,dart_CostOfSalesFromConstruction,dart_CostOfSalesFromConstructionContracts,dart_CostOfSalesFromRenderingOfServices,dart_CostOfSalesFromRenderingOfServicesCommission,dart_CostOfSalesFromRenderingOfServicesProcession,dart_CostOfSalesFromRenderingOfServicesRental,dart_CostOfSalesFromRenderingOfServicesTransportation,dart_CostOfSalesFromSaleOfGoods,dart_CostOfSalesFromSaleOfGoodsMerchandises,dart_CostOfSalesFromSaleOfGoodsProduct,dart_CostOfSalesFromSaleOfGoodsRealEstate,dart_CostOfSalesFromServices,dart_DepreciationExpense,dart_DividendIncome,dart_DividendIncomeNonOperating,dart_Donations,dart_EmployeeBenefits,dart_EngagementExpenses,dart_EntertainmentExpenses,dart_ExclusiveLineUseExpense,dart_ExpensesOfProvisionsForRestoration,dart_ExportOverallExpense,dart_FreightExpenses,dart_GainOnForeignExchangeTranslations,dart_GainsForeignCurrencyTransactions,dart_GainsFromFinancialGuaranteeFinancialIncome,dart_GainsOnDisposalsOfFairValueFinancialAssetFinancialIncome,dart_GainsOnDisposalsOfInventory,dart_GainsOnDisposalsOfInvestmentProperty,dart_GainsOnDisposalsOfNoncurrentAssetsOrDisposalGroupsClassifiedAsHeldForSale,dart_GainsOnDisposalsOfPropertyPlantAndEquipment,dart_GainsOnForeignCurrencyTransactionsFiancialIncome,dart_GainsOnForeignExchangeTranslationsFinancialIncome,dart_GainsOnTransactionOfDerivativeFinancialInstrumentsFinancialIncome,dart_GainsOnValuationOfDerivativeFinancialInstrumentsFinancialIncome,dart_GainsOnValuationOfFairValueFinancialAssetFinancialIncome,dart_GainsOnValuationOfForeignExchangeForwardFinancialIncome,dart_GainsOnValuationOfLongTermFinancialInstruments,dart_ImpairmentLossRecoveryOfAccountsReceivables,dart_ImpairmentLossesOnAssociates,dart_InsurancePremiums,dart_InterestExpenseFinanceExpense,dart_InterestIncomeFinanceIncome,dart_LeaseholdAdministrationExpense,dart_LentIncome,dart_LossOnForeignExchangeTranslations,dart_LossesForeignCurrencyTransactions,dart_LossesOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,dart_LossesOnDisposalOfIntangibleAssets,dart_LossesOnDisposalOfInvestmentProperty,dart_LossesOnDisposalOfNonCurrentAssetsOrDisposalGroupsClassifiedAsHeldForSale,dart_LossesOnDisposalsOfFairValueFinancialAssetFinancialExpense,dart_LossesOnDisposalsOfPropertyPlantAndEquipment,dart_LossesOnForeignCurrencyTransactionsFiancialExpense,dart_LossesOnForeignExchangeTranslationsFinancialExpense,dart_LossesOnSaleOfInvestmentsInSubsidiaries,dart_LossesOnTransactionOfDerivativeFinancialInstrumentsFinancialExpense,dart_LossesOnValuationOfFairValueFinancialAssetFinancialExpense,dart_LossesOnValuationOfForeignExchangeForwardFiancialExpense,dart_MembershipExpenses,dart_MiscellaneousExpenses,dart_MiscellaneousIncome,dart_MiscellaneousLosses,dart_NetworkContactSettleExpense,dart_OperatingExpenses,dart_OperatingIncomeLoss,dart_OrdinaryDevelopmentExpense,dart_OtherCostOfSales,dart_OtherFinancialExpenses,dart_OtherFinancialIncome,dart_OtherGains,dart_OtherLosses,dart_PackingExpenses,dart_ProfitsOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,dart_ProvisionForSeveranceIndemnities,dart_PublicationExpenses,dart_RentalExpenses,dart_RepairExpenses,dart_RevenueFromConstruction,dart_RevenueFromRenderingOfServicesCommission,dart_RevenueFromRenderingOfServicesProcession,dart_RevenueFromRenderingOfServicesRental,dart_RevenueFromRenderingOfServicesTransportation,dart_RevenueFromSaleOfGoodsMerchandise,dart_RevenueFromSaleOfGoodsProduct,dart_RevenueFromSaleOfGoodsRealEstate,dart_RevenueFromServices,dart_ReversalsOfAllowanceForOtherDoubtfulAccounts,dart_SalariesWages,dart_SamplesExpenses,dart_SupplyExpenses,dart_TaxesDues,dart_TotalSellingGeneralAdministrativeExpenses,dart_TrainingExpenses,dart_TravelExpenses,dart_UtilityExpenses,dart_VehicleMaintenanceExpenses,entity_BasicEarningsLossPerShare,entity_BasicEarningsLossPerShareFromContinuingOperations,entity_BasicEarningsLossPerShareFromDiscontinuedOperations,entity_CostOfSales,entity_DilutedEarningsLossPerShare,entity_DilutedEarningsLossPerShareFromContinuingOperations,entity_DilutedEarningsLossPerShareFromDiscontinuedOperations,entity_EarningsPerShareAbstract,entity_FinanceCosts,entity_FinanceIncome,entity_GrossProfit,entity_IncomeStatementAbstract,entity_OperatingExpenses,entity_OperatingIncomeLoss,entity_OtherGains,entity_OtherLosses,entity_ProfitLoss,entity_ProfitLossAttributableToAbstract,entity_ProfitLossAttributableToNoncontrollingInterests,entity_ProfitLossAttributableToOwnersOfParent,entity_ProfitLossFromContinuingOperations,entity_ProfitLossFromDiscontinuedOperations,entity_Revenue,entity_TotalSellingGeneralAdministrativeExpenses,ifrs-full_BasicEarningsLossPerShare,ifrs-full_BasicEarningsLossPerShareFromContinuingOperations,ifrs-full_BasicEarningsLossPerShareFromDiscontinuedOperations,ifrs-full_CostOfSales,ifrs-full_DifferenceBetweenCarryingAmountOfNoncashAssetsDistributedAndCarryingAmountOfDividendsPayable,ifrs-full_DilutedEarningsLossPerShare,ifrs-full_DilutedEarningsLossPerShareFromContinuingOperations,ifrs-full_DilutedEarningsLossPerShareFromDiscontinuedOperations,ifrs-full_EarningsPerShareAbstract,ifrs-full_EmployeeBenefitsExpense,ifrs-full_FinanceCosts,ifrs-full_FinanceIncome,ifrs-full_GainsArisingFromDerecognitionOfFinancialAssetsMeasuredAtAmortisedCost,ifrs-full_GainsLossesArisingFromDifferenceBetweenPreviousCarryingAmountAndFairValueOfFinancialAssetsReclassifiedAsMeasuredAtFairValue,ifrs-full_GainsLossesOnNetMonetaryPosition,ifrs-full_GrossProfit,ifrs-full_IncomeTaxExpenseContinuingOperations,ifrs-full_OtherRevenue,ifrs-full_ProfitLoss,ifrs-full_ProfitLossAttributableToAbstract,ifrs-full_ProfitLossAttributableToNoncontrollingInterests,ifrs-full_ProfitLossAttributableToOwnersOfParent,ifrs-full_ProfitLossBeforeTax,ifrs-full_ProfitLossFromContinuingOperations,ifrs-full_ProfitLossFromDiscontinuedOperations,ifrs-full_Revenue,ifrs-full_RevenueFromConstructionContracts,ifrs-full_RevenueFromRenderingOfServices,ifrs-full_RevenueFromSaleOfGoods,ifrs-full_SharebasedPaymentTransactions
[012750],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"47,924,654,691",,,,,"2,918,069,492","5,114,281,906",,,,,,,,,,,,,,,,,,,,,"87,998,486,474",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,023",,,"397,753,895,603",,"1,023",,,,,"312,276,136","1,304,494,026",,,,"135,923,141,165","12,143,291,080",,"34,577,369,087",,"-108,417","34,577,477,504","46,720,660,167",,,"533,677,036,768",,,,
[123700],"2,301,737",,"45,477,042","10,599,730","759,307,345","45,017,054",,,,,,,,,"29,232,586,055","332,176,861","28,900,409,194",,,"117,547,051",,0,0,"369,023,386",,"28,082,049",,,"776,536,454","269,931,262","1,858,545,020","2,131,003,911",,"2,482,777",,,,0,,,,,0,,,,,"43,404,635",0,"269,402,014",,"5,700,000","23,067,991","90,939,475",,,,,,"1,419,797",,,,,"745,757,937",,,"71,169,021","504,311,176","107,319,943",,,"2,680,456,871","614,858,403",,,,"4,773,904,631","222,747,206","262,648,984",,"185,526,594","6,097,846","154,462,441","21,340,658",,,,,,"250,320,200","37,913,646,557",,,,"2,069,313,073","26,466,765","34,476,352","151,892,525","6,250,923,831","15,988,040","95,877,954",,"73,577,430",,,,,,,,,,0,,,,,"274,344,524",,,,,,,,,,267,267,,"29,232,586,055",,267,267,,,,"745,757,937","271,884,791",,,,"8,931,380,702","2,322,677,885",,"4,435,063,265",,"261,714,402","4,173,348,863","6,757,741,150",,,"38,163,966,757",,,"38,163,966,757",
[025530],"2,301,737","11,090,906","46,001,138","10,599,730","749,419,096","49,620,661",,,,,,,,,"29,028,209,283","332,176,861","28,696,032,422",,,"231,390,964",,"209,635,360","270,000","424,386,792",,"40,714,887",,,"813,567,127","271,014,432","2,308,967,780","2,334,499,497",,,,,,0,,,,,,,,,,"66,905,614","64,712,836","591,242,673",,"1,950,000","131,905,013","160,349,000",,,,,,"1,419,797",,,,,,,,"365,304,002","501,677,787","104,978,086",,,"2,735,561,542","768,896,884",,,,"5,636,181,193","410,012,802",,,"260,844,393","6,813,346","154,462,441",,,,,"298,430,000",,"250,320,200","38,461,799,238",,,"5,106,245","2,552,371,591","26,466,765","38,535,434","165,187,896","7,246,778,613","15,988,040","104,144,944",,"81,840,699",,,,,,,,,"36,876,681","2,482,777",,,,,"274,344,524",,,,,,,,,,201,,,"29,028,209,283",,201,,,,,"847,347,454","605,837,283",,,,"9,982,340,155","2,420,340,485",,"5,299,879,277",,"2,578,813,913","2,721,065,364","7,720,219,762",,,"39,010,549,438",,"298,430,000","38,712,119,438",
[069510],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,979,627,195",,,,,"3,784,017,892","2,069,742,488",,,,,,,,,,,,,,,,,,,,,"6,702,132,582",,,,,,,,,,,,,,,,,,,,,,,,,,,,,343,,,"64,698,523,820",,,,,,,"68,917,231","405,143,094",,,,"8,681,759,777","1,143,641,656",,"2,886,486,806",,,"2,886,486,806","4,030,128,462",,,"73,380,283,597",,,,
[050760],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,579,117,798",,,,,"628,269,129","98,270,958",,,,,,,,,,,,,,,,,,,,,"3,130,103,889",,,,,,,,,,,,,,,,"-14,553,510",,,,,,,,,,,,,227,,,"21,801,718,677",,227,,,,,"207,254,490","1,247,979,374",,,,"5,763,655,409","645,696,746",,"3,564,871,727",,"1,891,488","3,562,980,239","4,210,568,473",,,"27,565,374,086",,,,
[003800],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,044,251,970",,,,,"1,294,561,499","67,316,147",,,,,,,,,,,,,,,,,,,,,"33,582,676,306",,,,,,,,,,,,,,,,"75,512,683",,,,,,,,,,,,,564,,,"25,941,893,107",,564,,,,,"2,631,283,273","1,805,911,150",,,,"40,626,928,276","1,584,217,960",,"5,786,394,556",,,,"7,370,612,516",,,"66,568,821,383",,,,
[037950],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-688,724,697",,,,,"767,658,006","613,489,221",,,,,,,,,,,,,,,,,,,,,"1,896,565,917",,,,,,,,,,,,,,,,"62,928,177",,,,,,,,,,,,,-3,,,"7,403,831,001",,-3,,,,,"40,831,966","41,209,108",,,,"1,207,841,220","521,426",,"-597,628,373",,"-306,589,517","-291,038,856","-597,106,947",,,"8,611,672,221",,,,
[111770],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"50,578,169,792",,,,,"41,950,884,339","26,363,623,888",,,,,,,,,,,,,,,,,,,,,"91,598,223,726",,,,,,,,,,,,,,,,,,,,,,,,,,,,,966,,,"386,849,118,612",,,,,,,"4,038,870,743","1,070,315,415",,,,"142,176,393,518","15,762,970,446",,"47,433,904,469",,"5,055,816,590","42,378,087,879","63,196,874,915",,,"529,025,512,130",,,,
[009970],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"57,151,523,255",,,,,"57,874,414,739","29,681,577,506",,,,,,,,,,,,,,,,,,,,,"134,494,250,720",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,623",,,"396,111,154,923",,,,,,,"3,727,364,340","2,252,896,884",,,,"191,645,773,975","21,995,843,672",,"61,874,049,360",,"31,434,766,623","30,439,282,737","83,869,893,032",,,"587,756,928,898",,,,
[036000],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-22,322,955,698",,,,,"13,149,251,098","28,656,347,552",,,,,,,,,,,,,,,,,,,,,"15,744,132,369",,,,,,,,,,,,,,,,"143,398,957",,,,,,,,,,,,,-430,-430,,"160,912,635,883",,,,,,,"7,812,135,629","1,654,179,718",,,,"-6,578,823,329","-9,380,744,027",,"-34,750,662,993",,"-24,837,820,670","-9,912,842,323","-44,131,407,020","-34,750,662,993",,"154,333,812,554",,,,
