,dart_AdvertisingExpenses,dart_AllowanceForOtherDoubtfulAccounts,dart_AmortisationExpense,dart_BadDebtExpenses,dart_Commissions,dart_CommunicationExpenses,dart_ConferenceExpenses,dart_CostOfSalesFromConstruction,dart_CostOfSalesFromConstructionContracts,dart_CostOfSalesFromRenderingOfServices,dart_CostOfSalesFromRenderingOfServicesCommission,dart_CostOfSalesFromRenderingOfServicesProcession,dart_CostOfSalesFromRenderingOfServicesRental,dart_CostOfSalesFromRenderingOfServicesTransportation,dart_CostOfSalesFromSaleOfGoods,dart_CostOfSalesFromSaleOfGoodsMerchandises,dart_CostOfSalesFromSaleOfGoodsProduct,dart_CostOfSalesFromSaleOfGoodsRealEstate,dart_CostOfSalesFromServices,dart_DepreciationExpense,dart_DividendIncome,dart_DividendIncomeNonOperating,dart_Donations,dart_EmployeeBenefits,dart_EngagementExpenses,dart_EntertainmentExpenses,dart_ExclusiveLineUseExpense,dart_ExportOverallExpense,dart_FreightExpenses,dart_GainOnForeignExchangeTranslations,dart_GainsForeignCurrencyTransactions,dart_GainsFromCommission,dart_GainsFromFinancialGuaranteeFinancialIncome,dart_GainsOnDisposalsOfFairValueFinancialAssetFinancialIncome,dart_GainsOnDisposalsOfInventory,dart_GainsOnDisposalsOfInvestmentProperty,dart_GainsOnDisposalsOfPropertyPlantAndEquipment,dart_GainsOnForeignCurrencyTransactionsFiancialIncome,dart_GainsOnForeignExchangeTranslationsFinancialIncome,dart_GainsOnTransactionOfDerivativeFinancialInstrumentsFinancialIncome,dart_GainsOnValuationOfDerivativeFinancialInstrumentsFinancialIncome,dart_GainsOnValuationOfFairValueFinancialAssetFinancialIncome,dart_GainsOnValuationOfLongTermFinancialInstruments,dart_ImpairmentLossRecoveryOfAccountsReceivables,dart_InsurancePremiums,dart_InterestExpenseFinanceExpense,dart_InterestIncomeFinanceIncome,dart_LeaseholdAdministrationExpense,dart_LentIncome,dart_LossOnForeignExchangeTranslations,dart_LossesForeignCurrencyTransactions,dart_LossesFromFinancialGuaranteeFinanceExpense,dart_LossesOnDisposalOfIntangibleAssets,dart_LossesOnDisposalOfInvestmentProperty,dart_LossesOnDisposalsOfFairValueFinancialAssetFinancialExpense,dart_LossesOnDisposalsOfPropertyPlantAndEquipment,dart_LossesOnForeignCurrencyTransactionsFiancialExpense,dart_LossesOnForeignExchangeTranslationsFinancialExpense,dart_LossesOnTransactionOfDerivativeFinancialInstrumentsFinancialExpense,dart_LossesOnValuationOfFairValueFinancialAssetFinancialExpense,dart_MembershipExpenses,dart_MiscellaneousExpenses,dart_MiscellaneousIncome,dart_MiscellaneousLosses,dart_NetworkContactSettleExpense,dart_OperatingExpenses,dart_OperatingIncomeLoss,dart_OrdinaryDevelopmentExpense,dart_OtherCostOfSales,dart_OtherFinancialExpenses,dart_OtherFinancialIncome,dart_OtherGains,dart_OtherLosses,dart_PackingExpenses,dart_PersonalExpense,dart_ProvisionForSeveranceIndemnities,dart_PublicationExpenses,dart_RentalExpenses,dart_RepairExpenses,dart_RevenueFromConstruction,dart_RevenueFromRenderingOfServicesCommission,dart_RevenueFromRenderingOfServicesProcession,dart_RevenueFromRenderingOfServicesRental,dart_RevenueFromRenderingOfServicesTransportation,dart_RevenueFromSaleOfGoodsMerchandise,dart_RevenueFromSaleOfGoodsProduct,dart_RevenueFromSaleOfGoodsRealEstate,dart_RevenueFromServices,dart_ReversalsOfAllowanceForOtherDoubtfulAccounts,dart_SalariesWages,dart_SamplesExpenses,dart_SupplyExpenses,dart_TaxesDues,dart_TotalSellingGeneralAdministrativeExpenses,dart_TrainingExpenses,dart_TravelExpenses,dart_UtilityExpenses,dart_VehicleMaintenanceExpenses,entity_BasicEarningsLossPerShare,entity_BasicEarningsLossPerShareFromContinuingOperations,entity_CostOfSales,entity_DilutedEarningsLossPerShare,entity_DilutedEarningsLossPerShareFromContinuingOperations,entity_EarningsPerShareAbstract,entity_FinanceCosts,entity_FinanceIncome,entity_GrossProfit,entity_IncomeStatementAbstract,entity_OperatingExpenses,entity_OperatingIncomeLoss,entity_OtherGains,entity_ProfitLoss,entity_ProfitLossFromDiscontinuedOperations,entity_Revenue,entity_RevenueFromRenderingOfServices,entity_TotalSellingGeneralAdministrativeExpenses,ifrs-full_BasicEarningsLossPerShare,ifrs-full_BasicEarningsLossPerShareFromContinuingOperations,ifrs-full_BasicEarningsLossPerShareFromDiscontinuedOperations,ifrs-full_CostOfSales,ifrs-full_DilutedEarningsLossPerShare,ifrs-full_DilutedEarningsLossPerShareFromContinuingOperations,ifrs-full_DilutedEarningsLossPerShareFromDiscontinuedOperations,ifrs-full_EarningsPerShareAbstract,ifrs-full_EmployeeBenefitsExpense,ifrs-full_FinanceCosts,ifrs-full_FinanceIncome,ifrs-full_GainsArisingFromDerecognitionOfFinancialAssetsMeasuredAtAmortisedCost,ifrs-full_GrossProfit,ifrs-full_IncomeTaxExpenseContinuingOperations,ifrs-full_LossesArisingFromDerecognitionOfFinancialAssetsMeasuredAtAmortisedCost,ifrs-full_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates,ifrs-full_OtherRevenue,ifrs-full_ProfitLoss,ifrs-full_ProfitLossBeforeTax,ifrs-full_ProfitLossFromContinuingOperations,ifrs-full_ProfitLossFromDiscontinuedOperations,ifrs-full_Revenue,ifrs-full_RevenueFromConstructionContracts,ifrs-full_RevenueFromDividends,ifrs-full_RevenueFromRenderingOfServices,ifrs-full_RevenueFromRoyalties,ifrs-full_RevenueFromSaleOfGoods,ifrs-full_SharebasedPaymentTransactions
[032640],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"211,034,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"273,000,000",,,,,,,,,,334,334,,,,,,,"33,657,000,000","13,049,000,000",,,"42,155,000,000","16,145,000,000","13,842,000,000",,"145,695,000,000","188,123,000,000","145,968,000,000",,"3,022,730,000,000",,,,,,
[011070],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"151,501,346,735",,,,,"52,280,840,979","58,144,507,129",,,,,,,,,,,,,,,,,,,,,"116,693,077,765",,,,,,,,,,,,,,,,,,,,,,"69,405,098,993",,"4,160","-1,175","1,648,632,480,725",,"4,160","-1,175",,,"22,678,302,863","7,567,495,978",,"268,194,424,500","32,078,611,437",,,,"70,635,717,215","130,526,873,700","98,448,262,263","-27,812,545,048","1,916,826,905,225",,,,,,
[066570],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"337,561,000,000",,,,,"966,696,000,000","346,981,000,000",,,,,,,,,,,,,,,,,,,,,"1,299,540,000,000",,,,,"3,659",,,,,,,,,,,,,,,,,"103,993,000,000",,,,"5,120,247,000,000",,,,,,"174,205,000,000","65,022,000,000",,"1,637,101,000,000","191,257,000,000",,,,"656,836,000,000","848,093,000,000",,,"6,757,348,000,000",,,,,,
[108670],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25,136,000,000",,,,,"5,913,000,000","6,244,000,000",,,,,,,,,,,,,,,,,,,,,"129,861,000,000",,,,,,,,,,,,,,,,,,,,,,,,"1,508",1,"468,565,000,000",,"1,521",1,,,"5,717,000,000","777,000,000",,"154,997,000,000","4,809,000,000",,,,"15,081,000,000","19,865,000,000","15,056,000,000","25,000,000","623,562,000,000",,,,,,
[037560],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,690,789,845",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-142,395,699",,,,,,,,,62,,,"247,391,640,086",,,,,,"6,157,266,008","928,504,320",,,"842,817,582",,,,"4,781,202,133","5,624,019,715",,,"258,136,529,102",,,,,,
[051910],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"154,981,000,000",,,,,"564,951,000,000","159,746,000,000",,,,,,,,,,,,,,,,,,,,,"763,495,000,000",,,,,,,,,,"4,635",,,,"-33,565,000,000",,,,,,,,,,,,"4,473,692,000,000",,,,,,"236,307,000,000","117,866,000,000",,"918,476,000,000","87,472,000,000",,,,"320,708,000,000","441,745,000,000",,,"5,392,168,000,000",,,,,,
[104200],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,228,535,037",,,,,"7,365,709","1,666,493",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15,494,472,860",,,,,,,,,96,,,,96,,,,,"9,481,043","726,028,432",,,"501,945,188",,"-180,172,654",,"1,268,663,800","1,770,608,988",,,"16,723,007,897",,,,,,
[010060],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-95,083,967,000",,,,,"1,409,551,000","3,310,660,000",,,,,,,,,,,,,,,,,,,,,"40,619,709,000",,,,,,,,,,,,,,,,,,,,,,,,,,"407,554,450,000","-2,134",,,,,"26,714,758,000","55,445,904,000",,"-54,464,258,000","-17,365,541,000",,,,"-50,888,389,000","-68,253,930,000",,,"353,090,192,000",,,,,,
[017670],"16,425,000,000",,,,"1,140,483,000,000",,,,,,,,,,,,,,,"717,125,000,000",,,,,,,"53,107,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"144,094,000,000","2,666,221,000,000","258,285,000,000",,,,,,,,,,,"31,808,000,000",,,,,,,,,,"2,924,506,000,000",,,,,,,,,,,,,,,,,,,,"7,641,000,000","251,316,000,000",,,,,,,,"5,484",,,,"5,484",,,,"204,527,000,000","70,900,000,000","289,259,000,000",,,"82,004,000,000",,,,"404,754,000,000","486,758,000,000",,,"2,924,506,000,000",,,,,,
[063440],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-919,033,597",,,,,,"737,065",,,,,,,,,,,,,,,,,,,,,"1,262,531,048",,,,,,,,,,,,,,"-51,242,223",,,,,,,,,-19,-19,0,"1,440,005,020",-19,,,,,"934,764","108,760,243",,"343,497,451",0,,"5,864,979",,"-857,322,427","-857,322,427","-857,322,427",0,"1,783,502,471",,,,,,
[005610],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,325,080,788",,,,,"422,352,326","1,139,619,088",,,,,,,,,,,,,,,,,,,,,"41,986,878,667",,,,,,,,,,,,,,"-2,540,236,286",,,,,,,,,135,,,"227,627,842,662",135,,,,,"3,257,986,820","3,758,793,793",,"72,701,512,747","-1,474,316,545",,,,"1,094,068,168","2,568,384,713",,,"300,329,355,409",,,,,,
[009450],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17,154,343,788",,,,,"8,091,218,305","1,915,323,684",,,,,,,,,,,,,,,,,,,,,"36,128,888,101",,,,,,,,,,,,,,,,,,,,,,,"1,405",,,"115,088,217,978","1,405",,,,,"223,191,107","17,403,242",,"53,283,231,889","5,391,053,160",,,,"17,733,397,384","23,124,450,544",,,"168,371,449,867",,,,,,
[000050],"46,506,846",,,"-118,020","11,573,268,681","6,425,909","2,812,229",,,,,,,,,,,,,"1,815,504,173","30,495,100",,,"50,818,364",,"32,795,700",,,"31,193,670","4,611,374,970","138,722,568",,,"12,572,163",,,,,,,"1,723,680,000",,,,"6,336,405","1,375,637,502","847,334,290",,,"2,070,699,880","144,452,990",,"15,400,000",,"52,408,649","8,068,334",,,,,,"3,848,450","180,942,413","475,768,819",,,"5,473,725,767","1,930,565",,"4,793,480,079","138,044,662","4,931,039,951","2,714,390,023",,,"45,156,623",,,"113,528,000",,,,,,,,,,,"411,318,984",,"26,998,876","487,917,531","15,117,842,036","277,000","50,656,399","407,389,977","3,275,674",,,,,,,,,,,,,,,,,,,115,116,-1,"26,985,525,467",115,,,,,"6,221,526,230","2,752,126,215",,"20,591,567,803","1,176,048,279",,,,"3,030,398,804","4,220,975,680","3,044,927,401","-14,528,597","47,577,093,270",,,,,,
[013580],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"24,270,324,240",,,,,,,,,,,,,,,,,,,,,,,,,,,"17,478,268,100",,,,,,,,,,,,,,"1,621,019,961",,,,,,,,,"1,819",,,"300,521,268,864",,,,,,"2,990,383,717","289,979,439",,"41,748,592,340","5,750,217,075",,,,"16,110,341,190","21,860,558,265",,,"342,269,861,204",,,,,,
[060480],,,,,,,,,,"1,290,448,009",,,,,"3,992,002,076",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"58,681,669",,,,,"22,991,349","44,562,060",,,,,,,,,"1,560,974,761",,,,"4,305,447,470",,,,,,,,"525,290,477",,,,,,,,,,,,,,,,,,,,,,,5,,,"5,282,450,085",,,,,,"11,911,513","38,834,255",,"583,972,146","8,587,414",,,,"55,446,286","64,033,700",,,"5,866,422,231",,,"1,560,974,761",,"4,305,447,470",
[011780],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"114,711,699,169",,,,,"27,156,178,934","11,819,629,251",,,,,,,,,,,,,,,,,,,,,"34,887,533,874",,,,,,,,,,,,,,,,,,,,,,,"4,075","3,233",842,"753,307,282,128",,,,,,"27,573,201,312","18,918,502,753",,"149,599,233,043","31,138,976,645",,,,"113,768,422,214","121,393,550,293","90,254,573,648","23,513,848,566","902,906,515,171",,,,,,
[000270],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"563,505,000,000",,,,,,,,,,,,,,"591,306,000,000",,,,,"112,089,000,000",,,,"35,182,000,000",,,,,,,,,,,,,,,,,,,,,,,"1,154,811,000,000",,,,,,,,,,,,"99,643,000,000",,"102,849,000,000",,,,,,,,,456,,,"6,268,227,000,000",,,,,,,"-64,461,000,000",,"1,266,900,000,000","28,601,000,000",,"113,118,000,000",,"182,839,000,000","211,440,000,000",,,"7,535,127,000,000",,,,,,
[089600],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,046,925,767","4,518,574,611",,,,,"1,598,556,688","158,776",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,570,,,,,,,,,"182,913,104","376,190,508",,,"1,462,112,413",,,,"4,848,137,514","6,310,249,927",,,"18,565,500,378",,,,,,
[004270],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"325,427,258",,,,,"103,184,157","7,465,393",,,,,,,,,,,,,,,,,,,,,"1,007,012,160",,,,,,,,,,,,,,"-521,464,642",,,,,,,,,-29,,,"9,540,698,800",,,,,,"4,805,620,847","4,112,790,248",,"1,332,439,418","108,501,766",,,,"-901,650,985","-793,149,219",,,"10,873,138,218",,,,,,
[000320],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,956,640,449",,,,,"83,809","387,278",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,046",,,,"3,306,601,662",,,,,,,,,"1,044",,,,,,,,,"770,814,212","570,105,449",,,"-127,480,626",,,,"10,883,108,843","10,755,628,217",,,,,,,,,
[004370],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"47,161,109,680",,,,,"7,826,236,260","1,408,099,602",,,,,,,,,,,,,,,,,,,,,"111,341,606,848",,,,,,,,,,,,,,"-479,102,710",,,,,,,,,"6,769",,,"395,433,469,259","6,769",,,,,"7,188,785,731","5,916,050,173",,"158,502,716,528","12,684,734,958",,,,"39,142,673,112","51,827,408,070",,,"553,936,185,787",,,,,,
[054050],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,331,323,208",,,,,"463,971,346","230,067,525",,,,,,,,,,,,,,,,,,,,,"10,180,119,895",,,,,,,,,,,,,,,,,,,,,,,322,,,"11,097,611,196",322,,,,,"592,772,617","1,417,407,350",,"15,511,443,103","-863,251,828",,,,"5,526,609,934","6,389,861,762",,,"26,609,054,299",,,,,,
[064260],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,235,929,915",,,,,"1,005,897,316","3,561,339,949",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,,,,,,,,,,,,,,,,,,"1,273,319,993","210,016,051",,,"246,991,268",,,,"-385,718,116","-138,726,848",,,"45,815,908,219",,,,,,
[019680],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"416,638,873",,,,,"6,064,923,591","13,739,396,553",,,,,,,,,,,,,,,,,,,,,"21,878,200,459",,,,,44,,,43,,,,,,"734,775,599",,,,,,,,,,,,"131,708,474,683",,,,,,,"152,359,773",,"22,342,113,728","2,376,740,374",,,,"-6,790,909,925","-9,167,650,299",,,"154,050,588,411",,,,,,
[006370],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-5,281,944,971",,,,,"10,947,109","41,936,270",,,,,,,,,,,,,,,,,,,,,"16,140,738,355",,,,,,,,,,,,,,,,,,,,,,,-948,,,"9,030,824,862",-948,,,,,"2,747,086,427","346,535,350",,"10,858,793,384","-389,942,297",,,,"-7,323,542,912","-7,713,485,209",,,"19,889,618,246",,,,,,
[045390],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"867,800,093",,,,,"1,434,705,894","202,071,039",,,,,,,,,,,,,,,,,,,,,"3,212,455,157",,,,,,,,,,,,,,,,,,,,,,,27,,,"17,020,683,015",,,,,,"14,338,538","130,001,741",,"4,080,255,250","274,282,396",,,,"1,941,815,755","2,216,098,151",,,"21,100,938,265",,,,,,
[047040],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"118,483,764,587",,,,,"110,467,494,590","139,914,175,770",,,,,,,,,,,,,,,,,,,,,"90,293,044,499",,,,,,,,,,,,,,,,,,,,,,,141,,,"1,722,741,304,567",141,,,,,"24,217,794,837","8,010,346,502",,"208,776,809,086","14,871,093,902",,,,"57,958,541,170","72,829,635,072",,,"1,931,518,113,653",,,,,,
[042660],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"281,735,298,489",,,,,"158,843,853,806","7,961,714,169",,,,,,,,,,,,,,,,,,,,,"49,261,796,930",,,,,,,,,,,,,,,,,,,,,,,"2,178",,,"1,616,084,568,303","1,451",,,,,"363,066,694,955","169,830,364,174",,"330,997,095,419",,,,,"239,381,107,345","239,381,107,345",,,"1,947,081,663,722",,,,,,
[000430],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"724,016,071",,,,,"5,528,060,037","486,992,840",,,,,,,,,,,,,,,,,,,,,"7,842,600,071",,,,,,,,,,,,,,0,,,,,,,,,57,,,"141,644,569,228",,,,,,"604,617,851","60,249,802",,"8,566,616,142","1,674,816,456",,,,"3,545,898,763","5,220,715,219",,,"150,211,185,370",,,,,,
[005710],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-2,059,278,949",,,,,"3,522,019,101","26,721,823",,,,,,,,,,,,,,,,,,,,,"5,494,616,211",,,,,,,,,,,,,,,,,,,,,,,61,,,"114,297,209,583",61,,,,,,"843,946,489",,"3,435,337,262","1,056,533,709",,,,"1,223,431,109","2,279,964,818",,,"117,732,546,845",,,,,,
[100130],,,,,,,,"7,904,767,013",,,,,,,,,"23,283,613,759",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,757,500,040",,,,,,,,,,,,,"8,424,071,639",,,"24,052,200",,,"29,340,971,423",,,,,,,,"2,843,214,450",,,,,,,,,,,,,,"55,361,280",,,,,,,,,92,,,"31,188,380,772",,,,,,"460,669,408","3,128,729,361",,"6,600,714,490","1,269,105,291",,,,"5,145,808,458","6,414,913,749",,,"37,789,095,262",,,,,,
[005160],,,,,,,,,,,,"86,863,975",,,,,"64,077,886,370",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,286,863,443",,"3,825,442,401",,,"169,294,292","130,339,717",,,,,,,,,"88,995,770",,,,"73,049,933,122",,,,,,,,"6,047,790,303",,,,,,,,,,,,,,,,,,,,,,,113,,,"67,990,192,746",113,,,,,"492,305,134","4,318,070,966",,"9,334,653,746","1,339,197,188",,,"4,185,917,600","5,812,386,662","7,151,583,850",,,"77,324,846,492",,,,,,
[001230],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"48,145,423,276",,,,,"18,179,211,622","25,921,272,909",,,,,,,,,,,,,,,,,,,,,"56,829,310,267",,,,,,,,,,,,,,,,,,,,,,,-77,,,"1,009,376,153,861",-77,,,,,"53,251,276,791","5,607,096,858",,"104,974,733,543",,,,,"-7,240,817,944","-7,240,817,944",,,"1,114,350,887,404",,,,,,
[001520],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"163,578,214",,,,,,,,,,,,,,,,,,"8,642,335,112",,,,,"88,857,367",,,,,"345,795,668","1,986,491,233",,,,,,,,,,,,,,,,,,,,,"8,805,913,326",,,,,,,,,,,,,,,,,,,,,,,,,,"88,766,144,469",12,,,,,"5,147,325,637","5,933,006,151",,"8,894,770,693","-685,051,743",,,,"-81,105,941","-766,157,684",,,"97,660,915,162",,,,,,
[084670],,,,,,,,,,,,,,"26,322,158,842",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-5,795,072,219",,"296,274,386",,,"473,156,284","6,941,172",,,,,,,,,,,"22,382,368,901",,,,,,,,,,"2,447,568,243",,,,,,,,,,,,,,,,,,,,,,,"-1,605",,,"26,618,433,228","-1,605",,,,,"129,442,288","35,681,102",,"-3,347,503,976","-1,174,002,523",,,"888,560,351","-4,248,615,770","-5,422,618,293","-4,248,615,770",,"23,270,929,252",,,,,,
[000150],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"44,618,258,440",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,710",,,,"5,255,992,238",,,,,,,,,,,,,,,,,,,"23,432,415,218",,,"19,253,899,069",,,,"66,043,120,186","76,386,527,756","57,132,628,687","8,910,491,499",,,,,,,
[241560],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"84,675,729,000",,,,,"14,535,000","1,859,107,000",,,,,,,,,,,,,,,,,,,,,"7,838,119,000",,,,,,,,,,,,,,641,,,,,,,,,,,,,,,,,,"5,252,479,000","5,867,657,000",,"92,513,848,000","19,219,991,000",,,,"64,226,344,000","83,446,335,000",,,"92,513,848,000",,,,,,
[042670],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"59,833,664,144",,,,,"933,906,293","8,655,909,945",,,,,,,,,,,,,,,,,,,,,"96,928,921,899",,,,,,,,,,322,,,,,,,,,,,,,322,,,"667,660,263,177",,,,,,"54,974,176,620","81,201,881,000",,"156,762,586,043","11,379,596,933",,"-35,284,738",,"66,924,483,201","78,304,080,134",,,"824,422,849,220",,,,,,
[034020],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-59,190,954,568",,,,,"3,106,554,476","18,082,699,837",,,,,,,,,,,,,,,,,,,,,"214,856,168,097",,,,,,,,,,,,,,"-14,976,145,361",,,,,,,,,"-1,310",,,"769,208,368,324","-1,310",,,,,"511,873,001,426","283,380,253,969",,"155,665,213,529","-1,463,836,446",,,,"-301,196,010,940","-302,659,847,386",,,"924,873,581,853",,,,,,
[003160],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20,896,330",,,,,"110,492,641","163,229,349",,,"32,932,738",,,,"268,831,543","85,561,606",,,,,,,,,,"25,642,137","651,061,853",,"43,907,697",,,,,,,"-3,717,535,098",,,,,"3,146,350,657","7,002,536",,,,,,,,,,,,,,,,,,,,,"5,842,418,961",,,,,,,,,,,,,,"716,616,775",,,,,,,,,-44,,,"8,311,845,995",-44,,,,,"989,443,230","413,112,664",,"2,841,500,638","94,826,542",,,,"-1,249,344,085","-1,154,517,543",,,"11,153,346,633",,,,,,
[001530],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"689,861,871",,,,,"170,113,431","363,947,555",,,,,,,,,,,,,,,,,,,,,"2,554,110,882",,,,,,,,,,,,,,,,,,,,,,,"4,534",,,"65,312,717,861",,,,,,"4,628,124,552","14,175,382,157",,"3,243,972,753","1,830,272,190",,,,"8,213,013,162","10,043,285,352",,,"68,556,690,614",,,,,,
[066900],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,159,258,505",,,,,"306,246,425","15,435,749",,,,,,,,,,,,,,,,,,,,,"2,855,609,378",,,,,,,,,,,,,,,,,,,,,,,129,,,"72,283,310,504",129,,,,,"1,066,261,110","1,551,704,505",,"5,014,867,883","602,503,664",,,,"2,333,008,912","2,935,512,576",,,"77,298,178,387",,,,,,
[171010],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,287,057,790",,,,,"504,233,605","70,406,493",,,,,,,,,,,,,,,,,,,,,"956,055,321",,,,,,,,,,,,,,,,,,,,,,,93,,,"8,282,981,903",93,,,,,"500,494,857","127,479,920",,"2,243,113,111","274,562,600",,,,"1,073,307,365","1,347,869,965",,,"10,526,095,014",,,,,,
[267980],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"416,336,099","2,629,968,569","74,087,969",,,,"529,515,402","537,688,546",,,,,,,,,,,,"41,309,890","150,053,006",,,,,,,"21,006,905,851",,,,,"2,450,273,902","1,035,834,614",,,,,,,,,,,,,,,,,,,,,"78,473,761,738",,,,,,,,,,,,,,,,,,,,,,,"2,553",,,"258,451,342,924","2,553",,,,,"720,878,298","3,658,081,183",,"99,480,667,589","5,501,029,185",,,,"19,857,518,839","25,358,548,024",,,"357,932,010,513",,,,,,
