,dart_AdvertisingExpenses,dart_AmortisationExpense,dart_BadDebtExpenses,dart_Commissions,dart_CommunicationExpenses,dart_CostOfSalesFromConstructionContracts,dart_CostOfSalesFromDividends,dart_CostOfSalesFromRenderingOfServices,dart_CostOfSalesFromSaleOfGoods,dart_DepreciationExpense,dart_DividendIncome,dart_Donations,dart_EmployeeBenefits,dart_EntertainmentExpenses,dart_FreightExpenses,dart_GainOnForeignExchangeTranslations,dart_GainsForeignCurrencyTransactions,dart_GainsFromGovernmentGrants,dart_GainsOnDisposalsOfInvestments,dart_GainsOnDisposalsOfPropertyPlantAndEquipment,dart_InsurancePremiums,dart_InterestExpenseFinanceExpense,dart_InterestIncomeFinanceIncome,dart_LossArisingFromDifferenceBetweenCarryingAmountOfFinancialLiabilityExtinguishedAndConsiderationPaid,dart_LossOnDispositionOfReceivables,dart_LossOnForeignExchangeTranslations,dart_LossesForeignCurrencyTransactions,dart_LossesOnDisposalsOfInvestments,dart_LossesOnDisposalsOfPropertyPlantAndEquipment,dart_MiscellaneousIncome,dart_MiscellaneousLosses,dart_OperatingIncomeLoss,dart_OrdinaryDevelopmentExpense,dart_OtherCostOfSales,dart_OtherGains,dart_OtherLosses,dart_OtherReversalsOfProvisions,dart_ProvisionForSeveranceIndemnities,dart_PublicationExpenses,dart_RentalExpenses,dart_RepairExpenses,dart_SalariesWages,dart_SupplyExpenses,dart_TaxesDues,dart_TotalSellingGeneralAdministrativeExpenses,dart_TrainingExpenses,dart_TravelExpenses,dart_UtilityExpenses,dart_VehicleMaintenanceExpenses,dart_WritedownsOfInventories,dart_WritedownsOfPropertyPlantAndEquipment,entity_BasicEarningsLossPerShare,entity_BasicEarningsLossPerShareFromContinuingOperations,entity_BasicEarningsLossPerShareFromDiscontinuedOperations,entity_CostOfSales,entity_DilutedEarningsLossPerShare,entity_DilutedEarningsLossPerShareFromContinuingOperations,entity_DilutedEarningsLossPerShareFromDiscontinuedOperations,entity_EarningsPerShareAbstract,entity_FinanceCosts,entity_FinanceIncome,entity_GrossProfit,entity_IncomeStatementAbstract,entity_OperatingIncomeLoss,entity_OtherGains,entity_OtherLosses,entity_ProfitLoss,entity_ProfitLossAttributableToNoncontrollingInterests,entity_ProfitLossAttributableToOwnersOfParent,entity_ProfitLossBeforeTax,entity_ProfitLossFromContinuingOperations,entity_ProfitLossFromDiscontinuedOperations,entity_Revenue,entity_ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,entity_TotalSellingGeneralAdministrativeExpenses,ifrs_AdministrativeExpense,ifrs_BasicEarningsLossPerShare,ifrs_BasicEarningsLossPerShareFromContinuingOperations,ifrs_BasicEarningsLossPerShareFromDiscontinuedOperations,ifrs_CostOfSales,ifrs_DilutedEarningsLossPerShare,ifrs_DilutedEarningsLossPerShareFromContinuingOperations,ifrs_DilutedEarningsLossPerShareFromDiscontinuedOperations,ifrs_EarningsPerShareAbstract,ifrs_EmployeeBenefitsExpense,ifrs_FinanceCosts,ifrs_FinanceIncome,ifrs_GainsArisingFromDerecognitionOfFinancialAssetsMeasuredAtAmortisedCost,ifrs_GrossProfit,ifrs_IncomeTaxExpenseContinuingOperations,ifrs_OtherRevenue,ifrs_ProfitLoss,ifrs_ProfitLossAttributableToAbstract,ifrs_ProfitLossAttributableToNoncontrollingInterests,ifrs_ProfitLossAttributableToOwnersOfParent,ifrs_ProfitLossBeforeTax,ifrs_ProfitLossFromContinuingOperations,ifrs_ProfitLossFromDiscontinuedOperations,ifrs_RawMaterialsAndConsumablesUsed,ifrs_Revenue,ifrs_RevenueFromConstructionContracts,ifrs_RevenueFromDividends,ifrs_RevenueFromRenderingOfServices,ifrs_RevenueFromSaleOfGoods,ifrs_ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod
[086980],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"247,062,846",,,"7,089,280",,,,,,,,,,"2,147,770,383",,,,,,,,,,,,,,,,,,"-82,146,134",,,,,,,,,,,,,,18,,,"6,501,685,521",18,,,,,,"291,905,461",,"2,394,833,229","-332,982,372",,"1,133,706,294",,,"1,133,706,294","800,723,922",,,,"8,896,518,750",,,,,
[004970],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,793,770,305",,,,,,,,,,,,,"9,437,422,964",,,,,,,,,,,,,,,,,,"-3,415,105,566",,,,,,,,,,,,,,805,,,"58,802,087,168",,,,,,,,,"12,231,193,269","892,639,088",,"12,879,423,717",,441,"12,879,423,276","13,772,062,805",,,,"71,033,280,437",,,,,"1,460,773,852"
[065350],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,530,772,068",,,"1,924,979,447","1,887,927,688",,,,,,,,,"8,693,175,029",,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,62,62,0,"84,003,610,602",58,58,0,,,"2,740,783,460","682,539,167",,"12,457,921,236","568,722,119",,"940,857,415",,"-271,037,636","1,211,895,051","1,509,579,534","940,857,415",0,,"96,461,531,838",,,,,
[011930],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,147,009,818",,,"994,778,638","2,092,243,002",,,,,,,,,"1,500,363,892",,,,,,,,,,,,,,,,,,"27,909,420",,,,,,,,,,,,,"-540,565,279",28,,,"52,348,753,819",28,,,,,"2,341,932,681","323,091,282",,"4,496,506,587","147,384,399",,"2,495,242,159",,0,"2,495,242,159","2,642,626,558",,,,"56,845,260,406",,,,,
[004170],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"42,549,670,247",,,"11,995,702,127","9,598,517,891",,,,,,,,,"386,944,825,190",,,,,,,,,,,,,,,,,,"163,197,621,070",,,,,,,,,,,,,,"10,005",,,"227,184,166,423","10,005",,,,,"17,484,049,582","9,294,581,908",,"429,494,495,437","36,197,305,384",,"167,883,469,617",,"69,470,234,783","98,413,234,834","204,080,775,001",,,,"656,678,661,860",,,,,"4,125,767,122"
[031430],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,522,471,006",,,"1,801,193,340","4,517,073,100",,,,,,,,,"115,628,954,865",,,,,,,,,,,,,,,,,,"658,978,999",,,,,,,,,,,,,,285,,,"112,825,722,761",,,,,,"3,835,609,722","2,893,048,187",,"123,151,425,871","2,471,140,417",,"2,051,868,293",,"14,229,206","2,037,639,087","4,523,008,710",,,,"235,977,148,632",,,,,
[108320],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,024,193,850",,,"721,148,365","1,260,912,658",,,,,,,,,"18,524,944,075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,688,,,"121,323,772,389",688,,,,,0,"3,766,487,708",,"29,549,137,925","3,065,115,715",,"11,185,801,550",,0,"11,185,801,550","14,250,917,265",,,,"150,872,910,314",,,,,
[003410],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"80,900,282,284",,,"4,786,395,451","4,767,594,051",,,,,,,,,"33,604,557,027",,,,,,,,,,,,,,746,,,,746,,,,,"1,271,390,513","3,189,989,970",,,,,,,,727,,,"252,688,798,741",727,,,,,"7,941,415,525","160,936,887",,"114,504,839,311","16,939,221,044",,"61,176,902,784",,"1,271,474,726","59,905,428,058","73,654,743,345","56,715,522,301","4,461,380,483",,"367,193,638,052",,,,,"516,138,299"
[010280],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,187,248,262",,,"64,773,411","146,484,086",,,,,,,,,"5,567,527,300",,,,,,,,,,,,,,27,,,,"1,073,959,321",,,,,,,,,,,,,,,,,"42,325,570,172",,,,,,"406,049,646","446,463,908",,"6,754,775,562","71,992,528",,"1,073,959,321",,,,"1,145,951,849",,,,"49,080,345,734",,,,,
[099190],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,743,811,707",,,,,,,,,,,,,"9,504,268,947",,,,,,,,,,,,,,,,,,"-490,464,889",,,,,,,,,,,,,,259,,,"16,697,687,831",258,,,,,,,,"16,248,080,654","2,010,626,466",,"3,551,015,504",,"2,356,011","3,548,659,493","5,561,641,970",,,,"32,945,768,485",,,,,
[011090],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"444,200,029",,,"320,986,222","108,820,876",,,,,,,,,"16,305,024,260",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,"75,101,026,006",,,,,,"164,414,431","54,942,011",,"16,749,224,289","105,627,670",,"441,265,285",,"14,265,391","426,999,894","546,892,955",,,,"91,850,250,295",,,,,
[031330],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,161,056,315",,,"2,410,600,479","2,454,393,241",,,,,,,,,"7,546,244,806",,,,,,,,,,,,,,,,,,,,,,,0,"5,743,568,949",,,,,,,,,47,25,"247,524,950,359",,47,25,,,"1,231,536,460","9,817,435",,"12,707,301,121","1,344,964,002",,"5,743,568,949",,,,"5,079,745,109","3,734,781,107","2,008,787,842",,"260,232,251,480",,,,,"1,184,200,581"
[060540],"1,931,818","2,173,101",,"206,521,757","8,921,260",,,"2,989,617,636",,"37,015,163",,"4,860,000","65,459,866","59,176,995","1,908,682",,,,,"525,621","37,181,658","76,805,989","-46,321,589",,,,,,,"248,840,791","23,028,665","1,299,715,816","258,816,398",,"249,366,412","27,888,665",,"62,438,152","1,275,466","13,323,585",,"658,202,235","208,021,861","36,387,383","1,886,859,293","560,000","9,208,253","5,717,448","-4,120,481",,,,,,"86,877,193",,,,60,"-121,727,754","114,820,201",,"1,449,932,433",,,,,"85,317,958","-20,463,870",,,,"382,409,882",,"14,363,128",,59,,,"17,489,692,912",,,,,,"128,924,055","233,214,512",,"3,186,575,109","175,551,587",,"1,429,468,563",,"85,317,958","1,344,150,605","1,625,484,020",,"-20,463,870",,"20,676,268,021",,,"3,928,413,721",,
[056190],,,,,,,,,,,0,,,,,,,,,,,"3,457,621,643","1,305,232,836",,,,,,,,,"19,601,933,506",,,"4,004,990,949","2,992,788,358",,,,,,,,,"17,203,329,956",,,,,,,,,,,,,,499,"-126,675,943",0,,,,,,,,,,,,,,,,,,,"242,618,631,389",,,,,,"3,435,787,072","1,369,583,120",,"36,805,263,462","2,005,063,683",,"16,542,868,462",,"-860,730,542","17,403,599,004","18,547,932,145",,,,"279,423,894,851",,,,,
[005850],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21,606,303,864",,,,,,,,,,,,,"25,878,481,691",,,,,,,,,,,,,,,,,,"-1,694,310,693",,,,,,,,,,,,,,719,,,"347,822,983,321",,,,,,,,,"47,484,785,555","10,522,621,534",,"24,974,915,967",,"632,336,929","24,342,579,038","35,497,537,501",,,,"395,307,768,876",,,,,
[012750],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"53,146,050,534",,,"2,475,086,718","5,928,056,750",,,,,,,,,"85,070,451,938",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,126",,,"315,641,500,432","1,126",,,,,"36,565,568","402,007,460",,"138,216,502,472","12,002,263,004",,"38,056,259,390",,"-731,691","38,056,991,081","50,058,522,394",,,,"453,858,002,904",,,,,
[123700],"3,612,032","1,145,317","25,679,347","722,150,580","63,029,996",,,,,"109,915,478",,"3,000,000","318,999,306","85,379,591","531,394,376","74,605,866","1,691,541,014",,,"244,726,039","109,716,197",,"97,130,697",,,"-243,657,349","1,873,030,239",,"74,733","575,130,995","2,136,323","4,017,520,362","1,287,589,305",,"3,231,183,574","1,634,583,946",,"242,832,639","48,374,366","154,596,207",,"2,075,744,485","109,266,780","200,629,550","7,996,957,672","42,278,151","238,245,875",,"79,159,187",,,,,,"805,392,870",,,,,,,,,,"640,399,660",,,,,,,,"1,430,994,891",,"229,853,462",,296,296,,"31,964,504,717",296,296,,,,"83,311,147","106,693,697",,"12,014,478,034","-419,119,251",,"5,218,383,289",,"591,582,620","4,626,800,669","5,637,502,540",,,,"43,978,982,751",,,,"42,547,987,860",
[025530],"3,612,032","1,185,124","25,679,347","606,562,465","67,673,927",,,,,"154,032,597",,"3,090,000","375,628,844","104,638,639","533,915,989","49,682,202","1,847,246,111",,,"244,726,039","124,388,982","46,528,238","256,337,179",,,"-309,052,070","2,089,269,979",,"74,733","607,415,636","-251,149,389","3,738,253,418","1,431,419,296",,"3,604,045,008","1,666,971,903",,"299,873,395","51,011,010","187,205,827",,"2,454,080,323","126,475,533","206,135,954","8,734,090,629","43,619,924","270,988,093",,"88,844,780",,,,,,"805,392,870",,,,,,,,,,"-2,806,480",,,,,,,,,,"246,452,024",,,164,,"32,257,675,988",,164,,,,"46,528,238","256,337,179",,"12,472,344,047","510,150,663",,"5,374,984,801",,"3,151,702,393","2,223,282,408","5,885,135,464",,,,"44,730,020,035",,,,"43,414,586,714",
[069510],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,804,981,323",,,"1,756,006,554","1,532,927,640",,,,,,,,,"6,451,114,963",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,,,"65,700,125,786",,,,,,"401,873,462","796,784,340",,"10,256,096,286","1,336,712,051",,"3,086,259,064",,,"3,086,259,064","4,422,971,115",,,,"75,956,222,072",,,,,
[050760],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,346,095,508",,,"171,645,890","3,136,099",,,,,,,,,"2,997,130,968",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,,,"24,449,185,921",61,,,,,"295,593,313","60,383,769",,"4,343,226,476","319,953,096",,"959,442,659",,"8,766,028","950,676,631","1,279,395,755",,,,"28,792,412,397",,,,,
[003800],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,644,659,169",,,"1,023,702,320","498,306,959",,,,,,,,,"17,766,242,160",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,167",,,"22,029,696,015","4,167",,,,,"1,010,502,732","1,191,164,828",,"27,410,901,329","2,380,831,806",,"7,969,884,820",,"-6,796,971","7,976,681,791","10,350,716,626",,,,"49,440,597,344",,,,,
[065160],"663,569,947","144,026,266","-1,132,948,548","375,063,316","23,767,780","4,460,824,009",,,"4,818,872,967","124,906,908",0,0,"159,116,872","167,744,020","131,979,829","103,025,485","103,134,095",0,,0,"27,552,308","409,647,786","126,807,610",,0,"-152,518,219","107,405,193",0,0,"26,508,829","11,880,667","-1,044,090,705","173,666,433",0,"428,068,144","71,507,546","195,399,735","87,788,800","11,711,098","47,811,138","-7,300,097","1,153,236,430","71,374,863","42,879,022","2,483,595,915","1,173,875","110,265,159","12,446,351","28,425,663",,,,,,,,,,,0,0,,,,0,0,,,,,,,,,"-19,605,313",,-21,-21,0,"9,279,696,976",-21,-21,,,,"409,647,786","213,079,610",,"1,439,505,210","272,048,583","32,900,000","-1,156,146,866",,0,"-1,156,146,866","-884,098,283","-1,156,146,866",0,,"10,719,202,186","5,297,945,241",,"21,691,502","5,366,665,443",
[069410],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"112,069,818",,,"104,277,058","119,265,181",,,,,,,,,"3,169,885,625",,,,,,,,,,,,,,,,,,"-278,930,501",,,,,,,,,,,,,,-23,,,"8,925,264,868",,,,,,,"59,064,213",,"3,281,955,443","36,488,176",,"-159,272,769",,,"-159,272,769","-122,784,593",,,,"12,207,220,311",,,,,
[111770],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"69,404,017,928",,,"19,414,913,940","22,516,738,961",,,,,,,,,"88,098,176,720",,,,,,,,,,,,,,,,,,"707,063,610",,,,,,,,,,,,,,"1,019",,,"393,842,736,196",,,,,,"2,818,362,681","1,484,538,964",,"157,502,194,648","14,759,241,219",,"49,502,064,361",,"4,348,091,811","45,153,972,550","64,261,305,580",,,,"551,344,930,844",,,,,
[009970],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"70,195,375,809",,,"20,569,325,442","22,393,742,152",,,,,,,,,"135,598,484,801",,,,,,,,,,,,,,,,,,"806,865,690",,,,,,,,,,,,,,"2,140",,,"419,132,467,856",,,,,,"2,870,656,110","2,222,939,528",,"205,793,860,610","15,012,530,296",,"51,903,846,531",,"27,067,984,510","24,835,862,021","66,916,376,827",,,,"624,926,328,466",,,,,
[036000],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-3,010,187,965",,,"2,313,684,641","3,058,794,156",,,,,,,,,"14,030,179,994",,,,,,,,,,,,,,,,,,"2,492,000",,,,"-2,200,692,475",,,,,,,,,,-96,,,"89,233,344,254",,,,,,"795,274,649","410,257,926",,"11,019,992,029","275,585,445",,"-4,422,192,888",,,,"-4,146,607,443","-4,422,192,888",,,"100,253,336,283",,,,,
[039830],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,235,820,809",,,"681,820,407","808,016,379",,,,,,,,,"12,653,649,570",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,"16,547,055,895",,,,,,"1,054,768,210","-50,762,027",,"14,889,470,379","662,124,447",,"341,970,153",,"-141,423,302","483,393,455","1,004,094,600",,,,"31,436,526,274",,,,,
[010470],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,979,407,024",,,"13,842,858","15,547,277",,,,,,,,,"11,546,220,462",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186,,,"30,555,034,930",174,,,,,"239,135,156","71,999,895",,"14,525,627,486","833,732,581",,"2,031,193,079",,,"2,031,193,079","2,864,925,660",,,,"45,080,662,416",,,,,"54,358,316"
[048260],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,283,678,536",,,"173,756,292","342,649,643",,,,,,,,,"38,661,464,469",,,,,,,,,,,,,,,,,,"293,758,460",,,,,,,,,,,,,,265,,,"32,464,474,488",,,,,,"1,406,178,182","939,458,986",,"43,945,143,005","1,879,836,853",,"3,061,987,596",,"-674,846,976","3,736,834,572","4,941,824,449",,,,"76,409,617,493",,,,,
[037400],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-9,030,259,429",,,"9,371,838,983","18,297,635,204",,,,,,,,,"19,446,194,957",,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,-203,,,"357,649,821,823",,,,,,"2,089,766,291","348,234,181",,"10,415,935,528","238,416,530",,"-18,727,261,821",,"-14,323,469,921","-4,403,791,900","-20,113,743,252","-20,352,159,782","1,624,897,961",,"368,065,757,351",,,,,"-416,155,492"
[011320],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,676,939,349",,,"1,009,747,161","441,568,539",,,,,,,,,"6,342,584,302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136,,,"57,148,147,214",,,,,,"294,245,157","68,650,623",,"9,019,523,651","616,099,958",,"2,403,423,479",,,"2,403,423,479","3,019,523,437",,,,"66,167,670,865",,,,,
[056090],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-993,360,100",,,"50,136,381","24,919,458",,,,,,,,,"1,945,804,187",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-113,-113,0,"1,168,842,931",-112,-112,0,,,"90,097,635","169,919,570",,"952,444,087","-17,553,247",,"-870,767,995",,0,"-870,767,995","-888,321,242",,,,"2,121,287,018",,,,,
[084370],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,614,010,378",,,"107,243,798","242,344,608",,,,,,,,,"7,294,213,147",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,427,,,"21,807,957,211",427,,,,,,"548,796,565",,"18,908,223,525","2,615,142,955",,"9,412,563,178",,"-109,292,875","9,521,856,053","12,027,706,133",,,,"40,716,180,736",,,,,
[060230],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-54,090,694",,,,,,,,,,,,,"2,124,816,447",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-272,,,"6,664,801,159",-272,,,,,,,,"2,070,725,753","-2,240,553,948",,"-4,866,757,048",,,,"-2,626,203,100",,,,"8,735,526,912",,,,,
[139480],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"46,995,736,461",,,"5,598,497,479","7,715,806,215",,,,,,,,,"933,125,223,783",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249,,,"2,473,353,126,658",249,,,,,"40,422,210,422","18,323,490,325",,"980,120,960,244","12,624,277,245",,"12,189,315,086",,"2,917,541,931","9,271,773,155","24,813,592,331",,,,"3,453,474,086,902",,,,,"2,033,884,703"
[000760],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"372,949,713",,,"479,355,903","147,390,989",,,,,,,,,"3,284,843,604",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,"13,295,648,834",,,,,,"591,984,198","69,377,277",,"3,657,793,317","20,661,202",,"161,646,504",,"33,955,117","127,691,387","182,307,706",,,,"16,953,442,151",,,,,
[129260],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,422,056,469",,,"690,036,486","3,500,876,131",,,,,,,,,"4,639,318,719",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,,,"112,726,745,498",68,,,,,"2,446,079,787","1,104,906,466",,"9,061,375,188","713,107,578",,"-307,133,937",,"-2,615,883,870","2,308,749,933","405,973,641","-307,133,937",,,"121,788,120,686",,,,,"135,930,138"
[023810],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,450,703,568",,,"732,936,578","902,915,090",,,,,,,,,"1,474,932,479",,,,,,,,,,,,,,,,,,"712,638,208",,,,,,,,,,,,,"5,525,111,242",334,,,"49,453,301,002",334,,,,,"116,758,901","110,849,043",,"10,450,747,289","600,343,879",,"3,387,109,527",,"42,565,778","3,344,543,749","3,987,453,406",,,,"59,904,048,291",,,,,
[007570],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,213,191,247",,,"500,928,585","156,548,446",,,,,,,,,"22,722,299,857",,,,,,,,,,,,,,,,,,"2,509,208,452",,,,"1,188,494,939",,,,,,,,,,83,,,"32,158,772,804",83,,,,,"1,406,579,416","308,947,854",,"29,444,699,556","755,430,164",,"2,704,509,660",,,,"3,459,939,824",,,,"61,603,472,360",,,,,
[159580],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-3,030,582,343",,,"240,910,478","355,546,808",,,,,,,,,"27,012,363,243",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-202,,,"30,492,139,362",-202,,,,,"106,927,026","47,208,200",,"23,981,780,900","-716,518,539",,"-2,488,418,960",,,"-2,488,418,960","-3,204,937,499",,,,"54,473,920,262",,,,,
[054950],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,309,687,775",,,"338,762,799","2,084,968,948",,,,,,,,,"6,150,641,299",,,,,,,,,,,,,,,,,,"468,532,242",,,,,,,,,,,,,,701,,,"14,094,237,952",,,,,,"-124,279,561","103,553,939",,"12,928,861,316","513,346,031",,"4,277,969,095",,0,"4,277,969,095","4,791,315,126",,,,"27,023,099,268",,,,,
[000480],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,081,441,467",,,"1,171,249,583","1,793,056,893",,,,,,,,,"18,651,184,779",,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,"1,950",0,"148,447,187,122",,"1,950",0,,,"4,239,979,797","6,115,964,684",,"27,732,626,246","4,024,110,108",,"7,353,254,353",,"1,014,547,873","6,338,706,480","11,377,364,461","7,353,254,353",0,,"176,179,813,368",,,,,"1,041,745,417"
[001630],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,524,696,419",,,,,,,,,,,,,"17,352,045,266",,,,,,,,,,,,,,"1,121",,,,,"254,353,920",,,,,,,,,,,,,,,,"49,293,864,695",,,,,,,,,"21,876,741,685","2,546,873,103",,"7,051,192,676",,"2,356,712,281","4,694,480,395","9,598,065,779",,,,"71,170,606,380",,,,,
[035000],"180,203,129","229,704,816","-9,000,000","587,077,643","209,999,989",,,,,"434,485,203","60,309,600","-93,160","3,391,278,941","480,876,142",,"358,412,922","459,041,076",,,"8,444,038","3,341,252","116,114,970","233,965,049",,,"171,458,333","743,148,314",,"1,346,751","203,939,935","49,501,381","4,601,449,596",,,"1,029,837,971","987,361,631",,"1,169,370,495","53,200,476","1,599,643,459","78,164,068","19,664,473,935","107,376,155","89,595,645","31,125,118,313","211,762,586","433,539,906","490,767,854","235,980,335",,,,,,,,,,,"19,343,551",,,,,0,12,,,,,,,,,"617,045,815",,287,287,,"54,990,853,711",287,287,,,,"280,488,245","617,613,536",,"35,726,567,909","330,266,112",,"4,650,785,115",,,"4,650,785,115","4,981,051,227","4,650,785,115",,,"90,717,421,620",,,,,
[002780],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,773,965,037",,,"2,133,493,121","16,488,136,648",,,,,,,,,"3,376,203,727",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24,,,"147,702,440,416",-24,,,,,"247,495,767","272,516,562",,"14,150,168,764",,,"-3,555,657,695",,,,"-3,555,657,695",,,,"161,852,609,180",,,,,
[030200],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"426,952,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"255,246,000,000","100,805,000,000",,,,"25,156,000,000","230,090,000,000",,,,,,,,940,940,,,940,940,,,,,,,,"-71,217,000,000",,"255,246,000,000",,"25,156,000,000","230,090,000,000",,,,,,,,,,"3,829,000,000"
[053210],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28,372,041,685",,,,,,,,,,,,,"143,839,803,829",,,,,,,,,,,,,,,,,,"494,123,936",,,,,,,,,,,,,,467,,,,467,,,,,,,,"172,211,845,514","-6,909,515,168",,"22,030,653,138",,"-158,904,308","22,189,557,446","28,940,168,306",,,,,,,,,"688,980,461"
[024880],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,395,100,976",,,"751,010,085","896,582,410",,,,,,,,,"7,669,113,397",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245,245,,"75,531,919,557",245,245,,,,"3,053,667,888","1,370,246,481",,"13,064,214,373","198,423,475",,"3,579,506,741",,"182,716","3,578,095,547","3,777,930,216","3,579,506,741",,,"88,596,133,930",,,,,"211,822,972"
[052400],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,400,840,550",,,"382,406,820","2,103,317,119",,,,,,,,,"7,584,838,458",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,"22,616,513,432",33,,,,,"-168,208,575","334,816,536",,"8,985,679,008","-477,730,566",,"920,048,374",,"430,761,407","489,286,967","442,317,808",,,,"31,602,192,440",,,,,"259,362,446"
[005420],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-5,569,850,533",,,,,,,,,,,,,"10,078,033,679",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-928,-928,,"68,234,767,620",-928,-928,,,,"6,757,755,111","1,010,817,102",,"4,508,183,146",,,"-12,348,171,568",,"85,962,887","-12,434,134,455","-12,348,171,568","-12,348,171,568",,,"72,742,950,766",,,,,
[066310],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"665,257,612",,,"297,214,112","67,492,362",,,,,,,,,"1,031,622,688",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,,,"4,367,845,744",,,,,,"-49,098,595","29,977,356",,"1,696,880,300","102,660,542",,"871,394,771",,0,"871,394,771","974,055,313",,,,"6,064,726,044",,,,,
[045520],,,,,,,,,,,,,,,,,,,,,,"121,349,783","38,867,769",,,,,,,,,"964,370,602",,,"32,678,795","10,503",,,,,,,,,"2,245,858,685",,,,,,,,,,,,,,,0,"26,915,000",,,,,,,,,,,,,,,,158,,,"10,424,000,346",158,,,,,"143,017,546","322,742,664",,"3,210,229,287","189,877,418",,"986,886,594",,,"986,886,594","1,176,764,012",,,,"13,634,229,633",,,,,
