,dart_AdvertisingExpenses,dart_AmortisationExpense,dart_BadDebtExpenses,dart_Commissions,dart_CommunicationExpenses,dart_CostOfSalesFromConstructionContracts,dart_CostOfSalesFromRenderingOfServices,dart_CostOfSalesFromSaleOfGoods,dart_DepreciationExpense,dart_DividendIncome,dart_Donations,dart_EmployeeBenefits,dart_EntertainmentExpenses,dart_FreightExpenses,dart_GainOnForeignExchangeTranslations,dart_GainsForeignCurrencyTransactions,dart_GainsOnDisposalsOfInvestments,dart_GainsOnDisposalsOfPropertyPlantAndEquipment,dart_InsurancePremiums,dart_InterestExpenseFinanceExpense,dart_InterestIncomeFinanceIncome,dart_LossOnForeignExchangeTranslations,dart_LossesForeignCurrencyTransactions,dart_LossesOnDisposalsOfInvestments,dart_LossesOnDisposalsOfPropertyPlantAndEquipment,dart_MiscellaneousIncome,dart_MiscellaneousLosses,dart_OperatingIncomeLoss,dart_OrdinaryDevelopmentExpense,dart_OtherCostOfSales,dart_OtherGains,dart_OtherLosses,dart_OtherReversalsOfProvisions,dart_ProvisionForSeveranceIndemnities,dart_PublicationExpenses,dart_RentalExpenses,dart_RepairExpenses,dart_SalariesWages,dart_SupplyExpenses,dart_TaxesDues,dart_TotalSellingGeneralAdministrativeExpenses,dart_TrainingExpenses,dart_TravelExpenses,dart_UtilityExpenses,dart_VehicleMaintenanceExpenses,dart_WritedownsOfInventories,dart_WritedownsOfPropertyPlantAndEquipment,entity_BasicEarningsLossPerShare,entity_CostOfSales,entity_DilutedEarningsLossPerShare,entity_EarningsPerShareAbstract,entity_FinanceCosts,entity_FinanceIncome,entity_GrossProfit,entity_IncomeStatementAbstract,entity_OperatingIncomeLoss,entity_OtherGains,entity_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates,entity_OtherLosses,entity_ProfitLoss,entity_ProfitLossBeforeTax,entity_ProfitLossFromDiscontinuedOperations,entity_Revenue,entity_TotalSellingGeneralAdministrativeExpenses,ifrs_AdministrativeExpense,ifrs_BasicEarningsLossPerShare,ifrs_BasicEarningsLossPerShareFromContinuingOperations,ifrs_BasicEarningsLossPerShareFromDiscontinuedOperations,ifrs_CostOfSales,ifrs_DepreciationAndAmortisationExpense,ifrs_DilutedEarningsLossPerShare,ifrs_DilutedEarningsLossPerShareFromContinuingOperations,ifrs_DilutedEarningsLossPerShareFromDiscontinuedOperations,ifrs_EarningsPerShareAbstract,ifrs_EmployeeBenefitsExpense,ifrs_FinanceCosts,ifrs_FinanceIncome,ifrs_GainsArisingFromDerecognitionOfFinancialAssetsMeasuredAtAmortisedCost,ifrs_GrossProfit,ifrs_IncomeTaxExpenseContinuingOperations,ifrs_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates,ifrs_OtherRevenue,ifrs_ProfitLoss,ifrs_ProfitLossBeforeTax,ifrs_ProfitLossFromContinuingOperations,ifrs_ProfitLossFromDiscontinuedOperations,ifrs_RawMaterialsAndConsumablesUsed,ifrs_Revenue,ifrs_RevenueFromConstructionContracts,ifrs_RevenueFromDividends,ifrs_RevenueFromRenderingOfServices,ifrs_RevenueFromRoyalties,ifrs_RevenueFromSaleOfGoods,ifrs_ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod
[004370],,,,,,,,,,,,,,,,,,,,,,,,,,,,"28,687,955,922",,,"123,545,672,062","1,048,711,444",,,,,,,,,"112,854,298,692",,,,,,,,,,,,,,"-35,784,210,923",,,,,,,,,,,"24,820",,,"336,497,432,524",,"24,820",,,,,"3,063,239,610","6,542,055,089",,"141,542,254,614","11,137,306,569",,,"143,526,425,450","154,663,732,019",,,,"478,039,687,138",,,,,,
[054050],"162,378,496",,,,"19,804,232",,,,"162,827,213","991,633,000","54,100,000","272,687,483","171,093,927","365,443,193",,,,"26,064,857","23,005,423","107,766,735","2,865,471",,,,"6,000","566,802,438","1,000,019","7,343,264,920","2,686,688,383",,"818,877,879","323,445,223",,"192,095,969","3,336,398","6,565,394","6,308,340","2,109,148,804","12,918,390","71,820,821","7,182,848,995","27,346,163","145,646,048","31,840,344","203,687,855",,,,"2,106,032,146",,,"401,779,818","77,227,717",,"1,740,139,591",,"226,010,584",,0,,,,"2,680,982,272","11,349,151",,,475,475,"7,747,261,554",,,,,,,"618,917,842","1,315,952,582",,"14,526,113,915",,,,"6,795,592,725",,,,,"22,273,375,469",,,,,,
[064260],,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,263,075,734",,,"1,145,847,661","1,079,311,404",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,,,"26,093,509,314",,74,,,,,"553,120,107","264,139,916",,,"471,355,585",,,"2,408,503,466","2,879,859,051",,,,"29,356,585,048",,,,,,
[019680],,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,605,650,049",,,"6,222,211,331","2,833,690,672",,,,,,,,,"22,633,541,678",,,,,,,138,,138,,,,,,,,,,,,,,,,,,,"159,585,570,656",,,,,,,"105,375,923","580,867,374",,"32,239,191,727","3,360,375,100",,,"12,449,270,100","15,809,645,200",,,,"191,824,762,383",,,,,,"2,339,983,041"
[006370],,,,,,,,,,,,,,,,,,,,,,,,,,,,"-322,356,576",,,"63,717,694","159,304,592",,,,,,,,,"22,739,722,439",,,,,,,,,,,,,,,,,,,,,,,,,52,,,"12,129,734,314",,52,,,,,"115,939,045","989,224,508",,"22,417,365,863","50,402,025",,,"404,939,964","455,341,989",,,,"34,547,100,177",,,,,,
[000210],,,,,,,,,,,,,,,,,,,,,,,,,,,,"58,879,564,152",,,"257,585,550,428","198,363,261,626",,,,,,,,,"121,395,814,741",,,,,,,,,,"1,425",,,,,,,,,,,,,,,"1,412",,,"1,747,706,186,999",,"1,412",,,,,"23,483,132,875","16,396,521,806",,"180,275,378,893","56,457,281,520",,,"54,557,960,365","111,015,241,885",,,,"1,927,981,565,892",,,,,,
[078140],,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,762,174,976",,,"134,324,957","98,749,575",,,,,,,,,"1,691,953,437",,,,,,,,,,,,,,,,,,,,,,,,,145,,,"12,278,474,748",,145,,,,,"14,873,775","123,404,718",,"3,454,128,413","303,788,924",,,"1,602,492,377","1,906,281,301",,,,"15,732,603,161",,,,,,
[005620],,,,,,,,,,,,,,,,,,,,,,,,,,,,"280,473,585",,,"4,381,146,436",,,,,,,,,,"1,039,438,295",,,,,,,,,,,,,,"303,754,536",,,,,,,,,,,"2,306",,,"3,048,620,248",,218,,,,,,"845,046,178",,"1,319,911,880","455,727,670",,,"3,521,098,265","3,673,071,399",,,,,,,,,,
[045390],,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,516,817,289",,,"168,072,614","392,520,241",,,,,,,,,"1,720,488,393",,,,,,,,,,,,,,,,,,,,,,,,,29,,,"10,407,777,215",,28,,,,,,"131,331,839",,"4,237,305,682","361,342,828",,,"2,062,358,673","2,423,701,501",,,,"14,645,082,897",,,,,,
[047040],,,,,,,,,,,,,,,,,,,,,,,,,,,,"83,638,579,161",,,"205,888,824,326","267,411,946,491",,,,,,,,,"89,640,131,116",,,,,,,,,,,,,,,,,,,,,,,,,-16,,,"2,366,050,500,731",,-16,,,,,"22,515,425,953","5,954,132,479",,"173,278,710,277","12,292,510,221",,,"-6,738,346,699","5,554,163,522",,,,"2,539,329,211,008",,,,,,
[042660],,,,,,,,,,,,,,,,,,,,,,,,,,,,"139,017,856,822",,,"263,443,734,629","210,132,394,165",,,,,,,,,"33,044,436,449",,,,,,,,,,,,,,"8,478",,,,,,,,,,"30,579,776,722",,,,"3,009,144,620,189",,,,,,,"12,268,881,816","16,163,952,227",,"215,765,506,665","8,467,501,702",,,"180,750,371,837","189,217,873,539",,,,"3,224,910,126,854",,,,,,
[000430],,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,715,655,213",,,,,,,,,,,,,"8,607,689,018",,,,,,,,,,,,,,0,,,,,,,,,,,129,,,"187,617,395,335",,,,,,,,,,"16,323,344,231","2,251,563,331",,,"7,982,815,444","10,234,378,775",,,,"203,940,739,566",,,,,,
[005710],,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,514,448,845",,,"3,104,243,013","3,152,054,844",,,,,,,,,"6,400,117,188",,,,,,,,,,,,,,,,,,,,,,,,,280,,,"132,330,067,065",,280,,,,,,"769,667,326",,"12,914,566,033","1,626,898,732",,,"5,609,405,608","7,236,304,340",,,,"145,244,633,098",,,,,,
[100130],,,,,,"10,750,091,797",,"28,082,039,072",,,,,,,,,,,,,,,,,,,,"8,098,506,529",,"118,174,521","2,715,588,911","1,717,598,588",,,,,,,,,"1,886,339,034",,,,,,,,,,,,,,,,,,,,,,"118,174,521",,,131,,,"38,950,305,390",,,,,,,"3,656,620","220,532,634",,"9,984,845,563","2,026,600,624",,,"7,286,772,242","9,313,372,866",,,,"48,935,150,953","11,739,613,826",,,,"37,077,362,606",
[005160],,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,296,697,696",,,,,,,,,,,,,,,,,,,,,,,,,,,"1,265,434,543",,,,,,,,,,,113,,,,,109,,,,,,,,,"1,911,876,197",,,"5,356,943,343","7,268,819,540",,,,,,,,,,
[001230],,,,,,,,,,,,,,,,,,,,,,,,,,,,"41,200,826,000",,,,,,,,,,,,,"74,489,886,000",,,,,,,,,,,,,,"5,654,828,000",,,,,,,,,,,27,,,"874,010,221,000",,27,,,,,,,,"115,690,712,000","8,657,174,000",,,"2,512,501,000","11,169,675,000",,,,"989,700,933,000",,,,,,
[000990],"48,623,187","2,615,425,768",,"2,122,703,049","48,707,561",,"115,530,987,427",,"191,572,963",,0,"788,761,340","312,322,996","242,920,954","993,936,783","2,665,670,008",,0,"27,675,417","11,087,129,761","484,142,945","2,863,421,052","1,256,512,258",,"52,111,799","395,152,874","56,718,957","40,709,449,919","13,715,764,887",,"4,080,297,165","7,219,466,727",,"867,479,902","66,019,501","430,080,596","28,208,708","4,931,327,901","45,754,871","184,003,625","27,635,875,340","215,770,668","125,499,459",,"31,510,928",,0,,,,767,0,"184,501,204",,"79,700,000",,0,,0,,,,,"160,041,452",,768,,,"115,530,987,427",,,,,,,"11,971,548,678","2,546,074,446",,"68,345,325,259","-4,982,771,532",,"3,620,684,806","33,207,277,657","28,224,506,125","33,207,277,657",,,"183,876,312,686",,,"180,255,627,880",,,
[001520],,,,,,,,,,,,,,,,,,,,,,,,,,,,"-2,525,002,665",,,"13,594,191,420","1,173,817,413",,,,,,,,,"11,869,597,029",,,,,,,,,,37,,,,,,,,,,,,,,,,,,"75,805,661,019",,,,,,,"1,407,349,876","3,109,521,162",,"9,344,594,364","2,751,581,064",,,"8,845,961,564","11,597,542,628","8,845,961,564",,,"85,150,255,383",,,,,,
[084670],,,,,,,"25,995,599,006",,,,,,,,,,,,,,,,,,,,,"4,382,195,128",,"251,777,048","411,349,091","12,914,119",,,,,,,,,"3,036,475,546",,,,,,,,,,,,,,,,,,,,,,,,,"1,268",,,"26,247,376,054",,"1,268",,,,,"625,830,574","132,457,368",,"7,418,670,674","925,259,439",,"1,045,263,141","3,361,997,455","4,287,256,894","3,361,997,455",,,"33,666,046,728",,,"32,620,783,587",,,
[030790],,,,,,,,,,,,,,,,,,,,,,,,,,,,"-892,060,433",,,"637,498,215","4,795,280",,,,,,,,,"2,946,654,091",,,,,,,,,,,,,,,,,,,,,,,,,-4,,,"20,706,002,462",,-4,,,,,"295,161,853","284,377,957",,"2,054,593,658","-40,224,054",,,"-229,917,340","-270,141,394",,,,"22,760,596,120",,,,,,
[001530],,,,,,,,,,"8,975,354,700",,,,,,,,,,"880,437,993","198,310,950",,,,,,,"228,360,638",,,"159,858,936","1,049,459,177",,,,,,,,,"1,809,019,043",,,,,,,,,,,"1,047,170,865","5,790,570",,,,,,,,,,,,,"3,644",,,"66,346,490,156",,,,,,,"3,569,163,587","11,271,423,720",,"2,037,379,681","1,143,142,219",,,"5,897,878,311","7,041,020,530",,,,"68,383,869,837",,,,,,
[000150],,,,,,,,"277,248,742,314",,,,,,,,,,,,,,,,,,,,"71,054,489,862",,"39,861,141,484","493,735,826","23,740,533,293",,,,,,,,,,,,,,,,"1,643","65,428,793,954","1,643",,,,,,,,,,,,,,,,,"1,630",,"382,538,677,752",,,"1,630",,,,"21,066,116,357","10,063,036,681",,,"4,522,548,387",,"60,660,316,783","32,282,064,332","36,804,612,719","32,282,064,332",,,"453,593,167,614",,"39,431,556,670",,,"353,501,294,161",
[011160],,,,,,,,,,,,,,,,,,,,,,,,,,,,"15,984,629,706",,,"42,603,569,243","21,567,611,246",,,,,,,,,"19,856,413,683",,,,,,,,,,,,,,,,,,,,,,,,,"-1,908",-583,"-1,325","239,341,679,407",,"-1,908",-583,"-1,325",,,"33,895,045,503","2,052,097,538",,"35,841,043,389","13,033,987,450",,,"-84,929,275,493","5,177,639,738","-7,856,347,712","-77,072,927,781",,"275,182,722,796",,,,,,
[241560],,,,,,,,,,,,,,,,,,,,,,,,,,,,"127,020,000",,,"10,000",,,,,,,,,,"3,640,875,000",,,,,,,,,,,,,,,,,,,,,,,,,,-140,-140,,,,,,,,"240,579,000","3,658,934,000",,"3,767,895,000","779,845,000",,,"2,765,540,000","3,545,385,000",,,,"3,767,895,000",,,,,,
[082740],,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,674,941,332",,,"112,776,548","570,263,845",,,,,,,,,"6,991,052,745",,,,,,,,,,,,,,,,,,,,,,,,,-22,,,"155,201,500,944",,-22,,,,,"37,811,152,080","33,804,299,537",,"9,665,994,077","-267,363,357",,,"-1,522,035,151","-1,789,398,508","-1,522,035,151",,,"164,867,495,021",,,,,,
[042670],,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,941,669,464",,,"6,679,172,453","16,956,285,421",,,,,,,,,"78,538,266,996",,,,,,,,,,,,,,0,,,,,,,,,,,,-6,-6,"483,432,155,327",,,-72,-72,,,"66,631,094,844","51,098,218,346",,"89,479,936,460","-3,598,133,440",0,,"2,446,608,289","-14,868,320,002","-11,270,186,562","13,716,794,851",,"572,912,091,787",,,,,,
[034020],,,,,,,,,,,,,,,,,,,,,,,,,,,,"85,204,493,228",,,"3,154,947,482","14,326,531,609",,,,,,,,,"89,068,209,746",,,,,,,,,,,,,,,,,,,,,,,,,129,129,,"845,237,895,595",,129,129,,,,"302,261,143,881","250,243,976,521",,"174,272,702,974","6,160,934,713",,,"15,854,807,028","22,015,741,741","15,854,807,028",,,"1,019,510,598,569",,,,,,
[003160],,,,,,,,,,,,,,,,,,,,"250,261,134","121,864,525",,,,,,,"-74,883,273",,,"133,783,404","12,013,349",,,,,,,,,"3,268,726,500",,,,,,,,,,,"51,185,428","3,101,115",,"545,897,529",,,,,,,,,,,-1,,,"5,494,827,983",,-1,,,,,"371,433,440","283,943,391",,"3,739,740,756","18,011,394",,,"-22,591,873","-40,603,267",,,,"9,234,568,739",,,,,,
[066900],,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,702,274,949",,,"336,916,030","25,132,528",,,,,,,,,"2,774,051,102",,,,,,,,,,,,,,,,,,,,,,,,,200,,,"62,338,674,232",,200,,,,,"2,685,324,533","1,293,828,652",,"8,476,326,051","912,126,389",,,,"4,622,562,570","3,710,436,181",,,"70,815,000,283",,,,,,
[101000],,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,418,490,731",,,"636,805,564","586,821,196",,,,,,,,,"631,563,690",,,,,,,,,,,,,,,,,,,,,,,,,129,,,"30,499,897,911",,121,,,,,"354,362,883","100,676,352",,"4,050,054,421","-29,340,585",,,"3,244,129,153","3,214,788,568",,,,"34,549,952,332",,,,,,
[171010],,,,,,,,,,,,,,,,,,,,,,,,,,,,"192,246,492",,,"177,155,300","76,426,912",,,,,,,,,"725,088,494",,,,,,,,,,,,,,,,,,,,,,,,,3,,,"6,270,026,336",,,,,,,"420,925,185","168,325,875",,"917,334,986","10,586,151",,,"29,789,419","40,375,570",,,,"7,187,361,322",,,,,,
[131100],,,,,,,,,,,,,,,,,,,,,,,,,,,,"-716,854,350",,,"347,322,671","129,130,829",,,,,,,,,"1,398,457,316",,,,,,,,,,,,,,"-503,871,934",,,,,,,,,,,-161,,,"9,349,541,628",,-161,,,,,"1,104,456,296","41,635,846",,"681,602,966",0,,,"-2,031,136,102","-1,527,264,168","-1,527,264,168",,,"10,031,144,594",,,,,,
[005990],,,,,,,,,,,,,,,,,,,,,"223,616,131",,,,,,,"-1,900,192,208",,,"634,948,131","659,309,524",,,,,,,,,"2,787,918,930",,,,,,,,,,870,,,,"12,223,952,881",,,,,,,,,,,857,,,"396,354,202",,769,,,,,,"223,616,131",,"887,726,722","-275,512,481",,,"10,798,527,892","-1,700,937,470",,,,"1,284,080,924",,,,,,
[067280],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,889,414,884","601,510,270",,,,,,,,,,,266,,,"23,960,437,126",,266,,,,,,,,"13,261,362,979",,,,"1,573,661,773",,,,,"37,221,800,105",,,,,,
[041920],,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,748,411,085",,,"732,217,187","675,369,308",,,,,,,,,"2,351,909,918",,,,,,,,,,,,,,,,,,,,,,,,,203,,,"7,416,893,248",,203,,,,,0,"27,792,562",,"4,100,321,003","264,263,650",,,"1,568,787,876","1,833,051,526",,,,"11,517,214,251",,,,,,
[009680],,,,,,,,,,,,,,,,,,,,,,,,,,,,"825,927,824",,,"14,522,133,786","600,392",,,,,,,,,"3,651,932,461",,,,,,,,,,,,,,,,,,,,,,,,,545,,,"42,101,738,699",,,,,,,"197,300,337","988,216,951",,"4,477,860,285","3,680,824,214",,,"12,457,553,618","16,138,377,832",,,,"46,579,598,984",,,,,,
[033920],,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,431,772,489",,,"2,155,793,182","4,691,551,259",,,,,,,,,"18,576,708,295",,,,,,,,,,,,,,"-44,451",,,,,,,,,,,,,,"32,436,635,585",,,,,,,,,,"30,008,480,784","2,322,843,171",,,"6,573,126,790","8,895,969,961",,,,"62,445,116,369",,,,,,
[003000],,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,146,833,964",,,"12,386,681,435","820,327,238",,,,,,,,,"10,773,711,340",,,,,,,,,,,,,,,,,,,,,,,,"4,698,468,821",330,,,"14,292,648,864",,330,,,,,"7,405,231","389,267,060",,"18,619,014,125","3,250,933,885",,,"11,844,116,105","15,095,049,990",,,,"32,911,662,989",,,,,,
[015350],,,,,,,,,,,,,,,,,,,,,,,,,,,,"21,684,655,128",,,"1,226,605,436","767,289,958",,,,,,,,,"23,835,395,742",,,,,,,,,,,,,,,,,,,,,,,,,"2,110",,,"321,170,070,320",,,,,,,"35,088,613","670,334,803",,"45,520,050,870","5,360,221,579",,,"21,097,160,434","26,457,382,013",,,,"366,690,121,190",,,,,,"3,678,165,217"
[065450],,,,,,,,,,,,,,,,,,,,,,,,,,,,"-698,369,287",,,"56,568,372",,,,,,,,,,"711,917,499",,,,,,,,,,,,,,,,,,,,,,,,,-21,,,"7,517,221,945",,-21,,,,,"149,240,634","36,321,783",,"13,548,212","-243,716,458",,,"-511,003,308","-754,719,766",,,,"7,530,770,157",,,,,,0
[018260],,,,,,,,,,,,,,,,,,,,"135,941,379","4,559,936,558",,,,,,,"63,700,514,095",,,"63,623,237,930","8,024,141,944",,,,,,,,,"142,640,442,720",,,,,,,,,,,"9,636,455,839","2,695,470,689",,,,,,,,,,,,,"1,171",,,"744,530,562,803",,"1,171",,,,,"17,398,599,073","15,726,987,957",,"206,340,956,815","27,056,356,256",,,"90,571,642,709","117,627,998,965","90,571,642,709",,,"950,871,519,618",,,,,,
[028050],,,,,,,,,,,,,,,,,,,,,"1,697,432,944",,,,,,,"-29,862,648,989",,,"490,374,309,005","457,480,887,874",,,,,,,,,"77,872,461,127",,,,,,,,,,,"4,837,967,316","1,676,375,161",,,,,,,,,,,,,49,,,"1,051,976,116,784",,49,,,,,"12,288,599,595","14,349,990,622",,"48,009,812,138","266,271,530",,,"4,825,891,639","5,092,163,169",,,,"1,099,985,928,922",,,,,,
[005930],,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,020,471,000,000",,,"387,168,000,000","222,255,000,000",,,,,,,,,"5,905,223,000,000",,,,,,,,,,,,,,,,,,,,,,,,,"17,153",,,"23,789,080,000,000",,"17,153",,,,,"1,610,791,000,000","1,605,290,000,000",,"8,925,694,000,000","696,414,000,000",,,"2,483,469,000,000","3,179,883,000,000","2,483,469,000,000",,,"32,714,774,000,000",,,,,,
[010140],,,,,,,,,,,,,,,,,,,,,,,,,,,,"18,908,702,864",,,"562,079,394,820","557,025,097,444",,,,,,,,,"81,615,177,671",,,,,,,,,,215,,,,,,,,,,,,,,,165,,,"2,284,188,352,576",,165,,,,,"60,940,748,308","64,353,124,238",,"100,523,880,535","6,560,112,332",,,"33,935,488,502","27,375,376,170",,,,"2,384,712,233,111",,,,,,
[002170],,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,540,818,313",,,"238,154,447","751,516",,,,,,,,,"1,163,666,064",,,,,,,,,,,,,,,,,,,,,,,,,"1,411",,,"42,530,553,565",,"1,411",,,,,"1,878,184,460","1,533,661,883",,"6,704,484,377","1,199,939,530",,,"4,233,759,137","5,433,698,667",,,,"49,235,037,942",,,,,,
[001880],,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,906,370,442",,,"1,420,697,314","1,507,192,664",,,,,,,,,"7,292,355,277",,,,,,,,,,,,,,"9,727,049",,,,,,,,,,,770,,,"150,397,188,544",,,,,,,"1,350,505,994","758,404,785",,"24,198,725,719","4,522,343,265",,,"11,695,703,569","16,218,046,834",,,,"174,595,914,263",,,,,,
[004450],,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,363,742,756",,,"100,880,817","17,512,188",,,,,,,,,"2,384,547,781",,,,,,,,,,,,,,,,,,,,,,,,,"1,538",,,"17,902,901,488",,"1,538",,,,,"80,474,213","476,571,141",,"5,748,290,537","977,087,111",,,"2,861,350,940","3,838,438,051",,,,"23,651,192,025",,,,,,"-4,770,262"
[033790],,"517,955","472,051","100,823,317","4,603,148",,,"894,438,780","44,554,993","671,400",,"33,701,422","11,936,700","3,666,810","472,051",,,"699,000","2,311,806","6,118,359","88,288,896",,,,,"383,895,715",,"-741,662,776","198,746,307","48,098,642","387,864,266",,,"29,663,235","1,708,478","720,000","13,162,895","138,735,840","2,168,872","19,450,921","638,811,174","58,000","8,775,066","17,297,028","3,918,630",,,,,,,110,"658,152",,3,,,,,,,,,,,-23,,,"942,537,422",,-23,,,,,"6,118,469","89,622,914",,"-102,851,602","13,268,304",,"100,622,020","-258,044,033","-271,312,337",,,,"839,685,820",,,,,"739,063,800",
[003100],,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,348,177,175",,,"1,315,563,665","128,186,408",,,,,,,,,"1,923,715,108",,,,,,,,"70,147,101",,,,,,,,,,,,,,"458,297,438",,,690,,,"14,438,891,054",,690,,,,,"14,530,621","169,021,483",,"6,271,892,283","1,289,821,114",,,"4,400,224,180","5,690,045,294","4,400,224,180",,,"20,710,783,337",,,,,,
[017510],,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,351,802,602",,,"419,662,407","21,606,980",,,,,,,,,"303,116,866",,,,,,,,,,,,,,,,,,,,,,,,,98,,,"2,641,275,500",,,,,,,"360,007","56,140,934",,"1,654,919,468","312,368,264",,,"1,493,269,692","1,805,638,956",,,,"4,296,194,968",,,,,,
[091090],,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,317,482,987",,,"2,465,433,438","6,102,926,695",,,,,,,,,"3,889,078,880",,,,,,,,,,,,,,"801,447,382",,,,,,,,,,,-51,,,"63,036,083,464",,-51,,,,,"1,685,212,389","157,770,659",,"7,008,009,249","-136,997,952",,,"-2,942,192,657","-3,079,190,609",,,,"70,044,092,713",,,,,,"-231,738,609"
[021820],,,,,,,,,,,,,,,,,,,,,,,,,,,,"-371,772,205",,,"1,479,799,223","614,401,470",,,,,,,,,"1,554,121,961",,,,,,,,,,,,,,,,,,,,,,,,,61,,,"9,412,088,985",,,,,,,"799,070,835","995,119,281",,"1,182,349,756","84,506,945",,,"605,167,049","689,673,994",,,,"10,594,438,741",,,,,,
[036630],,,,,,,,,,,,,,,,,,,,,,,,,,,,"508,503,732",,,"174,337,176","583,269,306",,,,,,,,,"48,938,467,254",,,,,,,,,,,,,,"49,446,970,986",,,,,,,,,,,2,,,,,2,,,,,"385,571,915","800,217,044",,,"-4,280,186","-6,680,824",,"511,816,093","507,535,907",,,,,,,,,,
[108860],,,,,,,,,,,,,,,,,,,,,,,,,,,,"-496,241,179",,,"8,787,767","58,824,637",,,,,,,,,"3,471,004,145",,,,,,,,,,,,,,,,,,,,,,,,,-12,,,,,-12,,,,,,"149,675,598",,"2,974,762,966","128,372,411",,,"-268,230,040","-396,602,451",,,,,,,,,,
[068270],,,,,,,,,,,,,,,,,,,,,,,,,,,,"25,466,006,499",,,"2,269,489,369","21,716,656,583",,,,,,,,,"30,185,655,604",,,,,,,,,,,,,,,,,,,,,,,,,65,,,"35,268,506,189",,64,,,,,"4,274,828,487","4,682,874,786",,"55,651,662,103","-1,429,670,124",,,"7,856,555,708","6,426,885,584",,,,"90,920,168,292",,,,,,
[086980],,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,091,115,360",,,"59,470,753","34,794,420",,,,,,,,,"1,694,271,324",,,,,,,,,,,,,,92,,,,,,,,,,,,,,"34,798,689,861",,,,,,,,"346,151,282",,"8,785,386,684","1,739,760,181",,,"5,722,182,794","7,461,942,975",,,,"43,584,076,545",,,,,,
[050960],,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,216,240,786",,,"760,642","10,000,000",,,,,,,,,"2,274,755,429",,,,,,,,,,,,,,"3,490,996,215",,,,,,,,,,,209,,,,,,,,,,0,"106,602,529",,,"266,992,870",,,"1,046,611,087","1,313,603,957",,,,,,,,,,
[004970],,,,,,,,,,,,,,,,,,,,,,,,,,,,"-595,225,910",,,,,,,,,,,,,"12,333,280,861",,,,,,,,,,,,,,"11,181,012,901",,,,,,,,,,,993,,,"59,527,470,676",,,,,,,,,,"11,738,054,951","7,456,516,694",,,"15,886,872,166","23,343,388,860",,,,"71,265,525,627",,,,,,
[065350],,,,,,,,,,,,,,,,,,,,,,,,,,,,"866,981,999",,,"1,029,972,270","854,869,089",,,,,,,,,"3,917,157,872",,,,,,,,,,,,,,,,,,,,,,,,,20,,,"32,250,504,118",,,,,,,"854,862,879","303,247,147",,"4,784,139,871","97,570,473",,,"392,898,975","490,469,448","392,898,975",,,"37,034,643,989",,,,,,
[011930],,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,924,038,511",,,"1,518,873,723","2,631,243,923",,,,,,,,,"1,461,697,593",,,,,,,,,,,,,,0,,,,,,,,,,"1,082,941,593",2,,,"44,576,775,465",,2,,,,,"2,489,444,364","850,438,392",,"5,866,326,094","22,498,206",,,"150,164,133","172,662,339",,,,"50,443,101,559",,,,,,
[004170],,,,,,,,,,,,,,,,,,,,,,,,,,,,"44,320,147,281",,,"4,403,720,331","10,049,027,187",,,,,,,,,"240,764,311,903",,,,,,,,,,,,,,,,,,,,,,,,,"4,083",,,"92,812,750,348",,"4,083",,,,,"11,866,973,384","23,712,211,255",,"285,084,459,184","10,359,987,662",,,"40,160,090,634","50,520,078,296",,,,"377,897,209,532",,,,,,
[031430],,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,899,425,190",,,"1,600,506,271","6,656,824,941",,,,,,,,,"98,692,794,222",,,,,,,,,,,,,,,,,,,,,,,,,,-476,,"115,307,621,198",,,,,,,"8,822,146,048","8,575,882,190",,"101,592,219,412","997,315,996",0,,"-3,400,473,334","-2,403,157,338",,,,"216,899,840,610",,,,,,
