,dart_AdvertisingExpenses,dart_AmortisationExpense,dart_BadDebtExpenses,dart_Commissions,dart_CommunicationExpenses,dart_CostOfSalesFromConstructionContracts,dart_CostOfSalesFromRenderingOfServices,dart_CostOfSalesFromSaleOfGoods,dart_DepreciationExpense,dart_DividendIncome,dart_Donations,dart_EmployeeBenefits,dart_EntertainmentExpenses,dart_FreightExpenses,dart_GainOnForeignExchangeTranslations,dart_GainsForeignCurrencyTransactions,dart_GainsOnDisposalsOfInvestments,dart_GainsOnDisposalsOfPropertyPlantAndEquipment,dart_InsurancePremiums,dart_InterestExpenseFinanceExpense,dart_InterestIncomeFinanceIncome,dart_LossOnForeignExchangeTranslations,dart_LossesForeignCurrencyTransactions,dart_LossesOnDisposalsOfInvestments,dart_LossesOnDisposalsOfPropertyPlantAndEquipment,dart_MiscellaneousIncome,dart_MiscellaneousLosses,dart_OperatingIncomeLoss,dart_OrdinaryDevelopmentExpense,dart_OtherCostOfSales,dart_OtherGains,dart_OtherLosses,dart_OtherReversalsOfProvisions,dart_ProvisionForSeveranceIndemnities,dart_PublicationExpenses,dart_RentalExpenses,dart_RepairExpenses,dart_SalariesWages,dart_SupplyExpenses,dart_TaxesDues,dart_TotalSellingGeneralAdministrativeExpenses,dart_TrainingExpenses,dart_TravelExpenses,dart_UtilityExpenses,dart_VehicleMaintenanceExpenses,dart_WritedownsOfInventories,dart_WritedownsOfPropertyPlantAndEquipment,entity_BasicEarningsLossPerShare,entity_CostOfSales,entity_DilutedEarningsLossPerShare,entity_EarningsPerShareAbstract,entity_FinanceCosts,entity_FinanceIncome,entity_GrossProfit,entity_IncomeStatementAbstract,entity_OperatingIncomeLoss,entity_OtherGains,entity_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates,entity_OtherLosses,entity_ProfitLoss,entity_ProfitLossBeforeTax,entity_ProfitLossFromDiscontinuedOperations,entity_Revenue,entity_TotalSellingGeneralAdministrativeExpenses,ifrs_AdministrativeExpense,ifrs_BasicEarningsLossPerShare,ifrs_BasicEarningsLossPerShareFromContinuingOperations,ifrs_BasicEarningsLossPerShareFromDiscontinuedOperations,ifrs_CostOfSales,ifrs_DepreciationAndAmortisationExpense,ifrs_DilutedEarningsLossPerShare,ifrs_DilutedEarningsLossPerShareFromContinuingOperations,ifrs_DilutedEarningsLossPerShareFromDiscontinuedOperations,ifrs_EarningsPerShareAbstract,ifrs_EmployeeBenefitsExpense,ifrs_FinanceCosts,ifrs_FinanceIncome,ifrs_GainsArisingFromDerecognitionOfFinancialAssetsMeasuredAtAmortisedCost,ifrs_GrossProfit,ifrs_IncomeTaxExpenseContinuingOperations,ifrs_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates,ifrs_OtherRevenue,ifrs_ProfitLoss,ifrs_ProfitLossBeforeTax,ifrs_ProfitLossFromContinuingOperations,ifrs_ProfitLossFromDiscontinuedOperations,ifrs_RawMaterialsAndConsumablesUsed,ifrs_Revenue,ifrs_RevenueFromConstructionContracts,ifrs_RevenueFromDividends,ifrs_RevenueFromRenderingOfServices,ifrs_RevenueFromRoyalties,ifrs_RevenueFromSaleOfGoods,ifrs_ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod
[060370],,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,811,001,551",,,"211,726,554","4,150,074",,,,,,,,,"1,214,493,918",,,,,,,,,,,,,,"918,790,545",,,,,,,,,,,199,,,"18,900,920,572",,,,,,,,"1,157,164,853",,"6,025,495,469","1,162,024,700",,,"4,094,927,639","5,256,952,339",,,,,,,,,,
[003550],,,,,,,,,,,,,,,,,,,,,,,,,,,,"304,651,000,000",,,,,,,,,,,,,,,,,,,,,,,"1,663,000,000",,,,"97,000,000",,,,,,,,"25,250,000,000",,,,,,,,,,,,,,,,,"22,190,000,000",,,"283,616,000,000","305,806,000,000",,,,"346,465,000,000",,,,,,
[001120],,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,589,137,104",,,,,,,,,,,,,"46,742,034,549",,,,,,,,,,,,,,"4,978,231,144",,,,,,,,,,,480,,,"709,776,162,146",,,,,,,,,,"52,331,171,653","4,390,272,687",,,"18,556,967,602","22,947,240,289",,,,"762,107,333,799",,,,,,
[051900],,,,,,,,,,,,,,,,,,,,,,,,,,,,"181,900,072,268",,,,,,,,,,,,,"388,557,245,228",,,,,,,,,,"10,186",,,,"-7,106,236,524",,,,,,,,,,,"10,174",,,"372,900,625,858",,,,,,,"5,268,131,422","41,259,872,296",,"570,457,317,496","40,287,956,039",,,"170,497,620,579","210,785,576,618",,,,"943,357,943,354",,,,,,
[032640],,,,"1,369,510,000,000",,,,,"401,476,000,000",,,,,,,,,,,,,,,,,,,"173,871,000,000",,,"17,511,000,000","13,207,000,000",,,,,,"153,444,000,000",,,"1,924,430,000,000",,,,,,,,,,,,,,,,,,,,,,,,,259,,,"614,673,000,000",,,,,,,"41,289,000,000","10,349,000,000",,"2,098,301,000,000","33,963,000,000",,,"113,272,000,000","147,235,000,000",,,,"2,712,974,000,000",,,,,,
[011070],,,,,,,,,,,,,,,,,,,,,,,,,,,,"-17,765,017,627",,,"39,629,271,208","41,432,396,573",,,,,,,,,"121,432,316,753",,,,,,,,,,,,,,,,,,,,,,,"75,235,475,565",,,-956,,"1,004,074,744,132",,,-956,,,,"12,278,941,125","3,498,711,028",,"103,667,299,126","-5,720,833,587",,,"-22,627,539,502","-28,348,373,089","-22,627,539,502",,,"1,107,742,043,258",,,,,,
[066570],,,,,,,,,,,,,,,,,,,,,,,,,,,,"81,238,000,000",,,"482,058,000,000","466,839,000,000",,,,,,,,,"604,268,000,000",,,,,,,,,,0,,,,"128,214,000,000",,,,,,,,,,"148,667,000,000",161,161,0,"5,658,277,000,000",,,,,,,"125,368,000,000","58,523,000,000",,"1,514,516,000,000","432,000,000",,,"29,180,000,000","29,612,000,000","29,180,000,000",0,,"7,172,793,000,000",,,,,,
[108670],,,,,,,,,,,,,,,,,,,,,,,,,,,,"32,721,000,000",,,,,,,,,,,,,"112,251,000,000",,,,,,,,,,,,,,"4,843,000,000",,,,,,,,,,,,"2,647",-372,"412,934,000,000",,,"2,659",-372,,,,,,"144,972,000,000","5,188,000,000",,,"22,716,000,000","31,612,000,000","26,424,000,000","-3,708,000,000",,"557,906,000,000",,,,,,
[051910],,,,,,,,,,,,,,,,,,,,,,,,,,,,"435,607,000,000",,,"154,447,000,000","187,067,000,000",,,,,,,,,"426,432,000,000",,,,,,,,,,"4,378,000,000",,,,,,,,,,,,,,,,,,"3,341,736,000,000",,,,,,,"32,291,000,000","33,498,000,000",,"862,039,000,000","83,073,000,000",,,"321,121,000,000","404,194,000,000",,,,"4,203,775,000,000",,,,,,
[104200],,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,246,056,267",,,"8,781,471","17,763,822",,,,,,,,,,,,,,,,,,,,,,,"13,924,514,147",,,,,,,,,,,84,,,,,84,,,,,"41,460,931","303,561,749",,,"337,721,741",,,"1,190,464,157","1,528,185,898","1,190,464,157",,,"15,170,570,414",,,,,,"29,011,164"
