,dart_AdvertisingExpenses,dart_AmortisationExpense,dart_BadDebtExpenses,dart_Commissions,dart_CommunicationExpenses,dart_CostOfSalesFromConstructionContracts,dart_CostOfSalesFromRenderingOfServices,dart_CostOfSalesFromSaleOfGoods,dart_DepreciationExpense,dart_DividendIncome,dart_Donations,dart_EmployeeBenefits,dart_EntertainmentExpenses,dart_FreightExpenses,dart_GainOnForeignExchangeTranslations,dart_GainsForeignCurrencyTransactions,dart_GainsOnDisposalsOfPropertyPlantAndEquipment,dart_InsurancePremiums,dart_InterestExpenseFinanceExpense,dart_InterestIncomeFinanceIncome,dart_LossOnForeignExchangeTranslations,dart_LossesForeignCurrencyTransactions,dart_LossesOnDisposalsOfInvestments,dart_LossesOnDisposalsOfPropertyPlantAndEquipment,dart_MiscellaneousIncome,dart_MiscellaneousLosses,dart_OperatingIncomeLoss,dart_OrdinaryDevelopmentExpense,dart_OtherCostOfSales,dart_OtherGains,dart_OtherLosses,dart_OtherReversalsOfProvisions,dart_ProvisionForSeveranceIndemnities,dart_PublicationExpenses,dart_RentalExpenses,dart_RepairExpenses,dart_SalariesWages,dart_SupplyExpenses,dart_TaxesDues,dart_TotalSellingGeneralAdministrativeExpenses,dart_TrainingExpenses,dart_TravelExpenses,dart_UtilityExpenses,dart_VehicleMaintenanceExpenses,dart_WritedownsOfInventories,dart_WritedownsOfPropertyPlantAndEquipment,entity_BasicEarningsLossPerShare,entity_CostOfSales,entity_DilutedEarningsLossPerShare,entity_EarningsPerShareAbstract,entity_FinanceCosts,entity_FinanceIncome,entity_GrossProfit,entity_IncomeStatementAbstract,entity_OperatingIncomeLoss,entity_OtherGains,entity_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates,entity_OtherLosses,entity_ProfitLoss,entity_ProfitLossBeforeTax,entity_ProfitLossFromDiscontinuedOperations,entity_Revenue,entity_TotalSellingGeneralAdministrativeExpenses,ifrs_AdministrativeExpense,ifrs_BasicEarningsLossPerShare,ifrs_BasicEarningsLossPerShareFromContinuingOperations,ifrs_BasicEarningsLossPerShareFromDiscontinuedOperations,ifrs_CostOfSales,ifrs_DepreciationAndAmortisationExpense,ifrs_DilutedEarningsLossPerShare,ifrs_DilutedEarningsLossPerShareFromContinuingOperations,ifrs_DilutedEarningsLossPerShareFromDiscontinuedOperations,ifrs_DistributionCosts,ifrs_EarningsPerShareAbstract,ifrs_EmployeeBenefitsExpense,ifrs_FinanceCosts,ifrs_FinanceIncome,ifrs_GainsArisingFromDerecognitionOfFinancialAssetsMeasuredAtAmortisedCost,ifrs_GrossProfit,ifrs_IncomeTaxExpenseContinuingOperations,ifrs_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates,ifrs_OtherRevenue,ifrs_ProfitLoss,ifrs_ProfitLossBeforeTax,ifrs_ProfitLossFromContinuingOperations,ifrs_ProfitLossFromDiscontinuedOperations,ifrs_RawMaterialsAndConsumablesUsed,ifrs_Revenue,ifrs_RevenueFromConstructionContracts,ifrs_RevenueFromDividends,ifrs_RevenueFromRenderingOfServices,ifrs_RevenueFromRoyalties,ifrs_RevenueFromSaleOfGoods,ifrs_ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod
[065660],,,,,,,,,,,,,,,,,,,,,,,,,,,"526,038,461",,,"24,210,406","14,056,496",,,,,,,,,"527,494,474",,,,,,,,,,,,,,,,,,,,,,,,,88,,,"319,753,521",,88,,,,,,,"42,387,776",,"1,053,532,935",,,,"578,580,147","578,580,147",,,,"1,373,286,456",,,,,,
[011090],,,,,,,,,,,,,,,,,,,,,,,,,,,"1,772,894,939",,,"206,123,452","35,913,089",,,,,,,,,"13,047,110,532",,,,,,,,,,,,,,,,,,,,,,,,,32,,,"59,258,875,594",,,,,,,,"113,949,911","129,415,507",,"14,820,005,471","164,985,008",,,"1,793,585,890","1,958,570,898",,,,"74,078,881,065",,,,,,
[031330],,,,,,,,,,,,,,,,,,,,,,,,,,,"9,859,131,569",,,"6,499,899,878","6,811,199,794",,,,,,,,,"4,867,230,880",,,,,,,,,,,,,,,,,,,,,,,,,79,,,"278,653,776,631",,79,,,,,,"1,403,779,396","11,747,509",,"14,726,362,449","1,891,421,624",,,"6,264,378,142","8,155,799,766",,,,"293,380,139,080",,,,,,
[060540],,"969,508",,"70,772,249","7,622,895",,"717,567,876",,"17,512,434",,,"19,718,925","45,543,370","448,050",,,,"18,297,019","170,160,291","56,663,542",,,,,"483,369","346,005","-115,768,928","281,564,070",,"483,369","346,005",,"37,294,678","1,182,408","13,520,893","57,500","174,861,689","3,159,883","10,703,665","895,336,880","150,000","6,801,185","14,305,340","11,650,666",,,,"137,638,799",,,,"6,253,330",,,,,,,,,,"249,150,000","3,374,092",,-13,,,"2,532,755,841",,,,,,,,"183,248,352","62,998,949",,"779,567,952","1,333,524",,,"-237,214,491","-235,880,967",,,,"3,312,323,793",,,"782,930,524",,,
[056190],,,,,,,,,,0,,,,,,,,,0,"1,216,221,174",,,,,,,"16,563,312,645",,,"3,982,091,674","11,211,009,076",,,,,,,,,"10,756,704,008",,,,,,,,,,462,"-1,282,622","-142,918,383",,-352,,,,,,,,,,,,,,"107,854,123,410",,,,,,,,"-1,282,622","1,073,302,791",,"27,320,016,653","2,348,746,436",,,"8,060,233,868","10,408,980,304",,,,"135,174,140,063",,,,,,
[005850],,,,,,,,,,,,,,,,,,,,,,,,,,,"8,706,259,744",,,,,,,,,,,,,,,,,,,,,,,,,,"-13,092,789,811","-1,496,356,594",,,,,,,,,,,267,,,"122,743,799,462",,,,,,,,,,,"21,799,049,555","2,476,070,093",,,"9,057,565,279","11,533,635,372",,,,"144,542,849,017",,,,,,
[012750],,,,,,,,,,,,,,,,,,,,,,,,,,,"49,715,262,134",,,"100,540,267,460","9,299,000,424",,,,,,,,,"89,799,665,726",,,,,,,,,,,,,,,,,,,,,,,,,"3,268",,,"326,513,464,087",,"3,268",,,,,,"392,755,709","61,235,383",,"139,514,927,860","30,123,364,214",,,"110,501,644,630","140,625,008,844",,,,"466,028,391,947",,,,,,
[123700],0,"1,047,826","122,033,725","186,375,458","12,547,828",,,,"43,204,367",,"3,000,000","74,786,773","52,594,501","124,395,279","14,447,054","968,110,301","852,546","30,713,582","5,748,345","45,388,453",0,"264,688,945",,"1,574,980","162,823,423","42,595","-2,084,770,271","678,385,742",,"2,099,469,591","269,306,520",,"240,539,539","20,159,405","28,650,000","1,010,000","828,278,509","4,897,334","62,909,907","2,918,180,941","-229,782","53,463,897",,"18,989,585",,,,"6,609,664,135",,,0,"1,141,484",,,,"5,600,000",,0,,,,"8,151,875,053","15,930,949",,-18,-18,,"21,974,646,103",,-18,-18,,,,,"22,670,036","74,169,728",,"833,410,670","74,772,713",,,"-277,880,221","-203,107,508",,,,"22,808,056,773",,,,,"14,656,181,720",
[025530],0,,,"25,567,229","328,210",,,,"514,300",,0,"9,346,542","2,300,000",,"3,489,587","1,160,831",,"9,332,437",0,"113,173,060",0,"229,699",,,"112,314,564",533,"2,747,401,925",,,"101,965,591","103,777,812",,"26,609,276",0,"7,500,000",,"147,683,026","120,243","62,385,740","255,147,195","140,000","5,184,144",,"4,114,213",,,,,,,,,,,,0,,0,,,,0,"177,929",,,212,,0,,,212,,,,,0,"113,173,060",,"3,002,549,120","-21,140,041",,,"2,879,902,805","2,858,762,764",,,,"3,002,549,120",,,,,,
[069510],,,,,,,,,,,,,,,,,,,,,,,,,,,"797,657,560",,,"3,710,342,720","1,901,341,864",,,,,,,,,"6,912,675,698",,,,,,,,,,,,,,,,,,,,,,,,,240,,,"36,649,666,175",,,,,,,,"54,802,641","31,970,031",,"7,710,333,258","564,945,842",,,"2,018,879,964","2,583,825,806",,,,"44,359,999,433",,,,,,
[050760],,,,,,,,,,,,,,,,,,,,,,,,,,,"697,047,257",,,"609,413,479","290,639,862",,,,,,,,,"2,861,202,143",,,,,,,,,,,,,,"592,855,746",,,,,,,,,,,22,,,"22,471,296,915",,22,,,,,,"325,517,264","465,890,263",,"3,558,249,400","222,446,372",,,"340,891,755","563,338,127",,,,"26,029,546,315",,,,,,
[003800],,,,,,,,,,,,,,,,,,,,,,,,,,,"7,205,743,265",,,"584,552,763","69,963,125",,,,,,,,,"18,509,709,291",,,,,,,,,,,,,,,,,,,,,,,,,"3,584",,,"21,145,213,846",,"3,584",,,,,,"137,948,297","1,031,894,420",,"25,715,452,556","1,753,093,126",,,"6,861,185,900","8,614,279,026",,,,"46,860,666,402",,,,,,
[089530],,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,962,077,496",,,"385,962,319","242,773,539",,,,,,,,,"2,197,001,991",,,,,,,,,,,,,,,,,,,0,,,,,,-64,,,"27,039,013,614",,-64,,,,,,"1,527,092,909","167,320,896",,"234,924,495",0,,,"-3,178,660,729","-3,178,660,729",,,,"27,273,938,109",,,,,,
[065160],,,,,,,,,,0,,,,,"1,237,905,351","188,722,776",0,,"614,305,247","425,600,628","-39,984,229","108,228,964",,0,"-28,668","23,505,863","-1,566,181,602",,,"1,659,851,748","471,075,697","167,168,789",,,,,,,,"2,311,995,599",,,,,,,,,,,0,0,,,,0,,0,,,,,,,-13,,,"5,133,854,850",,-13,,,,,,"616,513,347","425,883,590",,"745,813,997",0,,,"-568,035,308","-568,035,308",,,,"5,879,668,847",,,,,,
[069410],,,,,,,,,,,,,,,,,,,,,,,,,,,"-196,170,340",,,"107,969,082","26,469,938",,,,,,,,,"2,874,971,182",,,,,,,,,,,,,,,,,,,,,,,,,-2,,,"10,879,166,889",,,,,,,,0,"64,911,485",,"2,678,800,842","36,513,020",,,"-13,246,691","-49,759,711",,,,"13,557,967,731",,,,,,
[111770],,,,,,,,,,,,,,,,,,,,,,,,,,,"31,588,350,494",,,"20,762,113,285","22,200,111,450",,,,,,,,,"18,087,237,776",,,,,,,,,,,,,,,,,,,,,,,,,510,,,"289,054,535,392",,,,,,,,"1,640,786,329","700,819,545",,"49,675,588,270","6,595,913,302",,,"22,614,472,243","29,210,385,545",,,,"338,730,123,662",,,,,,
[009970],,,,,,,,,,,,,,,,,,,,,,,,,,,"-338,908,787",,,"5,493,871","617,118",,,,,,,,,,,,,,,,,,,,,,,"1,008,442,113",,,,,,,,,,,-18,,,,,,,,,,,0,"2,486,630",,,"-122,439,990",,,"-209,105,414","-331,545,404",,,,,,,,,,
[036180],,,,,,,,,,,,,,,,,,,,,,,,,,,"133,594,324",,,"4,700,331","370,291",,,,,,,,,"1,483,826,126",,,,,,,,,,,,,,,,,,,,,,,,,12,,,"4,520,126,357",,12,,,,,,"78,294,936","150,110,516",,"1,617,420,450",,,,"209,739,944","209,739,944",,,,"6,137,546,807",,,,,,
[036000],,,,,,,,,,,,,,,,,,,,,,,,,,,"273,109,162",,,"18,445,230","58,635,579",,,,,,,,,"3,289,738,003",,,,,,,,,,,,,,0,,,,,,,,,,,3,,,"3,560,209,891",,,,,,,,"54,493,044","7,680,585",,"3,562,847,165","-2,766,053",,,"69,599,407","66,833,354",,,,"7,123,057,056",,,,,,
[039830],,,,,,,,,,,,,,,,,,,,,,,,,,,"2,031,204,973",,,"569,967,709","245,617,828",,,,,,,,,"3,938,044,416",,,,,,,,,,,,,,,,,,,,,,,,,118,,,"18,829,968,400",,,,,,,,"1,194,216,563","365,115,113",,"5,969,249,389","286,018,457",,,"1,240,434,947","1,526,453,404",,,,"24,799,217,789",,,,,,
[002630],,,,,,,,,,,,,,,,,,,,,,,,,,,"-865,549,739",,,"1,540,760,825","10,683,861",,,,,,,,,"1,713,833,451",,,,,,,,,,,,,,4,,,,,,,,,,,,,,"4,762,109,763",,,,,,,,"177,121,824","87,771,319",,"848,283,712",,,,"575,176,720","575,176,720",,,,"5,610,393,475",,,,,,
[010470],,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,283,818,833",,,"105,321","5,867,354",,,,,,,,,"9,615,825,942",,,,,,,,,,,,,,,,,,,,,,,,,-70,,,"14,879,685,633",,-70,,,,,,"4,634,604","189,313,199",,"8,332,007,109","-369,131,237",,,"-735,771,034","-1,104,902,271",,,,"23,211,692,742",,,,,,
[048260],,,,,,,,,,,,,,,,,,,,,,,,,,,"11,338,167,884",,,"282,261,077","83,336,002",,,,,,,,,"16,246,416,654",,,,,,,,,,,,,,,,,,,,,,,,,346,,,"25,902,105,741",,,,,,,,"1,736,259,494","6,807,681,144",,"27,584,584,538","3,893,141,170","-7,772,917,906",,"4,942,455,533","8,835,596,703",,,,"53,486,690,279",,,,,,
[037400],,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,312,616,425",,,"362,032,606","347,710,379",,,,,,,,,"2,726,412,719",,,,,,,,,,,,,,,,,,,,,,,,,-48,,,"8,073,476,636",,,,,,,,"63,251,001","33,720",,"1,413,796,294","-299,532,526",,,"-1,061,978,953","-1,361,511,479",,,,"9,487,272,930",,,,,,
[136540],,,,,,,,,,,,,,,,,,,,,,,,,,,"1,616,551,999",,,,,,,,,,,,,"4,405,879,092",,,,,,,,,,,,,,"-2,011,751",,,,,,,,,,,156,,,"7,892,631,210",,156,,,,,,,,,"6,022,431,091","372,700,842",,,"1,718,624,250","2,091,325,092",,,,"13,915,062,301",,,,,,
[011320],,,,,,,,,,,,,,,,,,,,,,,,,,,"-218,918,680",,,"1,951,254,614","126,201,353",,,,,,,,,"4,707,149,086",,,,,,,,,,,,,,,,,,,,,,,,,79,,,"43,752,195,534",,,,,,,,"459,911,740","395,407,155",,"4,488,230,406","144,405,378",,,"1,397,224,618","1,541,629,996",,,,"48,240,425,940",,,,,,
[056090],,,,,,,,,,,,,,,,,,,,,,,,,,,"-180,912,437",,,"11,612,409","17,022,098",,,,,,,,,"2,516,649,573",,,,,,,,,,,,,,,,,,,,,,,,,-15,,,"540,196,902",,-14,,,,,,"442,098,919","564,859,965",,"2,335,737,136","-889,856",,,"-62,671,224","-63,561,080",,,,"2,875,934,038",,,,,,
[084370],,,,,,,,,,,,,,,,,,,,,,,,,,,"9,030,889,051",,,"564,679,385","360,087,841",,,,,,,,,"6,496,201,622",,,,,,,,,,,,,,,,,,,,,,,,,342,,,"17,372,962,352",,,,,,,,,"507,554,858",,"15,527,090,673","2,029,479,957",,,"7,713,555,496","9,743,035,453",,,,"32,900,053,025",,,,,,
[025820],,,,,,,,,,,,,,,,,,,,,,,,,,,"1,170,003,961",,,"26,826,802","52,599,603",,,,,,,,,"1,328,841,721",,,,,,,,,,,,,,,,,,,,,,,,,-17,,,"48,551,756,196",,,,,,,,"3,840,918,660","1,964,600,638",,"2,498,845,682","-2,088,851,582",,,"-574,417,466","-728,106,156",,,,"51,050,601,878",,,,,,"3,980,706"
[060230],,,,,,,,,,,,,,,,,,,,,,,,,,,"-521,968,261",,,,,,,,,,,,,"2,589,186,228",,,,,,,,,,,,,,"747,248,586",,,,,,,,,,,-74,,,"9,021,977,520",,-74,,,,,,,,,"2,067,217,967",,,,"-1,326,134,497","-1,326,134,497",,,,"11,089,195,487",,,,,,
[139480],,,,,,,,,,,,,,,,,,,,,,,,,,,"214,388,650,790",,,"4,182,230,680","4,132,542,644",,,,,,,,,"683,969,218,860",,,,,,,,,,,,,,,,,,,,,,,,,"5,216",,,"2,137,064,169,967",,"5,216",,,,,,"68,979,270,591","45,588,110,918",,"898,357,869,650","45,699,699,898",,,"145,347,479,255","191,047,179,153",,,,"3,035,422,039,617",,,,,,
[134060],,,,,,,,,,,,,,,,,,,,,,,,,,,"-60,895,440",,,"54,138,523","3,512,716",,,,,,,,,"1,188,931,939",,,,,,,,,,,,,,,,,,,,,,,,,4,,,"560,536,639",,4,,,,,,,"27,892,290",,"1,128,036,499",,,,"17,622,657","17,622,657",,,,"1,688,573,138",,,,,,
[129260],,,,,,,,,,,,,,,,,,,,,,,,,,,"3,558,691,786",,,"2,657,172,592","2,290,888,794",,,,,,,,,"4,190,657,551",,,,,,,,,,,,,,,,,,,,,,,,,76,,,"147,561,437,719",,66,,,,,,"7,455,142,837","7,119,037,669",,"7,749,349,337","1,431,814,944",,,"2,157,055,472","3,588,870,416","2,157,055,472",,,"155,310,787,056",,,,,,
[023810],,,,,,,,,,,,,,,,,,,,,,,,,,,"-791,524,825",,,"3,111,840,230","1,104,054,279",,,,,,,,,"915,173,465",,,,,,,,,,,,,,,,,,,,,,,,"3,270,388,420",112,,,"28,810,889,974",,112,,,,,,"56,298,869","308,082,781",,"3,394,037,060","350,103,829",,,"1,117,941,209","1,468,045,038",,,,"32,204,927,034",,,,,,
[007570],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[159580],,,,,,,,,,,,,,,,,,,,,,,,,,,"-554,467,895",,,"1,708,455,787","148,892,420",,,,,,,,,"21,459,483,993",,,,,,,,,,,,,,,,,,,,,,,,,63,,,"40,178,575,390",,63,,,,,,"84,438,909","66,595,047",,"20,905,016,098","210,251,593",,,"777,000,017","987,251,610",,,,"61,083,591,488",,,,,,
[054950],,,,,,,,,,,,,,,,,,,,,,,,,,,"1,904,894,715",,,"1,235,497,864","427,501,668",,,,,,,,,"4,017,198,775",,,,,,,,,,,,,,"1,014,699,900",,,,,,,,,,,77,,,"12,168,161,734",,,,,,,,"1,960,106,364","-237,478,821",,"6,936,793,390","39,829,886",,,"475,475,840","515,305,726",,,,"19,104,955,124",,,,,,
[000480],,,,,,,,,,,,,,,,,,,,,,,,,,,"6,172,500,014",,,"491,610,001","15,714,616",,,,,,,,,"8,518,596,870",,,,,,,,,,,,,,"1,248,794,825",,,,,,,,,,,"1,490",,,"104,934,074,168",,"1,490",,,,,,"2,197,613,255","3,076,080,882",,"14,691,096,884","1,434,331,330",,,"4,843,736,871","6,278,068,201",,,,"119,625,171,052",,,,,,
[034940],,,,,,,,,,,,,,,,,,,,,,,,,,,"468,817,759",,,"220,350,926","286,493,140",,,,,,,,,"5,522,702,294",,,,,,,,,,,,,,,,,,,,,,,,,13,,,"6,455,229,787",,13,,,,,,"113,585,204","87,738,149",,"5,991,520,053",0,,,"376,828,490","376,828,490",,,,"12,446,749,840",,,,,,
[185750],,,,,,,,,,,,,,,,,,,,,,,,,,,"11,787,026,058",,,,,,,,,,,,,"50,492,052,124",,,,,,,,,,,,,,891,"-391,290,334",,,,,,,,,,,,,"72,488,624,767",,,,,,,,,,,"77,197,483,659","3,594,636,272",,,"8,381,942,867","11,976,579,139",,,,"149,686,108,426",,,,,,
