,dart_AdvertisingExpenses,dart_AmortisationExpense,dart_BadDebtExpenses,dart_Commissions,dart_CommunicationExpenses,dart_CostOfSalesFromConstructionContracts,dart_CostOfSalesFromDividends,dart_CostOfSalesFromRenderingOfServices,dart_CostOfSalesFromSaleOfGoods,dart_DepreciationExpense,dart_DividendIncome,dart_Donations,dart_EmployeeBenefits,dart_EntertainmentExpenses,dart_FreightExpenses,dart_GainOnForeignExchangeTranslations,dart_GainsForeignCurrencyTransactions,dart_GainsFromGovernmentGrants,dart_GainsOnDisposalsOfInvestments,dart_GainsOnDisposalsOfPropertyPlantAndEquipment,dart_InsurancePremiums,dart_InterestExpenseFinanceExpense,dart_InterestIncomeFinanceIncome,dart_LossArisingFromDifferenceBetweenCarryingAmountOfFinancialLiabilityExtinguishedAndConsiderationPaid,dart_LossOnDispositionOfReceivables,dart_LossOnForeignExchangeTranslations,dart_LossesForeignCurrencyTransactions,dart_LossesOnDisposalsOfInvestments,dart_LossesOnDisposalsOfPropertyPlantAndEquipment,dart_MiscellaneousIncome,dart_MiscellaneousLosses,dart_OperatingIncomeLoss,dart_OrdinaryDevelopmentExpense,dart_OtherCostOfSales,dart_OtherGains,dart_OtherLosses,dart_OtherReversalsOfProvisions,dart_ProvisionForSeveranceIndemnities,dart_PublicationExpenses,dart_RentalExpenses,dart_RepairExpenses,dart_SalariesWages,dart_SupplyExpenses,dart_TaxesDues,dart_TotalSellingGeneralAdministrativeExpenses,dart_TrainingExpenses,dart_TravelExpenses,dart_UtilityExpenses,dart_VehicleMaintenanceExpenses,dart_WritedownsOfInventories,dart_WritedownsOfPropertyPlantAndEquipment,entity_BasicEarningsLossPerShare,entity_BasicEarningsLossPerShareFromContinuingOperations,entity_BasicEarningsLossPerShareFromDiscontinuedOperations,entity_CostOfSales,entity_DilutedEarningsLossPerShare,entity_DilutedEarningsLossPerShareFromContinuingOperations,entity_DilutedEarningsLossPerShareFromDiscontinuedOperations,entity_EarningsPerShareAbstract,entity_FinanceCosts,entity_FinanceIncome,entity_GrossProfit,entity_IncomeStatementAbstract,entity_OperatingIncomeLoss,entity_OtherGains,entity_OtherLosses,entity_ProfitLoss,entity_ProfitLossAttributableToAbstract,entity_ProfitLossAttributableToNoncontrollingInterests,entity_ProfitLossAttributableToOwnersOfParent,entity_ProfitLossBeforeTax,entity_ProfitLossFromContinuingOperations,entity_ProfitLossFromDiscontinuedOperations,entity_Revenue,entity_ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,entity_TotalSellingGeneralAdministrativeExpenses,ifrs_AdministrativeExpense,ifrs_BasicEarningsLossPerShare,ifrs_BasicEarningsLossPerShareFromContinuingOperations,ifrs_BasicEarningsLossPerShareFromDiscontinuedOperations,ifrs_CostOfSales,ifrs_DepreciationAndAmortisationExpense,ifrs_DilutedEarningsLossPerShare,ifrs_DilutedEarningsLossPerShareFromContinuingOperations,ifrs_DilutedEarningsLossPerShareFromDiscontinuedOperations,ifrs_EarningsPerShareAbstract,ifrs_EmployeeBenefitsExpense,ifrs_FinanceCosts,ifrs_FinanceIncome,ifrs_GainsArisingFromDerecognitionOfFinancialAssetsMeasuredAtAmortisedCost,ifrs_GrossProfit,ifrs_IncomeTaxExpenseContinuingOperations,ifrs_OtherRevenue,ifrs_ProfitLoss,ifrs_ProfitLossAttributableToAbstract,ifrs_ProfitLossAttributableToNoncontrollingInterests,ifrs_ProfitLossAttributableToOwnersOfParent,ifrs_ProfitLossBeforeTax,ifrs_ProfitLossFromContinuingOperations,ifrs_ProfitLossFromDiscontinuedOperations,ifrs_RawMaterialsAndConsumablesUsed,ifrs_Revenue,ifrs_RevenueFromConstructionContracts,ifrs_RevenueFromDividends,ifrs_RevenueFromRenderingOfServices,ifrs_RevenueFromSaleOfGoods,ifrs_ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod
[011070],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"48,927,783,457",,,"20,587,149,146","30,435,709,207",,,,,,,,,"131,231,636,252",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"76,386,637,032",,,"1,326",,"1,266,943,483,411",,,"1,326",,,,"15,539,274,368","4,149,672,976",,"180,159,419,709","-3,699,404,774",,"31,389,026,778",,,"31,389,026,778","27,689,622,004","31,389,026,778",,,"1,447,102,903,120",,,,,
[066570],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"244,067,000,000",,,"366,002,000,000","323,531,000,000",,,,,,,,,"1,688,673,000,000",,,,,,,,,,,,,,"-13,000,000",,,,"305,977,000,000",,,,,,0,"-2,233,000,000",,,,,,,"358,330,000,000","1,038","1,051",-13,"10,732,612,000,000",,,,,,,"149,554,000,000","51,505,000,000",,"3,193,046,000,000","83,256,000,000",,"226,388,000,000",,"39,294,000,000","187,094,000,000","311,877,000,000","228,621,000,000","-2,233,000,000",,"13,925,658,000,000",,,,,"123,388,000,000"
[108670],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"52,415,000,000",,,,,,,,,,,,,"148,671,000,000",,,,,,,,,,,,,,,,,,"86,000,000",,,,,,0,"-5,970,000,000",,,,,,,,,"3,271",-598,"522,985,000,000",,,"3,284",-598,,,,,,"201,086,000,000","13,545,000,000",,"26,545,000,000",,"-146,000,000","26,691,000,000","46,060,000,000","32,515,000,000","-5,970,000,000",,"724,071,000,000",,,,,
[051910],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"563,441,000,000",,,"115,794,000,000","179,161,000,000",,,,,,,,,"462,124,000,000",,,,,,,,,,,,,,"4,763,000,000",,,,,,,,,,,,,,,,,,,,,,"4,047,657,000,000",,,,,,,"38,052,000,000","31,350,000,000",,"1,025,565,000,000","139,975,000,000",,"352,968,000,000",,"3,523,000,000","349,445,000,000","492,943,000,000",,,,"5,073,222,000,000",,,,,"-429,000,000"
[010060],,"285,329,000",,"4,978,886,000",,,,"1,062,878,000","511,339,793,000","996,541,000",,,"2,539,484,000",,"12,166,670,000",,,,,,,,,,,,,,,,,"-18,602,466,000","6,514,750,000","173,741,000",,,,"1,380,830,000",,,,"15,833,026,000",,,"57,775,719,000",,"1,346,412,000",,,,,,,,"6,340,249,000",,,,,,,,"41,257,724,000",,,,,,,,,,,"11,796,227,000",,"8,696,143,000",,208,,,"569,839,456,000",,-432,,,,,,,,"39,173,253,000","3,068,119,000","245,894,000","21,781,005,000",,"16,816,467,000","4,964,538,000","-16,408,600,000","-19,476,719,000",,,"609,012,709,000",,,"878,213,000","540,421,844,000",
[017670],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,432,000,000",,,,,,,,,,,"4,255,739,000,000",,,,,,,,,,,,,,,,,,"-117,704,000,000",,,,,,,,,,"4,255,739,000,000",,,,,
[048770],,,,,,,,,,,,"7,000,000",,,,"97,027,458","3,745,311",,,"11,817,182",,"314,301,758","23,621,323",,,"9,702,252","6,470,364",,,"37,906,852","11,323,560","796,236,384",,,"244,493,731","84,059,976",,,,,,,,,,,,,,,,,,,,,,,,,,,"52,418,589",,"70,933,812",,,,,,,,,,,,,41,,,,,,,,,,"314,301,758","23,621,323",,,"171,951,190",,"546,457,103",,"18,635,860","527,821,243","718,408,293",,,,,,,,,
[009450],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,283,659,308",,,"3,250,701,539","1,478,381,095",,,,,,,,,"27,489,343,266",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235,,,"74,846,368,200",,235,,,,,"925,991,732","306,008,521",,"31,773,002,574","2,384,911,365",,"3,051,085,176",,"81,616,146","2,969,469,030","5,435,996,541",,,,"106,619,370,774",,,,,
[000050],"152,128,734","10,910,306",,"11,569,577,359","18,742,548",,,,,"1,043,993,839","212,700",,"114,045,023","51,508,858","247,928,964","579,507,339","241,522,657",,,"1,199,000","7,228,844","2,689,555,023","30,163,495",,,"1,408,990,078","258,499,447",,,"326,509,507","113,532,290","10,173,583,444",,,"1,254,215,231","1,781,021,815",,"46,777,639",,"7,022,715","88,554,768","908,677,912","22,162,649","276,123,012","15,128,448,744",,"77,598,603","425,592,363","20,176,144",,,,,,"12,444,664,930",,,,,"915,127,578",,,"2,482",,,,"-1,001,992",,,,,,,"239,544,822",,"12,210,184",,,,,"60,516,346,666",,,,,,,"3,604,682,601","30,376,195",,"25,302,032,188","-28,029,518",,"6,803,189,602",,,,"6,831,219,120",,,,"85,818,378,854",,,,,
[013580],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,936,150,066",,,"2,212,544,104","564,931,421",,,,,,,,,"17,232,804,458",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,470,,,"364,267,948,304",,,,,,,"4,910,426,882","1,412,103,376",,"25,168,954,524","1,948,094,051",,"4,502,750,039",,"478,974,656","4,023,775,383","6,450,844,090",,,,"389,436,902,828",,,,,
