,dart_AdvertisingExpenses,dart_AllowanceForOtherDoubtfulAccounts,dart_AmortisationExpense,dart_BadDebtExpenses,dart_Commissions,dart_CommunicationExpenses,dart_ConferenceExpenses,dart_CostOfSalesFromConstruction,dart_CostOfSalesFromConstructionContracts,dart_CostOfSalesFromRenderingOfServices,dart_CostOfSalesFromRenderingOfServicesCommission,dart_CostOfSalesFromRenderingOfServicesProcession,dart_CostOfSalesFromRenderingOfServicesRental,dart_CostOfSalesFromRenderingOfServicesTransportation,dart_CostOfSalesFromSaleOfGoods,dart_CostOfSalesFromSaleOfGoodsMerchandises,dart_CostOfSalesFromSaleOfGoodsProduct,dart_CostOfSalesFromSaleOfGoodsRealEstate,dart_CostOfSalesFromServices,dart_CumulativeLossPreviouslyRecognisedInOtherComprehensiveIncomeArisingFromReclassificationOfFinancialAssetsOutOfFairValueThroughOtherComprehensiveIncomeIntoFairValueThroughProfitOrLossMeasurementCategory,dart_DepreciationExpense,dart_DividendIncome,dart_DividendIncomeNonOperating,dart_Donations,dart_EmployeeBenefits,dart_EngagementExpenses,dart_EntertainmentExpenses,dart_ExclusiveLineUseExpense,dart_ExpensesOfProvisionsForRestoration,dart_ExportOverallExpense,dart_FreightExpenses,dart_GainOnForeignExchangeTranslations,dart_GainsForeignCurrencyTransactions,dart_GainsFromCommission,dart_GainsFromFinancialGuaranteeFinancialIncome,dart_GainsOnDisposalsOfAvailableForSaleFinancialAssets,dart_GainsOnDisposalsOfAvailableForSaleFinancialAssetsFinancialIncome,dart_GainsOnDisposalsOfFairValueFinancialAssetFinancialIncome,dart_GainsOnDisposalsOfIntangibleAssets,dart_GainsOnDisposalsOfInventory,dart_GainsOnDisposalsOfInvestmentProperty,dart_GainsOnDisposalsOfNoncurrentAssetsOrDisposalGroupsClassifiedAsHeldForSale,dart_GainsOnDisposalsOfPropertyPlantAndEquipment,dart_GainsOnForeignCurrencyTransactionsFiancialIncome,dart_GainsOnForeignExchangeTranslationsFinancialIncome,dart_GainsOnTransactionOfDerivativeFinancialInstrumentsFinancialIncome,dart_GainsOnValuationOfDerivativeFinancialInstrumentsFinancialIncome,dart_GainsOnValuationOfFairValueFinancialAsset,dart_GainsOnValuationOfFairValueFinancialAssetFinancialIncome,dart_GainsOnValuationOfLongTermFinancialInstruments,dart_ImpairmentLossRecoveryOfAccountsReceivables,dart_ImpairmentLossesOnAssociates,dart_ImpairmentLossesOnAvailableForSaleFinancialAssetsFinancialExpense,dart_InsurancePremiums,dart_InterestExpenseFinanceExpense,dart_InterestIncomeFinanceIncome,dart_LeaseholdAdministrationExpense,dart_LentIncome,dart_LossOnForeignExchangeTranslations,dart_LossesForeignCurrencyTransactions,dart_LossesFromFinancialGuaranteeFinanceExpense,dart_LossesOnDisposalOfIntangibleAssets,dart_LossesOnDisposalsOfFairValueFinancialAssetFinancialExpense,dart_LossesOnDisposalsOfPropertyPlantAndEquipment,dart_LossesOnForeignCurrencyTransactionsFiancialExpense,dart_LossesOnForeignExchangeTranslationsFinancialExpense,dart_LossesOnSaleOfInvestmentsInSubsidiaries,dart_LossesOnTransactionOfDerivativeFinancialInstrumentsFinancialExpense,dart_LossesOnValuationOfDerivativeFinancialInstrumentsFinancialExpense,dart_LossesOnValuationOfFairValueFinancialAsset,dart_LossesOnValuationOfFairValueFinancialAssetFinancialExpense,dart_MembershipExpenses,dart_MiscellaneousExpenses,dart_MiscellaneousIncome,dart_MiscellaneousLosses,dart_NetworkContactSettleExpense,dart_OperatingExpenses,dart_OperatingIncomeLoss,dart_OrdinaryDevelopmentExpense,dart_OtherCostOfSales,dart_OtherFinancialExpenses,dart_OtherFinancialIncome,dart_OtherGains,dart_OtherLosses,dart_PackingExpenses,dart_PersonalExpense,dart_ProvisionForSeveranceIndemnities,dart_PublicationExpenses,dart_RentalExpenses,dart_RepairExpenses,dart_RevenueFromConstruction,dart_RevenueFromRenderingOfServicesCommission,dart_RevenueFromRenderingOfServicesProcession,dart_RevenueFromRenderingOfServicesRental,dart_RevenueFromRenderingOfServicesTransportation,dart_RevenueFromSaleOfGoodsMerchandise,dart_RevenueFromSaleOfGoodsProduct,dart_RevenueFromSaleOfGoodsRealEstate,dart_RevenueFromServices,dart_SalariesWages,dart_SalesPromotionExpenses,dart_SamplesExpenses,dart_SupplyExpenses,dart_TaxesDues,dart_TotalSellingGeneralAdministrativeExpenses,dart_TrainingExpenses,dart_TravelExpenses,dart_UtilityExpenses,dart_VehicleMaintenanceExpenses,dart_WarrantyExpenses,entity_BasicEarningsLossPerShare,entity_CostOfSales,entity_DilutedEarningsLossPerShare,entity_EarningsPerShareAbstract,entity_FinanceCosts,entity_FinanceIncome,entity_GrossProfit,entity_IncomeStatementAbstract,entity_OperatingExpenses,entity_OperatingIncomeLoss,entity_OtherGains,entity_OtherLosses,entity_ProfitLossFromDiscontinuedOperations,entity_Revenue,entity_RevenueFromRenderingOfServices,entity_TotalSellingGeneralAdministrativeExpenses,ifrs-full_BasicEarningsLossPerShare,ifrs-full_BasicEarningsLossPerShareFromContinuingOperations,ifrs-full_BasicEarningsLossPerShareFromDiscontinuedOperations,ifrs-full_CostOfSales,ifrs-full_DilutedEarningsLossPerShare,ifrs-full_DilutedEarningsLossPerShareFromContinuingOperations,ifrs-full_DilutedEarningsLossPerShareFromDiscontinuedOperations,ifrs-full_EarningsPerShareAbstract,ifrs-full_EmployeeBenefitsExpense,ifrs-full_FinanceCosts,ifrs-full_FinanceIncome,ifrs-full_GrossProfit,ifrs-full_IncomeTaxExpenseContinuingOperations,ifrs-full_LossesArisingFromDerecognitionOfFinancialAssetsMeasuredAtAmortisedCost,ifrs-full_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates,ifrs-full_OtherRevenue,ifrs-full_ProfitLoss,ifrs-full_ProfitLossBeforeTax,ifrs-full_ProfitLossFromContinuingOperations,ifrs-full_ProfitLossFromDiscontinuedOperations,ifrs-full_Revenue,ifrs-full_RevenueFromConstructionContracts,ifrs-full_RevenueFromDividends,ifrs-full_RevenueFromRenderingOfServices,ifrs-full_RevenueFromRoyalties,ifrs-full_RevenueFromSaleOfGoods,ifrs_BasicEarningsLossPerShare,ifrs_CostOfSales,ifrs_EarningsPerShareAbstract,ifrs_FinanceCosts,ifrs_FinanceIncome,ifrs_GrossProfit,ifrs_IncomeTaxExpenseContinuingOperations,ifrs_ProfitLoss,ifrs_ProfitLossBeforeTax,ifrs_Revenue
[001230],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"46,108,726,740",,,,,"18,615,799,440","58,769,372,309",,,,,,,,,,,,,,,,,,,,,"62,414,480,870",,,,,,,,,,,,,,,,,,,,,,-81,,,"1,237,954,448,718",-81,,,,,"25,848,817,190","6,295,056,748","108,523,207,610","-6,125,572,338",,,,"-7,473,034,233","-13,598,606,571",,,"1,346,477,656,328",,,,,,,,,,,,,,,
[001520],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"191,752,698",,,,,,,,,,,,,,,,,,,,,,"8,160,348,693",,,,,"2,322,174,168",,,,,"495,937,922","148,816,717",,,,,,,,,,,,,,,,,,,,,"8,352,101,391",,,,,,,,,,,,,,,,,,,,,,15,,,"77,504,098,504",28,,,,,"254,025,367","2,201,903,130","10,674,275,559","1,443,200,284",,,,"3,173,972,852","4,617,173,136",,,"88,178,374,063",,,,,,,,,,,,,,,
[084670],,,,,,,,,,,,,,"29,332,170,920",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,445,727,400",,"385,144,001",,,"474,289,461","14,839,645",,,,,,,,,,,"32,507,467,652",,,,,,,,,,"2,233,412,707",,,,,,,,,,,,,,,,,,,,,,468,,,"29,717,314,921",468,,,,,"346,973,153","62,962,764","3,679,140,107","251,617,489",,,"888,987,376","1,369,549,338","1,621,166,827","1,369,549,338",,"33,396,455,028",,,,,,,,,,,,,,,
[030790],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-6,680,401,382",,,,,"4,879,667","825,551,843",,,,,,,,,,,,,,,,,,,,,"3,946,560,608",,,,,,,,,,,,,,,,,,,,,,-101,,,"17,031,727,902",-101,,,,,"3,080,604,441","233,213,068","-2,733,840,774",0,,,,"-10,348,464,931","-10,348,464,931",,,"14,297,887,128",,,,,,,,,,,,,,,
[000150],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"39,921,649,167",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,966,,,,"4,907,029,347",,,,,,,,,,,,,,,,,,,"1,726,933,776",,"4,510,203,639",,,,"18,780,661,144","23,351,559,137","18,841,355,498","-60,694,354",,,,,,,,,,,,,,,,
[011160],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,645,009,680",,,,,"568,303,276","11,291,480,019",,,,,,,,,,,,,,,,,,,,,"20,613,461,441",,,,,,,,,,,,,,,,,,,,,,-416,-267,-149,"306,333,636,701",-416,-267,-149,,,"19,966,475,798","1,352,199,283","31,258,471,121",0,,,,"-29,115,826,163","-18,692,443,578","-18,692,443,578","-10,423,382,585","337,592,107,822",,,,,,,,,,,,,,,
[241560],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,892,311,000",,,,,"55,209,000","3,394,000",,,,,,,,,,,,,,,,,,,,,"6,557,522,000",,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,"-301,975,000","1,225,188,000","4,665,211,000","-349,291,000",,,,"35,958,000","-313,333,000",,,"4,665,211,000",,,,,,,,,,,,,,,
[042670],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"32,357,979,324",,,,,"2,108,952,156","2,458,605,273",,,,,,,,,,,,,,,,,,,,,"91,260,500,160",,,,,,,,,,,,,,,,,,,,,,55,,,"588,900,291,026",52,,,,,"39,425,902,852","22,657,503,671","123,618,479,484","-1,690,675,249",,"-5,564,055,515",,"11,366,546,760","9,675,871,511",,,"712,518,770,510",,,,,,,,,,,,,,,
[034020],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,465,695,947",,,,,"4,845,045,775","9,054,504,462",,,,,,,,,,,,,,,,,,,,,"85,260,205,845",,,,,,,,,,,,,"-4,209,458,687",,,,,,,,,-183,,,"790,641,079,622",-183,,,,,"67,331,608,980","47,455,057,694","90,725,901,792","-1,589,610,994",,,,"-17,030,703,032","-18,620,314,026",,,"881,366,981,414",,,,,,,,,,,,,,,
[003160],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17,234,999",,,,,,,,,"146,915,335","259,591,030",,,,"19,215,806",,,,,,"187,728,874","60,460,887",,,,,,,,,"108,339,570","158,053,834",,,,,,,,,,,,"726,838,095",,,,,"9,523,941","369,759",,,,,,,,,,,,,,,,,,,,,"5,195,997,393",,,,,,,,,,,,,"706,930,391",,,,,,,,,28,,,"14,975,652,242",28,,,,,"454,122,278","503,418,057","6,629,765,879","-29,013,187",,,,"814,301,243","785,288,056",,,"21,605,418,121",,,,,,,,,,,,,,,
[001530],,,,,,,,,,,,,,,,,,,,,,"69,340,880",,,,,,,,,,,,,,,,,,,,,,"494,024,683","-411,375,730","12,330,373","-934,417,015",,0,,,,,,"1,395,931,144","493,062,333",,,,,,,,,"622,588,075","-1,383,404,116",,0,"126,853,667",,"-2,693,388",,,,,,,"983,914,646",,,,,"390,285,711","460,695,860",,,,,,,,,,,,,,,,,,,,,"2,272,301,398",,,,,,,,,,,,,,,,,,,,,,33,,,"70,955,952,389",,,,,,"759,275,382","-277,034,476","3,256,216,044","-179,492,053",,,,"56,686,692","-122,805,361",,,"74,212,168,433",,,,,,,,,,,,,,,
[066900],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,975,297,885",,,,,"945,054,939","626,138,516",,,,,,,,,,,,,,,,,,,,,"2,661,265,696",,,,,,,,,,,,,,,,,,,,,,154,,,"72,242,192,477",154,,,,,"1,013,792,665","48,587,521","6,636,563,581","465,656,849",,,,"2,863,352,315","3,329,009,164",,,"78,878,756,058",,,,,,,,,,,,,,,
[171010],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"763,702,917",,,,,"35,391,673","138,596,318",,,,,,,,,,,,,,,,,,,,,"570,334,793",,,,,,,,,,,,,,,,,,,,,,38,,,"6,894,916,712",,,,,,"253,919,668","33,611,767","1,334,037,710","11,164,140",,,,"429,026,231","440,190,371",,,"8,228,954,422",,,,,,,,,,,,,,,
[267980],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,341,382,412",,,"53,294,721",,,,,,"810,938,734","568,628,481",,,,,,,,,,,,"51,800,000","1,311,290,730",,"68,499,059",,,,,,,"21,179,625,873",,,,,"1,149,585,141","3,491,584,498",,,,,,,,,,,,,,,,,,,,,"76,269,356,938",,,,,,,,,,,,,,,,,,,,,,"2,222",,,"236,062,347,949","2,222",,,,,"2,242,528,523","1,963,305,614","97,448,982,811","1,135,783,359",,,,"17,422,620,248","18,558,403,607",,,"333,511,330,760",,,,,,,,,,,,,,,
[005990],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"59,437,269",,,,,,,,,,,,,,,"17,274,932",,,,,,"2,357,980,523","-29,546,887",,,,,"277,098,026","1,668,272,115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"83,230",,,,,,,,,,,,-108,,,,-108,,,,,"17,358,162","59,437,269",,"45,493,082",,,,"-1,424,134,951","-1,378,641,869",,,"2,328,433,636",,,,,,,,,,,,,,,
[067280],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,833,,,"10,104,434,821","4,905,503,972",,,,,,,,,,,,"42,521,790,945",,,,,,,,"16,166,255,318",,,,,,,,,"58,688,046,263",,,,,,,,,,,,,,,
[041920],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"799,301,573",,,,,"52,873,801","164,295,105",,,,,,,,,,,,,,,,,,,,,"2,789,265,843",,,,,,,,,,,,,,,,,,,,,,63,,,"8,097,455,105",63,,,,,0,"7,770,304","3,588,567,416","154,843,090",,,,"540,807,483","695,650,573",,,"11,686,022,521",,,,,,,,,,,,,,,
[015540],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,630,498,267",,,,,"34,640,166",,,,,,,,,,,,,,,,,,,,,,"1,678,989,696",,,,,,,,,,,,,"122,856,376",,,,,,,,,-333,,,"3,298,081,230",,,,,,"89,887,794","23,226,511","48,491,429",0,,,,"-1,785,375,760","-1,785,375,760",,,"3,346,572,659",,,,,,,,,,,,,,,
[017180],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"967,990,157",,,,,"316,378,168","295,800,259",,,,,,,,,,,,,,,,,,,,,"16,672,457,120",,,,,,,,,,,,,"808,886,208",,,,,,,,,,,,"15,593,220,445",,,,,,"487,205,637","166,080,059","17,640,447,277","351,282,919",,,,"-492,726,639","-141,443,720",,,"33,233,667,722",,,,,,,,,,,,,,,
[009680],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,983,059,657",,,,,"662,520,572","232,355,577",,,,,,,,,,,,,,,,,,,,,"3,071,088,615",,,,,,,,,,,,,,,,,,,,,,125,,,"36,439,044,426",,,,,,"183,625,292","1,543,136,406","5,054,148,272","996,631,847",,,,"2,776,103,919","3,772,735,766",,,"41,493,192,698",,,,,,,,,,,,,,,
[033920],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-4,052,620,328",,,,,"6,306,765,087","-753,317,238",,,,,,,,,,,,,,,,,,,,,"19,296,579,686",,,,,,,,,,,,,,,,,,,,,,,,,"23,803,902,278",,,,,,,"56,406,612","15,243,959,358","935,635,676",,,,"2,128,232,933","3,063,868,609",,,"39,047,861,636",,,,,,,,,,,,,,,
[018700],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,356,332,945","-718,995,762",,,,,"8,082,644","324,735,281",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"355,000",,,,,,,,,,-53,,,,-53,,,,"-9,021,761","163,995,653",,,,,,"-862,275,985","-862,275,985","-862,275,985",,"637,337,183",,,,,,,,,,,,,,,
[015350],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,293,250,966",,,,,"710,933,321","35,505,068",,,,,,,,,,,,,,,,,,,,,"24,245,798,779",,,,,,,,,,,,,"4,630,275,252",,,,,,,,,639,,,"114,366,100,571",,,,,,"41,376,759","696,396,142","26,539,049,745","1,865,878,546",,,,"6,388,095,308","8,253,973,854",,,"140,905,150,316",,,,,,,,,,,,,,,
[065450],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"658,912,423",,,,,"24,672,502",,,,,,,,,,,,,,,,,,,,,,"854,135,295",,,,,,,,,,,,,,,,,,,,,,20,,,"9,874,460,996",20,,,,,"270,976,488","180,059,098","1,513,047,718","109,670,120",,0,,"482,997,415","592,667,535",,,"11,387,508,714",,,,,,,,,,,,,,,
[018260],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,798,027,965","-3,974,544,178",,,,,,,,,,"87,652,229","10,807,157,142",,,,,,,,,"3,353,451,129","-590,031,616",,,,,,,,,,,,"153,185,058,480",,,,,"36,948,796,115","458,881,807",,,,,,,,,,,,,,,,,,,,,"136,904,083,957",,,,,,,,,,,,,,,,,,,,,,"1,863",,,"934,560,285,854","1,863",,,,,"2,851,071,742","11,630,640,929","290,089,142,437","54,318,612,505",,,,"144,135,929,470","198,454,541,975","144,135,929,470",,"1,224,649,428,291",,,,,,,,,,,,,,,
[028050],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,470,456,756","3,185,542,879",,,,,,,,,,"6,672,540,637","676,871,621",,,,,,,,,"6,293,933,956","1,126,360,772",,,,,,,,,,,,"27,728,665,442",,,,,"239,329,969,725","167,303,649,272",,,,,,,,,,,,,,,,,,,,,"73,479,378,697",,,,,,,,,,,,,,,,,,,,,,406,,,"892,352,510,338",,,,,,"14,092,835,365","6,332,871,256","101,208,044,139","12,398,518,392",,,,"79,596,503,394","91,995,021,786",,,"993,560,554,477",,,,,,,,,,,,,,,
[005930],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,912,717,000,000",,,,,"155,099,000,000","86,117,000,000",,,,,,,,,,,,,,,,,,,,,"6,154,425,000,000",,,,,,,,,,,,,"834,436,000,000",,,,,,,,,"1,503",,,"27,578,197,000,000","1,503",,,,,,"739,900,000,000","20,067,142,000,000","3,675,615,000,000",,,,"10,211,548,000,000","13,887,163,000,000","10,211,548,000,000",,"47,645,339,000,000",,,,,,,,,,,,,,,
[010140],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-125,260,736,133",,,,,"408,578,661,230","375,665,909,279",,,,,,,,,,,,,,,,,,,,,"48,461,942,560",,,,,,,,,,,,,,,,,,,,,,,-137,-137,"1,290,868,307,591",,-137,-137,,,"60,634,803,139","35,795,535,839","-76,798,793,573","-34,172,817,485",,,,"-83,014,433,997","-117,187,251,482",,,"1,214,069,514,018",,,,,,,,,,,,,,,
[002170],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,581,121,973",,,,,"15,105,152","33,548,753",,,,,,,,,,,,,,,,,,,,,"926,229,863",,,,,,,,,,,,,,,,,,,,,,"2,003",,,"37,771,637,719","2,003",,,,,"172,425,367","757,087,448","8,507,351,836","2,138,342,247",,,,"6,008,998,206","8,147,340,453",,,"46,278,989,555",,,,,,,,,,,,,,,
[001880],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"24,174,883,799",,,,,"2,154,582,949","256,446,612",,,,,,,,,,,,,,,,,,,,,"9,767,683,675",,,,,,,,,"1,336",,,,,,,,,,,,,,,,"203,812,747,131",,,,,,"723,580,765","1,680,934,998","33,942,567,474","6,743,486,838",,,,"20,286,887,531","27,030,374,369",,,"237,755,314,605",,,,,,,,,,,,,,,
[004450],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,900,285,735",,,,,"312,072,937","-87,873,077",,,,,,,,,,,,,,,,,,,,,"2,608,374,402",,,,,,,,,,,,,"849,513",,,,,,,,,"1,611",,,"22,786,729,923","1,610",,,,,"381,738,138","143,127,495","5,508,660,137","664,080,389",,,,"2,398,390,230","3,062,470,619",,,"28,295,390,060",,,,,,,,,,,,,,,
[101000],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,984,751,352",,,,,"127,720,142","10,512,770,515",,,,,,,,,,,,,,,,,,,,,"1,521,752,012",,,,,,,,,,,,,,,,,,,,,,-301,,,"9,984,711,582",-127,,,,,"651,785,861","109,114,333","-462,999,340","-16,287,484",,,,"-12,896,185,769","-12,912,473,253",,,"9,521,712,242",,,,,,,,,,,,,,,
[003100],,,,,,,,,,,,,"46,461,075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,922,884,144",,,,,"3,946,932,454","1,066,289,368",,,,,,,,,,"569,488,127",,,,,,,,,,,"1,904,727,612",,,,,,,"11,188,614,952",,,,,,,,,,,,"15,493,199,656",,,657,621,36,"11,235,076,027",657,621,36,,,"511,618,595","87,718,394","4,827,611,756","1,478,496,517",,,,"4,128,351,095","5,379,627,029","3,901,130,512","227,220,583","16,062,687,783",,,,,,,,,,,,,,,
[017510],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,059,587,383",,,,,"233,321,977","339,740,639",,,,,,,,,,,,,,,,,,,,,"449,818,690",,,,,,,,,,,,,,,,,,,,,,56,,,"3,050,902,374",56,,,,,"-61,588","138,139,046","1,509,406,073","239,238,105",,,,"852,131,250","1,091,369,355",,,"4,560,308,447",,,,,,,,,,,,,,,
[091090],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,319,766,109",,,,,"1,472,311,177","2,295,622,532",,,,,,,,,,,,,,,,,,,,,"3,876,261,829",,,,,,,,,,,,,"455,430,597",,,,,,,,,-41,,,"32,612,084,981",-41,,,,,"1,527,925,638","37,094,767","3,011,926,317","-1,145,081,196",,"-7,209,139",,"-2,496,036,278","-3,641,117,474",,,"35,624,011,298",,,,,,,,,,,,,,,
[021820],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"323,298,372",,,,,"521,405,121","320,686,916",,,,,,,,,,,,,,,,,,,,,"1,521,869,845",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,"10,621,571,528",,"226,684,182","881,029,721","1,845,168,217","111,454,054","1,066,908,062","1,178,362,116","12,466,739,745"
[108860],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,098,337,042",,,,,"63,972,522","53,631,178",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,-50,,,"4,795,959,342",-50,,,,,"146,720,093","45,887,481",,"-90,126,778",,0,,"-1,098,701,532","-1,188,828,310",,,"3,697,622,300",,,,,,,,,,,,,,,
[068270],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75,432,808,276",,,,,"996,470,365","2,971,207,653",,,,,,,,,,,,,,,,,,,,,"43,184,692,083",,,,,,,,,,,,,,,,,,,,,,460,,,"80,678,391,957",456,,,,,"936,424,904","2,610,742,282","118,617,500,359","16,757,049,734",,,,"58,375,338,632","75,132,388,366",,,"199,295,892,316",,,,,,,,,,,,,,,
[086980],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-2,232,591,398",,,,,"149,542,083",,,,,,,,,,,,,,,,,,,,,,"2,011,707,697",,,,,,,,,,,,,"32,026,183",,,,,,,,,-26,,,"842,675,663",-26,,,,,,"133,945,709","-220,883,701","-347,386,224",,,,"-1,633,743,565","-1,981,129,789",,,"621,791,962",,,,,,,,,,,,,,,
[050960],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100,948,417",,,,,"45,870,561","17,577",,,,,,,,,,,,,,,,,,,,,"3,138,608,679",,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,"237,572","158,929,346","3,239,557,096","-34,176,173",,,,"339,669,348","305,493,175",,,,,,,,,,,,,,,,,,
