,dart_AdvertisingExpenses,dart_AmortisationExpense,dart_BadDebtExpenses,dart_Commissions,dart_CommunicationExpenses,dart_ConferenceExpenses,dart_CostOfSalesFromConstruction,dart_CostOfSalesFromConstructionContracts,dart_CostOfSalesFromRenderingOfServices,dart_CostOfSalesFromRenderingOfServicesCommission,dart_CostOfSalesFromRenderingOfServicesProcession,dart_CostOfSalesFromRenderingOfServicesRental,dart_CostOfSalesFromRenderingOfServicesTransportation,dart_CostOfSalesFromSaleOfGoods,dart_CostOfSalesFromSaleOfGoodsMerchandises,dart_CostOfSalesFromSaleOfGoodsProduct,dart_CostOfSalesFromSaleOfGoodsRealEstate,dart_CostOfSalesFromServices,dart_DepreciationExpense,dart_DividendIncome,dart_DividendIncomeNonOperating,dart_Donations,dart_EmployeeBenefits,dart_EngagementExpenses,dart_EntertainmentExpenses,dart_ExclusiveLineUseExpense,dart_ExportOverallExpense,dart_FreightExpenses,dart_GainOnForeignExchangeTranslations,dart_GainsForeignCurrencyTransactions,dart_GainsFromCommission,dart_GainsFromFinancialGuaranteeFinancialIncome,dart_GainsOnDisposalsOfFairValueFinancialAssetFinancialIncome,dart_GainsOnDisposalsOfInventory,dart_GainsOnDisposalsOfInvestmentProperty,dart_GainsOnDisposalsOfPropertyPlantAndEquipment,dart_GainsOnForeignCurrencyTransactionsFiancialIncome,dart_GainsOnForeignExchangeTranslationsFinancialIncome,dart_GainsOnTransactionOfDerivativeFinancialInstrumentsFinancialIncome,dart_GainsOnValuationOfDerivativeFinancialInstrumentsFinancialIncome,dart_GainsOnValuationOfFairValueFinancialAssetFinancialIncome,dart_GainsOnValuationOfLongTermFinancialInstruments,dart_ImpairmentLossDeterminedInAccordanceWithIFRS9,dart_ImpairmentLossRecoveryOfAccountsReceivables,dart_ImpairmentLossesOnAssociates,dart_InsurancePremiums,dart_InterestExpenseFinanceExpense,dart_InterestIncomeFinanceIncome,dart_LeaseholdAdministrationExpense,dart_LentIncome,dart_LossOnForeignExchangeTranslations,dart_LossesForeignCurrencyTransactions,dart_LossesOnDisposalOfIntangibleAssets,dart_LossesOnDisposalOfInvestmentProperty,dart_LossesOnDisposalsOfFairValueFinancialAssetFinancialExpense,dart_LossesOnDisposalsOfPropertyPlantAndEquipment,dart_LossesOnForeignCurrencyTransactionsFiancialExpense,dart_LossesOnForeignExchangeTranslationsFinancialExpense,dart_LossesOnSaleOfInvestmentsInSubsidiaries,dart_LossesOnTransactionOfDerivativeFinancialInstrumentsFinancialExpense,dart_LossesOnValuationOfDerivativeFinancialInstrumentsFinancialExpense,dart_LossesOnValuationOfFairValueFinancialAssetFinancialExpense,dart_MembershipExpenses,dart_MiscellaneousExpenses,dart_MiscellaneousIncome,dart_MiscellaneousLosses,dart_NetworkContactSettleExpense,dart_OperatingExpenses,dart_OperatingIncomeLoss,dart_OrdinaryDevelopmentExpense,dart_OtherCostOfSales,dart_OtherFinancialExpenses,dart_OtherFinancialIncome,dart_OtherGains,dart_OtherLosses,dart_PackingExpenses,dart_PersonalExpense,dart_ProvisionForSeveranceIndemnities,dart_PublicationExpenses,dart_RentalExpenses,dart_RepairExpenses,dart_RevenueFromConstruction,dart_RevenueFromRenderingOfServicesCommission,dart_RevenueFromRenderingOfServicesProcession,dart_RevenueFromRenderingOfServicesRental,dart_RevenueFromRenderingOfServicesTransportation,dart_RevenueFromSaleOfGoodsMerchandise,dart_RevenueFromSaleOfGoodsProduct,dart_RevenueFromSaleOfGoodsRealEstate,dart_RevenueFromServices,dart_SalariesWages,dart_SamplesExpenses,dart_SupplyExpenses,dart_TaxesDues,dart_TotalSellingGeneralAdministrativeExpenses,dart_TrainingExpenses,dart_TravelExpenses,dart_UtilityExpenses,dart_VehicleMaintenanceExpenses,entity_BasicEarningsLossPerShare,entity_BasicEarningsLossPerShareFromContinuingOperations,entity_CostOfSales,entity_DilutedEarningsLossPerShare,entity_DilutedEarningsLossPerShareFromContinuingOperations,entity_EarningsPerShareAbstract,entity_FinanceCosts,entity_FinanceIncome,entity_GrossProfit,entity_IncomeStatementAbstract,entity_OperatingExpenses,entity_OperatingIncomeLoss,entity_OtherGains,entity_ProfitLoss,entity_ProfitLossFromDiscontinuedOperations,entity_Revenue,entity_RevenueFromRenderingOfServices,entity_TotalSellingGeneralAdministrativeExpenses,ifrs-full_BasicEarningsLossPerShare,ifrs-full_BasicEarningsLossPerShareFromContinuingOperations,ifrs-full_BasicEarningsLossPerShareFromDiscontinuedOperations,ifrs-full_CostOfSales,ifrs-full_DilutedEarningsLossPerShare,ifrs-full_DilutedEarningsLossPerShareFromContinuingOperations,ifrs-full_DilutedEarningsLossPerShareFromDiscontinuedOperations,ifrs-full_EarningsPerShareAbstract,ifrs-full_EmployeeBenefitsExpense,ifrs-full_FinanceCosts,ifrs-full_FinanceIncome,ifrs-full_GainsArisingFromDerecognitionOfFinancialAssetsMeasuredAtAmortisedCost,ifrs-full_GrossProfit,ifrs-full_IncomeTaxExpenseContinuingOperations,ifrs-full_LossesArisingFromDerecognitionOfFinancialAssetsMeasuredAtAmortisedCost,ifrs-full_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates,ifrs-full_OtherRevenue,ifrs-full_ProfitLoss,ifrs-full_ProfitLossBeforeTax,ifrs-full_ProfitLossFromContinuingOperations,ifrs-full_ProfitLossFromDiscontinuedOperations,ifrs-full_Revenue,ifrs-full_RevenueFromConstructionContracts,ifrs-full_RevenueFromDividends,ifrs-full_RevenueFromRenderingOfServices,ifrs-full_RevenueFromRoyalties,ifrs-full_RevenueFromSaleOfGoods
[068270],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"189,518,478,864",,,,,"9,384,255,282","11,119,952,978",,,,,,,,,,,,,,,,,,,,"46,146,249,218",,,,,,,,,,,,,,,,,,,,,,,"1,052",,,"168,608,807,183","1,047",,,,,"3,004,496,043","1,346,575,183",,"235,664,728,082","42,618,130,568",,,,"143,506,729,740","186,124,860,308",,,"404,273,535,265",,,,,
[336370],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,997,562,179",,,,,"38,642,271","686,192,311",,,,,,,,,,,,,,,,,,,,,,,,,,118,,,118,,,,,"9,255,350,661",,,,,,,,,,,,,,,,,,"1,078,530,846","189,245,707",,,"-152,436,865",,,"485,947,784","4,613,163,865","4,460,727,000",,,"29,539,908,410",,,,,"29,053,960,626"
[086980],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-977,878,156",,,,,"256,879,880","-3,269,242",,,,,,,,,,,,,,,,,,,,"2,256,966,652",,,,,,,,,,,,,,,,,,,,,,,-8,,,"3,239,681,076",-8,,,,,"25,025,410","136,432,821",,"1,279,088,496","-82,540,058",,,,"-523,781,565","-606,321,623",,,"4,518,769,572",,,,,
[050960],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,420,335,624",,,,,"37,506,317","82,000,070",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189,,,"3,188,711,271",189,,,,,"572,683","117,969,845",,,"220,519,839",,,,"1,272,719,194","1,493,239,033",,,"4,609,046,895",,,,,
[033790],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,175,050,801",,,,,"188,703,290","19,756,526",,,,,,,,,,,,,,,,,,,,"4,109,409,052",,,,,,,,,,,,,,"125,638,700",,,,,,,,,149,,,"1,905,581,008",149,,,,,"-9,785,282","34,053,772",,"6,284,459,853",0,,,,"2,513,475,319","2,513,475,319",,,"8,190,040,861",,,,,
[004970],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-4,146,330,124",,,,,"-2,617,113,883","-6,180,153,327",,,,,,,,,,,,,,,,,,,,"4,734,160,553",,,,,,,,,,,,,,,,,,,,,,,132,,,"82,723,617,995",,,,,,"283,216,336","3,450,872,724",,"587,830,429","478,167,547",,,,"2,106,198,161","2,584,365,708",,,"83,311,448,424",,,,,
[065350],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,789,963,051",,,,,"737,524,488","296,864,077",,,,,,,,,,,,,,,,,,,,"3,660,735,681",,,,,,,,,,,,,,0,,,,,,,,,161,168,-7,"26,589,788,372",149,156,-7,,,"538,620,230","5,989,851",,"4,309,643,422","-316,434,128",,,,"3,831,082,430","3,697,993,083","4,014,427,211","-183,344,781","30,899,431,794",,,,,
[011930],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,102,487,626",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10,,,,"4,570,315,380",,"140,671,492",,,"-1,496,002,733",,,,,,,"79,900,434,876",,,,,,,,,"14,304,789,365","-809,985,113",,,,"3,074,312,647","3,760,330,267",,"-1,496,002,733","94,205,224,241",,,,,
[004170],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,309,016,758",,,,,"120,270,153,332","3,189,758,937",,,,,,,,,,,,,,,,,,,,"272,802,382,816",,,,,,,,,,,,,,,,,,,,,,,"13,479",,,"66,710,422,772","13,479",,,,,"25,844,138,745","9,681,301,175",,"287,111,399,574","-22,177,488,763",,,,"137,404,062,346","115,226,573,583",,,"353,821,822,346",,,,,
[003410],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"69,661,081,173",,,,,"4,785,649,082","23,456,143,491",,,,,,,,,,,,,,,,,,,,"20,193,953,135",,,,,,,,,,84,,,,,,,,,,,,,83,,,"165,895,156,033",83,,,,,"4,684,538,156","498,186,203",,"89,855,034,308","4,696,571,007",,,,"42,107,663,804","46,804,234,811",,,"255,750,190,341",,,,,
[010280],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-754,719,653",,,,,"29,144,741","8,254,113",,,,,,,,,,,,,,,,,,,,"3,180,843,684",,,,,,,,,,,,,,,,,,,,,,,-17,,,"15,826,646,625",,,,,,"69,318,698","97,046,892",,"2,426,124,031",,,,,"-706,100,831","-706,100,831",,,"18,252,770,656",,,,,
[015540],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,0,,,,,,,,,,"-1,866,861,503",,,,,"57,092,226",0,,,,,,,,,,,,,,,,,,,,"1,045,167,250",,,,,,,,,,,,,,0,,,,,,,,,-544,,,"2,150,821,393",,,,,,"3,562,874,516","14,514,685",,"-412,071,053",0,,,,"-5,532,325,416","-5,532,325,416",,,"1,738,750,340",,,,,
[067390],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,484,164,638",,,,,"-833,032,883","5,396,960,510",,,,,,,,,,,,,,,,,,,,"1,600,499,284",,,,,,,,,,,,,,,,,,,,,,,-280,,,"9,041,140,995",-280,,,,,"4,499,008,771","155,878,780",,"3,084,663,922","-1,892,710,774",,,,"-7,196,247,972","-9,088,958,746",,,"12,125,804,917",,,,,
[099190],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,780,751,490",,,,,"3,471,391,735","1,234,597,159",,,,,,,,,,,,,,,,,,,,"11,374,367,821",,,,,,,,,,,,,,"-1,201,919,424",,,,,,,,,517,,,"25,618,914,750",517,,,,,"803,394,424","346,697,523",,"19,155,119,311","1,333,826,981",,,,"7,025,102,760","8,358,929,741",,,"44,774,034,061",,,,,
[032080],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-2,721,553,066",,,,,"120,471,183","14,131,263",,,,,,,,,,,,,,,,,,,,"1,499,840,134",,,,,,,,,,,,,,,,,,,,,,,15,,,"7,417,706,860",15,,,,,"260,280,784","3,024,719,912",,"-1,221,712,932","166,807,933",,,,"316,033,915","149,225,982",,,"6,195,993,928",,,,,
[158430],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,370,750,250",,,,,"890,426","110,525,335",,,,,,,,,,,,,,,,,,,,"2,967,375,202",,,,,,,,,,,,,,,,,,,,,,,411,,,"2,439,847,847",405,,,,,"4,402,188","720,040,500",,"4,338,125,452","340,764,247",,,,"1,635,989,406","1,976,753,653",,,"6,777,973,299",,,,,
[011090],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-2,300,392,796",,,,,"558,430,849","100,896,838",,,,,,,,,,,,,,,,,,,,"6,129,180,856",,,,,,,,,,,,,,,,,,,,,,,-41,,,"44,730,547,590",,,,,,"184,631,769","25,651,586",,"3,828,788,060","268,985,136",,,,"-2,270,824,104","-2,001,838,968",,,"48,559,335,650",,,,,
[031330],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,094,937,324",,,,,"2,342,468,106","2,432,260,152",,,,,,,,,,,,,,,,,,,,"5,364,068,328",,,,,,,,,,,,,,,,,,,,,,,41,,,"221,069,283,499",41,,,,,"549,767,646","805,431,579",,"10,459,005,652","1,207,006,487",,,,"4,053,802,724","5,260,809,211",,,"231,528,289,151",,,,,
[060540],,,,,,,,,"1,096,433,811",,,"76,751,809",,"618,693,860","68,266,573","550,427,287",,"1,019,682,002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"507,142,216",,,,,"2,875,416","342,139,120",,,,,,,,,,"215,671,920",,"109,627,637","563,590,911",,"1,868,730,560",,,,,"535,351,141",,,,,,,,,,,,,,,,,,,,,,,3,,,"1,715,127,671",3,,,,,"83,768,459","-12,227,320",,"1,042,493,357","-2,141,326",,,,"74,024,059","71,882,733",,,"2,757,621,028",,,"2,084,402,480",,"673,218,548"
[056190],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30,128,977,158",,,,,"5,616,534,811","1,767,517,971",,,,,,,,,,,,,,,,,,,,"24,127,626,965",,,,,,,,,,,,,,,,,,,,,,,671,,,"172,275,546,190",671,,,,,"418,423,230","503,704,368",,"54,256,604,123","11,548,910,730",,,,"22,514,364,406","34,063,275,136",,,"226,532,150,313",,,,,
[080000],,,"-253,161,207",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-288,647,482",,,,,,,,,,,"132,992,978",,,,,,,,,,,,,,,,"1,050,157,545",,,,,"3,057,500,493",,,,,,,,,,,,,,,,,,,,,,,,,,"1,735,845,255",,,,,,,,,,,,"-200,694,016",,,,,,,,,,"938,848,917",52,,,"15,188,646,385",52,,,,,,"-1,105,161,638",,"4,793,345,748","168,512,686",,,,"1,783,826,169","1,952,338,855",,,"19,981,992,133",,,,,
[005850],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,601,296,706",,,,,"8,407,177,784","5,319,292,627",,,,,,,,,,,,,,,,,,,,"11,066,209,861",,,,,,,,,,,,,,,,,,,,,,,374,,,"314,741,028,993",,,,,,"-572,403,008","2,292,726,843",,"27,667,506,567","5,240,317,760",,,,"17,313,993,954","22,554,311,714",,,"342,408,535,560",,,,,
[012750],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"52,575,886,352",,,,,"958,266,228","4,163,667,229",,,,,,,,,,,,,,,,,,,,"85,469,581,863",,,,,,,,,,,,,,,,,,,,,,,"1,118",,,"409,463,041,316","1,118",,,,,"260,606,416","887,409,584",,"138,045,468,215","12,208,911,410",,,,"37,788,377,109","49,997,288,519",,,"547,508,509,531",,,,,
[123700],,"45,953,890","1,018,131,569","266,480,931","7,918,422",,,,,,,,,"12,980,305,752","693,367,475","12,286,938,277",,,"99,963,136",,"21,015,471",,"55,421,188",,"9,987,450",,"17,522,155","100,226,333","-819,219,154","247,586,722","318,377,527",,0,,,0,,,,,,,,,,"18,638,225","1,447,363","98,001,662",,"5,700,000","24,119,705","57,064,967",,,,0,,,,,,"-83,665,986",,"7,777,652","35,664,941","-56,022,700",,,"-2,927,989,198","589,781,596",,,,"-190,874,493","25,161,972","42,893,500",,"185,526,594","3,513,090","-25,500,000","650,000",,,,,,"1,195,291,334","12,297,478,422",,,"890,812,031","22,968,321","4,202,956","42,200,293","3,440,453,202","-1,842,330","32,360,098",,"4,866,102",,,,,,,,"2,909,292",,,,,,,,,,,-159,-159,,"12,980,305,752",-159,-159,,,,"-82,218,623","100,910,954",,"512,464,004","-482,405,099",,,,"-2,478,490,987","-2,960,896,086",,,"13,492,769,756",,,,,"13,492,769,756"
[025530],,"181,277",,"161,947,241","272,692",,,,,,,,,,,,,,"78,618,738","16,665,743",,,"14,497,754",,"200,000",,,,,"1,796,438",,,"134,670,690",,,,,,,,"27,972,877",,,,,"-2,287,892","56,350,392","179,238,509",,,0,,,,0,,,,,,,"650,000",,,"486,612",,,,"-649,481,989",,,,,"2,283,050",0,,,"38,970,594","601,500",,0,,"150,413,154",,"292,430,000",,,,,,"217,629,103",,"1,543,409","7,876,187","525,054,968","200,000","164,900","485,420","4,154,045",,,,,,,,,,,,,,,,,"-567,270,175",,-29,-29,,0,-29,-29,,,,"57,000,392","358,547,819",,"-124,427,021","51,074,560",,,,"-396,726,072","-345,651,512",,,"-124,427,021",,,"-124,427,021",,
[069510],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,823,085,775",,,,,"6,256,583,030","832,278,837",,,,,,,,,,,,,,,,,,,,"9,217,528,711",,,,,,,,,,,,,,,,,,,,,,,413,,,"29,874,480,268",,,,,,"226,099,140","286,268,463",,"7,394,442,936","-184,824,638",,,,"3,476,563,103","3,661,387,741",,,"37,268,923,204",,,,,
[050760],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,580,135,193",,,,,"116,128,005","419,008,788",,,,,,,,,,,,,,,,,,,,"4,794,339,905",,,,,,,,,,,,,,"21,482,479",,,,,,,,,228,,,"26,362,686,913",228,,,,,"365,230,924","-378,948,607",,"10,424,983,860","979,670,843",,"-38,991,686",,"3,535,894,829","4,515,565,672",,,"36,787,670,773",,,,,
[200710],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,720,055,680",,,,,"487,961,404","631,311,817",,,,,,,,,,,,,,,,,,,,"1,538,425,296",,,,,,,,,,,,,,,,,,,,,,,-16,,,"62,709,880,973",-17,,,,,"5,304,548,398","-33,427,762",,"6,258,480,976","-603,811,050",,,,"-157,459,843","-761,270,893",,,"68,968,361,949",,,,,
[003800],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18,640,006,525",,,,,"1,497,615,297","8,372,450",,,,,,,,,,,,,,,,,,,,"26,836,240,140",,,,,,,,,,,,,,,,,,,,,,,"1,633",,,"27,595,852,034","1,633",,,,,"-291,738,438","1,684,049,519",,"45,476,246,665","5,364,907,862",,,,"16,740,129,467","22,105,037,329",,,"73,072,098,699",,,,,
[037950],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,500,619,067",,,,,"-45,898,373","1,623,048,619",,,,,,,,,,,,,,,,,,,,"2,257,520,346",,,,,,,,,,,,,,"127,402,108",,,,,,,,,-68,,,"7,144,569,228",-68,,,,,"9,796,174","64,568,956",,"756,901,279","2,502,283,638",,,,"-5,744,479,023","-3,242,195,385",,,"7,901,470,507",,,,,
[347890],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,507,517,279",,,,,"47,983,549","900,000",,,,,,,,,,,,,,,,,,,,"1,711,411,355",,,,,,,,,,,,,,,,,,,,,,,209,,,"3,681,554,263",208,,,,,"3,519,652","48,309,669",,"5,218,928,634","470,473,297",,,,"3,128,917,548","3,599,390,845",,,"8,900,482,897",,,,,
[111770],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26,372,977,848",,,,,"6,333,850,491","9,751,387,154",,,,,,,,,,,,,,,,,,,,"13,557,304,032",,,,,,,,,,,,,,,,,,,,,,,556,,,"212,831,272,574",,,,,,"1,068,249,997","10,299,316,107",,"39,930,281,880","7,795,927,829",,,,"24,390,579,466","32,186,507,295",,,"252,761,554,454",,,,,
[009970],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"838,921,686",,,,,"-260,376,228","987,431,448",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,327,606,288",,,,,,,,,,,,,,,,,,"-13,607,960","79,952,563",,,"-316,837,257",,,,"1,511,790","-315,325,467",,,,,,,,
[036000],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"928,023,124",,,,,"14,187,177","10,569,777",,,,,,,,,,,,,,,,,,,,"1,254,362,749",,,,,,,,,,,,,,,,,,,,,,,31,,,"1,985,298,060",31,,,,,"109,172,039","170,075,030",,"2,182,385,873","273,492,517",,,,"719,050,998","992,543,515",,,"4,167,683,933",,,,,
[039830],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,155,344,647",,,,,"1,805,241,238","75,387,390",,,,,,,,,,,,,,,,,,,,"5,192,665,844",,,,,,,,,,,,,,,,,,,,,,,523,,,"23,145,566,719",,,,,,"-588,651,080","183,405,336",,"9,348,010,491","1,291,504,647",,,,"5,365,750,264","6,657,254,911",,,"32,493,577,210",,,,,
[010470],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-937,361,494",,,,,"12,313,503","411,062",,,,,,,,,,,,,,,,,,,,"8,243,085,904",,,,,,,,,,,,,,,,,,,,,,,-59,,,"7,446,584,507",-59,,,,,"45,050,611","75,516,331",,"7,305,724,410","-221,958,347",,,,"-673,034,986","-894,993,333",,,"14,752,308,917",,,,,
[048260],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25,095,821,636",,,,,"991,951,726","694,231,673",,,,,,,,,,,,,,,,,,,,"27,096,648,197",,,,,,,,,,,,,,"18,700,033",,,,,,,,,"1,137",,,"48,275,759,130",,,,,,"-411,718,013","-104,496,283",,"52,211,169,866","6,523,825,555",,"-3,706,935,431",,"15,470,002,433","21,993,827,988",,,"100,486,928,996",,,,,
[037400],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"555,656,919",,,,,"35,235,299","42,878,458",,,,,,,,,,,,,,,,,,,,"1,308,301,572",,,,,,,,,,,,,,,,,,,,,,,18,,,"4,203,721,966",,,,,,"89,211,110","900,117",,"1,863,958,491","51,367,832",,,,"408,334,935","459,702,767",,,"6,067,680,457",,,,,
[136540],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,682,988,870",,,,,"35,423,282","58,405,889",,,,,,,,,,,,,,,,,,,,"5,416,897,667",,,,,,,,,,,,,,,,,,,,,,,290,,,"10,504,151,754",268,,,,,"887,546,352","838,370,732",,"9,099,886,537","435,293,855",,,,"3,175,536,788","3,610,830,643",,,"19,604,038,291",,,,,
[011320],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-3,633,179,034",,,,,"2,011,967,300","225,293,032",,,,,,,,,,,,,,,,,,,,"4,441,634,245",,,,,,,,,,,,,,,,,,,,,,,-169,,,"37,618,588,221",,,,,,"1,066,377,500","179,019,262",,"808,455,211","489,079,357",,,,"-3,222,942,361","-2,733,863,004",,,"38,427,043,432",,,,,
[056090],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-2,341,811,073",,,,,"29,055,123","1,326,550,606",,,,,,,,,,,,,,,,,,,,"3,706,686,864",,,,,,,,,,,,,,,,,,,,,,,,-542,-542,"2,795,664,801",,,,,,"984,569,059","476,377,973",,"1,364,875,791",0,,,,"-4,147,497,642","-4,147,497,642",,,"4,160,540,592",,,,,
[084370],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,673,501,239",,,,,"750,703,621","264,800,684",,,,,,,,,,,,,,,,,,,,"9,312,389,133",,,,,,,,,,,,,,,,,,,,,,,226,,,"20,440,011,727",226,,,,,"770,350","484,640,722",,"13,985,890,372","571,521,501",,,,"5,071,753,047","5,643,274,548",,,"34,425,902,099",,,,,
[025820],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,540,160,382",,,,,"176,038,518","3,958,781",,,,,,,,,,,,,,,,,,,,"1,137,535,319",,,,,,,,,,,,,,,,,,,,,,,-56,,,"42,650,691,447",,,,,,"1,131,233,606","98,790,215",,"-402,625,063","-538,611,796",,,,"-1,861,912,240","-2,400,524,036",,,"42,248,066,384",,,,,
[139480],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-14,954,973,627",,,,,"554,527,239,082","6,195,167,087",,,,,,,,,,,,,,,,,,,,"877,673,832,697",,,,,,,,,,,,,,"6,913,250,453",,,,,,,,,"11,889",,,"2,374,545,758,459","11,889",,,,,"38,529,704,924","26,403,798,372",,"862,718,859,070","200,612,791,942",,,,"327,551,650,327","528,164,442,269",,,"3,237,264,617,529",,,,,
[005950],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20,381,257,620",,,,,"144,600,398","118,374,023",,,,,,,,,,,,,,,,,,,,"11,985,892,994",,,,,,,,,,,,,,,,,,,,,,,"1,122",,,"188,596,229,793","1,122",,,,,"6,593,038,451","2,597,766,284",,"32,367,150,614","3,551,416,326",,"3,439,500,984",,"16,300,296,486","19,851,712,812",,,"220,963,380,407",,,,,
