,dart_AdvertisingExpenses,dart_AllowanceForOtherDoubtfulAccounts,dart_AmortisationExpense,dart_BadDebtExpenses,dart_Commissions,dart_CommunicationExpenses,dart_ConferenceExpenses,dart_CostOfSalesFromConstruction,dart_CostOfSalesFromConstructionContracts,dart_CostOfSalesFromRenderingOfServices,dart_CostOfSalesFromRenderingOfServicesCommission,dart_CostOfSalesFromRenderingOfServicesProcession,dart_CostOfSalesFromRenderingOfServicesRental,dart_CostOfSalesFromRenderingOfServicesTransportation,dart_CostOfSalesFromSaleOfGoods,dart_CostOfSalesFromSaleOfGoodsMerchandises,dart_CostOfSalesFromSaleOfGoodsProduct,dart_CostOfSalesFromSaleOfGoodsRealEstate,dart_CostOfSalesFromServices,dart_DepreciationExpense,dart_DividendIncome,dart_DividendIncomeNonOperating,dart_Donations,dart_EmployeeBenefits,dart_EngagementExpenses,dart_EntertainmentExpenses,dart_ExclusiveLineUseExpense,dart_ExportOverallExpense,dart_FreightExpenses,dart_GainOnForeignExchangeTranslations,dart_GainsArisingFromDifferenceBetweenPreviousAmortisedCostAndFairValueOfFinancialAssetsReclassifiedOutOfAmortisedCostIntoFairValueThroughProfitOrLossMeasurementCategory,dart_GainsForeignCurrencyTransactions,dart_GainsFromCommission,dart_GainsFromFinancialGuaranteeFinancialIncome,dart_GainsOnDisposalsOfFairValueFinancialAssetFinancialIncome,dart_GainsOnDisposalsOfIntangibleAssets,dart_GainsOnDisposalsOfInventory,dart_GainsOnDisposalsOfInvestmentProperty,dart_GainsOnDisposalsOfPropertyPlantAndEquipment,dart_GainsOnForeignCurrencyTransactionsFiancialIncome,dart_GainsOnForeignExchangeTranslationsFinancialIncome,dart_GainsOnTransactionOfDerivativeFinancialInstrumentsFinancialIncome,dart_GainsOnValuationOfDerivativeFinancialInstrumentsFinancialIncome,dart_GainsOnValuationOfFairValueFinancialAssetFinancialIncome,dart_GainsOnValuationOfLongTermFinancialInstruments,dart_ImpairmentLossDeterminedInAccordanceWithIFRS9,dart_ImpairmentLossRecoveryOfAccountsReceivables,dart_ImpairmentLossesOnAssociates,dart_InsurancePremiums,dart_InterestExpenseFinanceExpense,dart_InterestIncomeFinanceIncome,dart_LeaseholdAdministrationExpense,dart_LentIncome,dart_LossOnForeignExchangeTranslations,dart_LossesForeignCurrencyTransactions,dart_LossesOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,dart_LossesOnDisposalOfFairValueFinancialAsset,dart_LossesOnDisposalOfIntangibleAssets,dart_LossesOnDisposalsOfFairValueFinancialAssetFinancialExpense,dart_LossesOnDisposalsOfPropertyPlantAndEquipment,dart_LossesOnForeignCurrencyTransactionsFiancialExpense,dart_LossesOnForeignExchangeTranslationsFinancialExpense,dart_LossesOnSaleOfInvestmentsInSubsidiaries,dart_LossesOnTransactionOfDerivativeFinancialInstrumentsFinancialExpense,dart_LossesOnValuationOfDerivativeFinancialInstrumentsFinancialExpense,dart_LossesOnValuationOfFairValueFinancialAssetFinancialExpense,dart_MembershipExpenses,dart_MiscellaneousExpenses,dart_MiscellaneousIncome,dart_MiscellaneousLosses,dart_NetworkContactSettleExpense,dart_OperatingExpenses,dart_OperatingIncomeLoss,dart_OrdinaryDevelopmentExpense,dart_OtherCostOfSales,dart_OtherFinancialExpenses,dart_OtherFinancialIncome,dart_OtherGains,dart_OtherLosses,dart_PackingExpenses,dart_PersonalExpense,dart_ProvisionForSeveranceIndemnities,dart_PublicationExpenses,dart_RentalExpenses,dart_RepairExpenses,dart_RevenueFromConstruction,dart_RevenueFromRenderingOfServicesCommission,dart_RevenueFromRenderingOfServicesProcession,dart_RevenueFromRenderingOfServicesRental,dart_RevenueFromRenderingOfServicesTransportation,dart_RevenueFromSaleOfGoodsMerchandise,dart_RevenueFromSaleOfGoodsProduct,dart_RevenueFromSaleOfGoodsRealEstate,dart_RevenueFromServices,dart_ReversalsOfAllowanceForOtherDoubtfulAccounts,dart_SalariesWages,dart_SamplesExpenses,dart_SupplyExpenses,dart_TaxesDues,dart_TotalSellingGeneralAdministrativeExpenses,dart_TrainingExpenses,dart_TravelExpenses,dart_UtilityExpenses,dart_VehicleMaintenanceExpenses,dart_WarrantyExpenses,entity_BasicEarningsLossPerShare,entity_BasicEarningsLossPerShareFromContinuingOperations,entity_CostOfSales,entity_DilutedEarningsLossPerShare,entity_DilutedEarningsLossPerShareFromContinuingOperations,entity_EarningsPerShareAbstract,entity_FinanceCosts,entity_FinanceIncome,entity_GrossProfit,entity_IncomeStatementAbstract,entity_OperatingExpenses,entity_OperatingIncomeLoss,entity_OtherGains,entity_OtherLosses,entity_ProfitLoss,entity_Revenue,entity_RevenueFromRenderingOfServices,entity_TotalSellingGeneralAdministrativeExpenses,ifrs-full_BasicEarningsLossPerShare,ifrs-full_BasicEarningsLossPerShareFromContinuingOperations,ifrs-full_BasicEarningsLossPerShareFromDiscontinuedOperations,ifrs-full_CostOfSales,ifrs-full_DilutedEarningsLossPerShare,ifrs-full_DilutedEarningsLossPerShareFromContinuingOperations,ifrs-full_DilutedEarningsLossPerShareFromDiscontinuedOperations,ifrs-full_EarningsPerShareAbstract,ifrs-full_EmployeeBenefitsExpense,ifrs-full_FinanceCosts,ifrs-full_FinanceIncome,ifrs-full_GrossProfit,ifrs-full_IncomeTaxExpenseContinuingOperations,ifrs-full_LossesArisingFromDerecognitionOfFinancialAssetsMeasuredAtAmortisedCost,ifrs-full_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates,ifrs-full_OtherRevenue,ifrs-full_ProfitLoss,ifrs-full_ProfitLossBeforeTax,ifrs-full_ProfitLossFromContinuingOperations,ifrs-full_ProfitLossFromDiscontinuedOperations,ifrs-full_Revenue,ifrs-full_RevenueFromConstructionContracts,ifrs-full_RevenueFromDividends,ifrs-full_RevenueFromRenderingOfServices,ifrs-full_RevenueFromRoyalties,ifrs-full_RevenueFromSaleOfGoods
[108670],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,116,000,000",,,,,"2,655,000,000","3,097,000,000",,,,,,,,,,,,,,,,,,,,,"130,711,000,000",,,,,,,,,,,,,,,,,,,,,,,,,-175,-9,"508,578,000,000",,-163,-9,,,"6,377,000,000","1,368,000,000","135,827,000,000","1,402,000,000",,,,"-1,826,000,000","-335,000,000","-1,737,000,000","-89,000,000","644,405,000,000",,,,,
[037560],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,121,390,204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-46,162,103",,,,,,,,,99,,,"258,472,021,202",,,,,,"5,761,280,755","876,306,925",,"1,460,059,543",,,,"7,645,516,528","9,105,576,071",,,"274,416,092,483",,,,,
[051910],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"223,856,000,000",,,,,"62,299,000,000","40,245,000,000",,,,,,,,,,,,,,,,,,,,,"776,115,000,000",,,,,,,,,,,-66,,,,"-5,148,000,000",,,,,,,,,,,,"4,151,852,000,000",,,,,,"37,427,000,000","50,178,000,000","999,971,000,000","58,699,000,000",,,,"194,814,000,000","258,661,000,000",,,"5,151,823,000,000",,,,,
[104200],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,159,118,822",,,,,"35,588,838","540,277",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23,890,341,184",,,,,,,,,163,,,,163,,,,,"13,671,620","264,236,852",,"235,454,955",,"-60,546,405",,"2,148,731,255","2,384,186,210",,,"26,049,460,006",,,,,
[010060],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-44,799,694,000",,,,,"852,566,000","1,602,105,000",,,,,,,,,,,,,,,,,,,,,"31,740,646,000",,,,,,,,,,,,,,,,,,,,,,,,,,,"465,341,399,000","-1,155",,,,,"18,720,779,000","28,449,358,000","-13,059,048,000","-8,266,589,000",,,,"-27,554,065,000","-35,820,654,000",,,"452,282,351,000",,,,,
[017670],"21,059,000,000",,,,"1,076,508,000,000",,,,,,,,,,,,,,,"625,924,000,000",,,,,,,"52,161,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"140,360,000,000","2,506,473,000,000","305,735,000,000",,,,,,,,,,,"55,171,000,000",,,,,,,,,,"2,812,208,000,000",,,,,,,,,,,,,,,,,,,,,0,"237,661,000,000",,,,,,,,"8,909",,,,"8,909",,,,"190,062,000,000","65,670,000,000","524,070,000,000",,"117,639,000,000",,,,"643,993,000,000","761,632,000,000",,,"2,812,208,000,000",,,,,
[063440],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,592,897",,,,,,"510,500",,,,,,,,,,,,,,,,,,,,,"1,140,597,117",,,,,,,,,,,,,,,"-75,901,376",,,,,,,,,1,1,0,"9,389,749,976",1,,,,,"2,129,966","125,059,852","1,147,190,014",0,,"236,096",,"53,347,003","53,347,003","53,347,003",0,"10,536,939,990",,,,,
[005610],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,071,837,607",,,,,"668,126,758","1,328,741,090",,,,,,,,,,,,,,,,,,,,,"34,819,923,466",,,,,,,,,,,,,,,"-638,032,049",,,,,,,,,571,,,"209,602,076,823",571,,,,,"1,206,345,099","533,967,836","59,911,668,566","1,476,779,055",,,,"4,624,034,908","6,100,813,963",,,"269,513,745,389",,,,,
[009450],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,031,221,561",,,,,"3,401,105,127","769,669,113",,,,,,,,,,,,,,,,,,,,,"28,532,363,455",,,,,,,,,,,,,,,,,,,,,,,,217,,,"109,807,966,947",217,,,,,"363,341,537","31,802,716","38,563,585,016","9,589,916,049",,,,"2,741,202,705","12,331,118,754",,,"148,371,551,963",,,,,
[000050],"-41,311,344",,,"12,910,179","12,277,824,684","7,504,192","2,661,739",,,,,,,,,,,,,"1,059,411,213","84,425,690",,,"50,365,629",,"32,183,643",,,"49,661,118","1,182,661,291",,"32,733,498",,,"8,576,206",,,,,,,,"524,020,000",,,,,,"7,048,480","1,391,413,982","577,031,168",,,"633,711,415","45,475,026",,,,"42,803,549",,,,,,,,,"4,177,844","501,028,078","56,817,424",,,"12,990,662,215","1,957,233",,"2,522,566,082","938,811,054","1,716,422,867","736,003,865",,,"34,733,272",,,"85,310,046",,,,,,,,,,,"346,186,850",,"5,064,393","433,684,944","14,939,692,551","377,240","33,667,673","533,800,368","2,473,155",,,,,,,,,,,,,,,,,,,,342,341,1,"27,617,974,117",342,,,,,"3,956,783,613","2,132,864,118","27,930,354,766","2,962,466,926",,,,"9,226,854,700","12,147,161,722","9,184,694,796","42,159,904","55,548,328,883",,,,,
[013580],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21,413,177,155",,,,,,,,,,,,,,,,,,,,,,,,,,,"12,075,478,544",,,,,,,,,,,,,,,"672,856,449",,,,,,,,,"2,463",,,"360,891,901,191",,,,,,"3,724,734,033","9,797,323,636","33,488,655,699","6,480,434,220",,,,"21,817,913,644","28,298,347,864",,,"394,380,556,890",,,,,
[004200],,,,,,,,"110,204,276,356",,,,,,,,,,"132,347,900","656,582,613",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,856,234,523",,,,,"961,802,572","1,465,452,862",,,,,,,"129,798,139,240",,,,,,,"303,120,000","623,345,280",,,,,,"7,875,163,128",,,,,,,,,,,,,,,,,,,,,,,,373,,,"110,993,206,869",166,,,,,"3,134,812,999","203,661,626","19,731,397,651","2,450,797,573",,,,"5,970,635,287","8,421,432,860",,,"130,724,604,520",,,,,
[060480],,,,,,,,,,"1,542,996,691",,,,,"4,366,744,769",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"587,297,272",,,,,"4,613,448","38,515,733",,,,,,,,,"2,060,441,510",,,,"4,885,982,989",,,,,,,,"449,385,767",,,,,,,,,,,,,,,,,,,,,,,,42,,,"5,909,741,460",,,,,,"9,885,391","20,951,842","1,036,683,039","118,857,516",,,,"445,603,922","564,461,438",,,"6,946,424,499",,,"2,060,441,510",,"4,885,982,989"
[011780],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"102,443,753,108",,,,,"62,691,215,574","3,740,668,812",,,,,,,,,,,,,,,,,,,,,"32,826,762,657",,,,,,,,,,,,,,,,,,,,,,,,"4,341","4,323",18,"790,205,444,937",,,,,,"14,612,683,541","3,069,474,949","135,270,515,765","29,216,305,181",,,,"121,146,871,070","149,851,091,278","120,634,786,097","512,084,973","925,475,960,702",,,,,
[000270],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"565,612,000,000",,,,,,,,,,,,,,,,"467,402,000,000",,,,,"437,604,000,000",,,,"54,121,000,000",,,,,,,,,,,,,,,,,,,,,,,"1,033,014,000,000",,,,,,,,,,,,,"64,592,000,000",,"51,653,000,000",,,,,,,,,"1,947",,,"6,323,094,000,000",,,,,,,"-10,471,000,000","1,470,618,000,000","242,244,000,000",,"428,550,000,000",,"780,553,000,000","1,022,797,000,000",,,"7,793,712,000,000",,,,,
[089600],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,618,145,940","5,245,418,078",,,,,"18,118,571","7,739",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,478,,,,,,,,,"123,287,741","312,151,919",,"1,271,836,942",,,,"4,180,556,146","5,452,393,088",,,"16,863,564,018",,,,,
[004270],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"900,674,627",,,,,"97,763,233","1,926,889",,,,,,,,,,,,,,,,,,,,,"1,161,127,404",,,,,,,,,,,,,,,"-169,075,694",,,,,,,,,34,,,"12,290,975,351",,,,,,"1,188,631,200","1,576,990,750","2,061,802,031","279,180,578",,,,"936,614,249","1,215,794,827",,,"14,352,777,382",,,,,
[056000],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"215,373,157",,,,,"49,427,162","18,651,091",,,,,,,,,,,,,,,,,,,,,"1,587,998,104",,,,,,,,,,,,,,,,,,,,,,,,,,,"2,204,576,183",20,20,,,,"764,725","32,654,550","1,803,371,261",,,,,"278,039,053","278,039,053",,,"4,007,947,444",,,,,
[000320],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18,452,878,062",,,,,"6,673,573","42,462,545",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,628",,,,,,,,,,,,,,,,,,"450,196,188","450,958,438",,"1,468,736,081",,,,"16,949,115,259","18,417,851,340",,,,,,,,
[004370],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22,909,785,062",,,,,"5,704,033,486","524,680,203",,,,,,,,,,,,,,,,,,,,,"108,529,128,018",,,,,,,,,,,,,,,"-64,339,873",,,,,,,,,"4,067",,,"349,939,997,450","4,067",,,,,"1,550,200,337","4,471,383,692","131,438,913,080","7,425,434,095",,,,"23,520,547,732","30,945,981,827",,,"481,378,910,530",,,,,
[054050],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,504,255,901",,,,,"620,424,035","247,033,311",,,,,,,,,,,,,,,,,,,,,"9,343,925,069",,,,,,,,,,,,,,,,,,,,,,,,238,,,"8,839,828,133",238,,,,,"227,186,851","603,363,297","12,848,180,970","441,670,098",,,,"3,812,152,973","4,253,823,071",,,"21,688,009,103",,,,,
[064260],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,047,538,241",,,,,"3,987,891,155","570,609,134",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,846,638,078",,,,,,,,,194,,,,157,,,,,"1,201,114,589","250,212,010",,"2,061,769,594",,,,"11,143,588,788","13,205,358,382",,,"36,568,676,007",,,,,
[019680],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,845,746,149",,,,,"9,042,228,827","2,905,851,951",,,,,,,,,,,,,,,,,,,,,"20,913,322,780",,,,,,132,,,132,,,,,,"603,750,351",,,,,,,,,,,,"149,870,673,490",,,,,,,"44,093,749","29,235,858,327","3,688,560,520",,,,"11,553,414,745","15,241,975,265",,,"179,106,531,817",,,,,
[006370],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-3,766,245,591",,,,,"62,759,636","79,399,193",,,,,,,,,,,,,,,,,,,,,"19,229,960,030",,,,,,,,,,,,,,,,,,,,,,,,-437,,,"10,382,924,699",-437,,,,,"487,928,251","1,230,418,172","15,463,714,439","334,616,702",,,,"-3,375,011,929","-3,040,395,227",,,"25,846,639,138",,,,,
[000210],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"168,474,220,510",,,,,"120,326,350,497","22,955,954,490",,,,,,,,,,,,,,,,,,,,,"135,087,163,543",,,,,,,,,,,,,,,,,,,,,,,,"5,293",,,"1,498,750,263,807","5,306",,,,,"17,389,907,736","24,058,649,260","303,561,384,053","68,148,059,156",,,,"204,365,298,885","272,513,358,041",,,"1,802,311,647,860",,,,,
[078140],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"320,277,021",,,,,"111,332,611","18,749,445",,,,,,,,,,,,,,,,,,,,,"2,076,918,040",,,,,,,,,,,,,,,,,,,,,,,,33,,,"11,467,031,094",33,,,,,"1,260,283","17,760,053","2,397,195,061","59,061,685",,,,"370,298,272","429,359,957",,,"13,864,226,155",,,,,
[045390],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,388,901,866",,,,,"440,860,302","-338,832",,,,,,,,,,,,,,,,,,,,,"2,207,542,632",,,,,,,,,,,,,,,,,,,,,,,,24,,,"14,170,959,819",,,,,,"16,005,537","120,415,024","3,596,444,498","242,900,061",,,,"1,691,610,426","1,934,510,487",,,"17,767,404,317",,,,,
[047040],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"86,336,625,575",,,,,"61,643,910,354","55,590,225,045",,,,,,,,,,,,,,,,,,,,,"108,117,337,573",,,,,,,,,,,,,,,,,,,,,,,,131,,,"1,738,797,334,630",131,,,,,"27,858,094,343","11,195,550,626","194,453,963,148","21,980,161,757",,,,"53,747,605,410","75,727,767,167",,,"1,933,251,297,778",,,,,
[042660],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"204,158,987,006",,,,,"94,126,393,005","10,693,370,673",,,,,,,,,,,,,,,,,,,,,"61,277,815,151",,,,,,,,,,,,,,,,,,,,,,,,"1,821",,,"1,775,504,373,812","1,219",,,,,"189,223,375,313","102,855,300,343","265,436,802,157","160,026,855",,,,"201,063,907,513","201,223,934,368",,,"2,040,941,175,969",,,,,
[000430],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,355,487,376",,,,,"5,414,544,802","323,514,281",,,,,,,,,,,,,,,,,,,,,"8,591,023,869",,,,,,,,,,,,,,,"7,784,104",,,,,,,,,75,,,"155,682,149,330",,,,,,"500,190,650","31,728,405","9,954,295,349","1,315,172,243",,,,"4,662,883,409","5,978,055,652",,,"165,636,444,679",,,,,
[005710],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,539,196,622",,,,,"1,770,359,242","234,293,295",,,,,,,,,,,,,,,,,,,,,"4,346,403,033",,,,,,,,,,,,,,,,,,,,,,,,319,,,"133,409,967,288",319,,,,,,"898,648,334","9,885,599,655","1,579,526,769",,,,"6,394,384,134","7,973,910,903",,,"143,295,566,943",,,,,
[100130],,,,,,,,"6,239,520,207",,,,,,,,,"21,272,651,151",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"872,259,006",,,,,,,,,,,,,"6,644,844,430",,,"120,058,000",,,"26,062,158,752",,,,,,,,"4,442,630,818",,,,,,,,,,,,,,,"15,716,287",,,,,,,,,35,,,"27,512,171,358",,,,,,"128,549,948","1,455,752,902","5,314,889,824","239,986,284",,,,"1,951,183,959","2,191,170,243",,,"32,827,061,182",,,,,
[005160],,,,,,,,,,,,"59,225,823",,,,,"66,711,736,545",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,418,784,491",,"4,677,551,540",,,"2,972,854,339","774,577,929",,,,,,,,,"67,987,662",,,,"75,637,435,536",,,,,,,,"5,793,898,184",,,,,,,,,,,,,,,,,,,,,,,,88,,,"71,448,513,908",88,,,,,"47,801,828","27,343,111","9,212,682,675","1,055,093,701",,,"4,955,773,385","4,541,508,483","5,596,602,184",,,"80,661,196,583",,,,,
[001230],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30,213,955,916",,,,,"7,810,635,695","13,697,021,946",,,,,,,,,,,,,,,,,,,,,"66,037,724,856",,,,,,,,,,,,,,,,,,,,,,,,-53,,,"1,135,316,117,325",-53,,,,,"34,327,683,232","3,642,880,078","96,251,680,772","1,313,332,804",,,,"-5,043,900,685","-6,357,233,489",,,"1,231,567,798,097",,,,,
[001520],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"282,586,647",,,,,,,,,,,,,,,,,,,,,"7,768,975,331",,,,,"-582,090,244",,,,,"592,472,491","372,112,606",,,,,,,,,,,,,,,,,,,,,"8,051,561,978",,,,,,,,,,,,,,,,,,,,,,,,11,,,"64,353,250,733",23,,,,,"861,174,594","4,501,823,892","7,469,471,734","1,026,963,445",,,,"2,251,955,494","3,278,918,939",,,"71,822,722,467",,,,,
[084670],,,,,,,,,,,,,,"27,847,112,082",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,151,651,558",,"255,154,318",,,"480,988,579","12,460,921",,,,,,,,,,,"32,651,137,258",,,,,,,,,,"2,300,011,203",,,,,,,,,,,,,,,,,,,,,,,,939,,,"28,102,266,400",939,,,,,"362,266,779","50,330,482","5,451,662,761","733,688,385",,,"902,791,903","2,574,554,534","3,308,242,919","2,574,554,534",,"33,553,929,161",,,,,
[000150],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"40,998,616,382",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,809,,,,"4,764,846,864",,,,,,,,,,,,,,,,,,,"11,114,822,999",,"8,827,788,245",,,,"15,693,626,312","29,999,550,293","21,171,762,048","-5,478,135,736",,,,,,
[241560],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-2,220,318,000",,,,,"5,125,000","1,703,351,000",,,,,,,,,,,,,,,,,,,,,"7,843,596,000",,,,,,,,,,,,,,,"-28,000",,,,,,,,,,,,,,,,,,"2,355,691,000","2,889,407,000","5,623,278,000","-578,336,000",,,,"-2,806,492,000","-3,384,828,000",,,"5,623,278,000",,,,,
[336370],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[042670],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"72,822,054,335",,,,,"704,587,472","12,342,173,192",,,,,,,,,,,,,,,,,,,,,"104,353,371,230",,,,,,,,,,,208,,,,,,,,,,,,,210,,,"738,277,957,132",,,,,,"44,049,347,942","43,526,232,304","177,175,425,565","16,328,772,623",,"-624,134,264",,"43,708,446,090","60,037,218,713",,,"915,453,382,697",,,,,
[034020],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"47,330,357,995",,,,,"4,569,896,021","7,604,669,122",,,,,,,,,,,,,,,,,,,,,"71,878,450,273",,,,,,,,,,,,,,,"-3,034,773,101",,,,,,,,,-341,,,"751,317,589,564",-341,,,,,"227,840,631,912","138,574,770,414","119,208,808,268","9,379,154,293",,,,"-35,591,122,311","-44,970,276,604",,,"870,526,397,832",,,,,
[003160],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17,795,926","2,071,735",,,,,"10,158,328","42,089,755",,,"26,902,974",,,,,,"202,391,389","75,785,755",,,,,,,,,,"2,505,018","131,983,487",,,,,,,,,,,"-1,252,785,711",,,,,"1,493,009,514","5,004,499",,,,,,,,,,,,,,,,,,,,,"5,165,101,903",,,,,,,,,,,,,,,"703,338,923",,,,,,,,,2,,,"9,098,489,003",2,,,,,"336,879,894","174,804,473","4,615,655,115","22,426,829",,,,"50,717,054","73,143,883",,,"13,714,144,118",,,,,
[001530],,,,,,,,,,,,,,,,,,,,,"14,450,080,625",,,,,,,,,,,,,,,,,,,"120,134,346","375,558,142","4,935,143","216,448,992","101,941,916",,,,,,"1,443,195,250","180,008,114",,,,,,,,,,"27,770,520","409,276,118",,,"9,490,431",0,,,,,,,"470,785,263",,,,,"62,037,365","999,448,885",,,,,,,,,,,,,,,,,,,,,"1,994,465,667",,,,,,,,,,,,,,,,,,,,,,,,"6,533",,,"74,127,512,247",,,,,,"1,889,732,319","15,449,107,278","2,465,250,930","1,545,639,214",,,,"11,547,109,488","13,092,748,702",,,"76,592,763,177",,,,,
