,dart_AdvertisingExpenses,dart_AllowanceForOtherDoubtfulAccounts,dart_AmortisationExpense,dart_BadDebtExpenses,dart_Commissions,dart_CommunicationExpenses,dart_ConferenceExpenses,dart_CostOfSalesFromConstruction,dart_CostOfSalesFromConstructionContracts,dart_CostOfSalesFromRenderingOfServices,dart_CostOfSalesFromRenderingOfServicesCommission,dart_CostOfSalesFromRenderingOfServicesProcession,dart_CostOfSalesFromRenderingOfServicesRental,dart_CostOfSalesFromRenderingOfServicesTransportation,dart_CostOfSalesFromSaleOfGoods,dart_CostOfSalesFromSaleOfGoodsMerchandises,dart_CostOfSalesFromSaleOfGoodsProduct,dart_CostOfSalesFromSaleOfGoodsRealEstate,dart_CostOfSalesFromServices,dart_DepreciationExpense,dart_DividendIncome,dart_DividendIncomeNonOperating,dart_Donations,dart_EmployeeBenefits,dart_EngagementExpenses,dart_EntertainmentExpenses,dart_ExclusiveLineUseExpense,dart_ExportOverallExpense,dart_FreightExpenses,dart_GainOnForeignExchangeTranslations,dart_GainsForeignCurrencyTransactions,dart_GainsFromCommission,dart_GainsFromFinancialGuaranteeFinancialIncome,dart_GainsOnDisposalsOfFairValueFinancialAssetFinancialIncome,dart_GainsOnDisposalsOfIntangibleAssets,dart_GainsOnDisposalsOfInventory,dart_GainsOnDisposalsOfInvestmentProperty,dart_GainsOnDisposalsOfPropertyPlantAndEquipment,dart_GainsOnForeignCurrencyTransactionsFiancialIncome,dart_GainsOnForeignExchangeTranslationsFinancialIncome,dart_GainsOnTransactionOfDerivativeFinancialInstrumentsFinancialIncome,dart_GainsOnValuationOfDerivativeFinancialInstrumentsFinancialIncome,dart_GainsOnValuationOfFairValueFinancialAssetFinancialIncome,dart_GainsOnValuationOfLongTermFinancialInstruments,dart_ImpairmentLossDeterminedInAccordanceWithIFRS9,dart_ImpairmentLossRecoveryOfAccountsReceivables,dart_ImpairmentLossesOnAssociates,dart_InsurancePremiums,dart_InterestExpenseFinanceExpense,dart_InterestIncomeFinanceIncome,dart_LeaseholdAdministrationExpense,dart_LentIncome,dart_LossOnForeignExchangeTranslations,dart_LossesForeignCurrencyTransactions,dart_LossesFromFinancialGuaranteeFinanceExpense,dart_LossesOnDisposalOfIntangibleAssets,dart_LossesOnDisposalsOfFairValueFinancialAssetFinancialExpense,dart_LossesOnDisposalsOfPropertyPlantAndEquipment,dart_LossesOnForeignCurrencyTransactionsFiancialExpense,dart_LossesOnForeignExchangeTranslationsFinancialExpense,dart_LossesOnSaleOfInvestmentsInSubsidiaries,dart_LossesOnTransactionOfDerivativeFinancialInstrumentsFinancialExpense,dart_LossesOnValuationOfDerivativeFinancialInstrumentsFinancialExpense,dart_LossesOnValuationOfFairValueFinancialAssetFinancialExpense,dart_MembershipExpenses,dart_MiscellaneousExpenses,dart_MiscellaneousIncome,dart_MiscellaneousLosses,dart_NetworkContactSettleExpense,dart_OperatingExpenses,dart_OperatingIncomeLoss,dart_OrdinaryDevelopmentExpense,dart_OtherCostOfSales,dart_OtherFinancialExpenses,dart_OtherFinancialIncome,dart_OtherGains,dart_OtherLosses,dart_PackingExpenses,dart_PersonalExpense,dart_ProvisionForSeveranceIndemnities,dart_PublicationExpenses,dart_RentalExpenses,dart_RepairExpenses,dart_RevenueFromConstruction,dart_RevenueFromRenderingOfServicesCommission,dart_RevenueFromRenderingOfServicesProcession,dart_RevenueFromRenderingOfServicesRental,dart_RevenueFromRenderingOfServicesTransportation,dart_RevenueFromSaleOfGoodsMerchandise,dart_RevenueFromSaleOfGoodsProduct,dart_RevenueFromSaleOfGoodsRealEstate,dart_RevenueFromServices,dart_ReversalsOfAllowanceForOtherDoubtfulAccounts,dart_SalariesWages,dart_SamplesExpenses,dart_SupplyExpenses,dart_TaxesDues,dart_TotalSellingGeneralAdministrativeExpenses,dart_TrainingExpenses,dart_TravelExpenses,dart_UtilityExpenses,dart_VehicleMaintenanceExpenses,entity_BasicEarningsLossPerShare,entity_BasicEarningsLossPerShareFromContinuingOperations,entity_CostOfSales,entity_DilutedEarningsLossPerShare,entity_DilutedEarningsLossPerShareFromContinuingOperations,entity_EarningsPerShareAbstract,entity_FinanceCosts,entity_FinanceIncome,entity_GrossProfit,entity_IncomeStatementAbstract,entity_OperatingExpenses,entity_OperatingIncomeLoss,entity_OtherGains,entity_OtherLosses,entity_ProfitLoss,entity_ProfitLossFromDiscontinuedOperations,entity_Revenue,entity_RevenueFromRenderingOfServices,entity_TotalSellingGeneralAdministrativeExpenses,ifrs-full_BasicEarningsLossPerShare,ifrs-full_BasicEarningsLossPerShareFromContinuingOperations,ifrs-full_BasicEarningsLossPerShareFromDiscontinuedOperations,ifrs-full_CostOfSales,ifrs-full_DilutedEarningsLossPerShare,ifrs-full_DilutedEarningsLossPerShareFromContinuingOperations,ifrs-full_DilutedEarningsLossPerShareFromDiscontinuedOperations,ifrs-full_EarningsPerShareAbstract,ifrs-full_EmployeeBenefitsExpense,ifrs-full_FinanceCosts,ifrs-full_FinanceIncome,ifrs-full_GainsArisingFromDerecognitionOfFinancialAssetsMeasuredAtAmortisedCost,ifrs-full_GrossProfit,ifrs-full_IncomeTaxExpenseContinuingOperations,ifrs-full_LossesArisingFromDerecognitionOfFinancialAssetsMeasuredAtAmortisedCost,ifrs-full_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates,ifrs-full_OtherRevenue,ifrs-full_ProfitLoss,ifrs-full_ProfitLossBeforeTax,ifrs-full_ProfitLossFromContinuingOperations,ifrs-full_ProfitLossFromDiscontinuedOperations,ifrs-full_Revenue,ifrs-full_RevenueFromConstructionContracts,ifrs-full_RevenueFromDividends,ifrs-full_RevenueFromRenderingOfServices,ifrs-full_RevenueFromRoyalties,ifrs-full_RevenueFromSaleOfGoods
[108670],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15,378,000,000",,,,,"4,480,000,000","5,365,000,000",,,,,,,,,,,,,,,,,,,,,"127,640,000,000",,,,,,,,,,,,,,,,,,,,,,,,,769,-1,"519,516,000,000",,782,-1,,,"6,319,000,000","1,946,000,000",,"143,018,000,000","2,445,000,000",,,,"7,674,000,000","10,120,000,000","7,675,000,000","-1,000,000","662,534,000,000",,,,,
[037560],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,027,620,258",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"191,961,879",,,,,,,,,,-36,,,"260,812,558,154",,,,,,"6,334,201,254","953,521,318",,,"615,881,305",,,,"-2,823,882,800","-2,208,001,495",,,"273,419,523,511",,,,,
[051910],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"242,213,000,000",,,,,"90,062,000,000","61,668,000,000",,,,,,,,,,,,,,,,,,,,,"718,618,000,000",,,,,,,,,,-45,,,,"-3,458,000,000",,,,,,,,,,,,,"4,830,593,000,000",,,,,,"116,268,000,000","66,774,000,000",,"960,831,000,000","55,659,000,000",,,,"161,996,000,000","221,113,000,000",,,"5,791,424,000,000",,,,,
[104200],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,179,838,113",,,,,"-7,153,626","824,965",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15,195,551,594",,,,,,,,,,85,,,,85,,,,,"-126,320,108","319,230,345",,,"359,372,232",,"-133,238,244",,"1,124,799,499","1,484,171,731",,,"16,375,389,707",,,,,
[010060],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-42,151,856,000",,,,,"4,444,150,000","1,235,641,000",,,,,,,,,,,,,,,,,,,,,"34,214,220,000",,,,,,,,,,,,,,,,,,,,,,,,,,,"457,712,977,000","-1,745",,,,,"30,010,852,000","14,345,062,000",,"-7,937,636,000","-12,994,942,000",,,,"-41,614,195,000","-54,609,137,000",,,"449,775,341,000",,,,,
[017670],"36,014,000,000",,,,"1,156,371,000,000",,,,,,,,,,,,,,,"680,737,000,000",,,,,,,"54,823,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"137,540,000,000","2,658,789,000,000","252,761,000,000",,,,,,,,,,,"55,541,000,000",,,,,,,,,,"2,911,550,000,000",,,,,,,,,,,,,,,,,,,,0,"238,195,000,000",,,,,,,,,"2,190",,,,"2,190",,,,"194,454,000,000","65,056,000,000","18,278,000,000",,,"41,878,000,000",,,,"161,088,000,000","202,966,000,000",,,"2,911,550,000,000",,,,,
[063440],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"184,812,959",,,,,,"136,119,909",,,,,,,,,,,,,,,,,,,,,"1,211,291,584",,,,,,,,,,,,,,"-248,070,107",,,,,,,,,,-2,-2,,"6,035,610,336",-2,,,,,"2,006,930","98,955,652",,"1,396,104,543",0,,"187,414",,"-102,240,921","-102,240,921","-102,240,921",,"7,431,714,879",,,,,
[005610],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,578,705,345",,,,,"23,446,812","1,012,936,583",,,,,,,,,,,,,,,,,,,,,"38,713,733,074",,,,,,,,,,,,,,"-1,397,596,299",,,,,,,,,,563,,,"225,621,219,581",563,,,,,"1,532,180,196","1,314,842,694",,"66,665,398,781","1,414,069,692",,,,"4,560,212,081","5,974,281,773",,,"292,286,618,362",,,,,
[009450],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,993,294,915",,,,,"2,857,771,811","531,192,355",,,,,,,,,,,,,,,,,,,,,"28,887,689,075",,,,,,,,,,,,,,,,,,,,,,,,994,,,"113,731,979,262",994,,,,,"570,733,946","11,142,809",,"42,880,983,990","3,218,096,491",,,,"12,542,186,743","15,760,283,234",,,"156,612,963,252",,,,,
[000050],"80,198,242",,,"-74,484,104","11,833,301,087","6,360,753","3,932,045",,,,,,,,,,,,,"1,118,247,147","2,156,368",,,"48,178,968",,"33,415,189",,,"-20,752,352","1,994,511,759","219,105,773",,,"11,682,610",,,,,,,,"1,183,700,000",,,,,,"7,201,865","1,180,834,824","668,787,242",,,"1,137,700,756","97,383,895",,,"32,317,649",,,,,,,,,"17,930,296","562,913,097","2,013,325,625",,,"10,091,811,002","1,638,475",,"1,147,747,704","216,470,814","2,776,530,629","3,248,410,276",,,"32,444,403",,,"19,950,224",,,,,,,,,,,"313,600,254",,"4,814,396","469,406,962","14,574,560,992","1,400,680","39,090,146","635,560,145","3,126,171",,,,,,,,,,,,,,,,,,,,237,248,-11,"23,437,144,552",237,248,-11,,,"2,360,900,177","2,082,797,034",,"24,666,371,994","2,742,392,505",,,,"6,313,644,215","9,341,828,212","6,599,435,707","-285,791,492","48,103,516,546",,,,,
[013580],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26,472,935,802",,,,,,,,,,,,,,,,,,,,,,,,,,,"21,465,039,137",,,,,,,,,,,,,,"551,035,821",,,,,,,,,,"2,098",,,"329,587,222,150",,,,,,"3,562,106,095","674,244,453",,"47,937,974,939","5,846,864,252",,,,"18,580,461,321","24,427,325,573",,,"377,525,197,089",,,,,
[060480],,,,,,,,,,"1,584,149,896",,,,,"4,330,499,784",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-120,143,664",,,,,"7,043,195","200,000",,,,,,,,,"1,773,481,354",,,,"4,544,286,714",,,,,,,,"523,262,052",,,,,,,,,,,,,,,,,,,,,,,,-8,,,"5,914,649,680",,,,,,"45,664,286","40,655,119",,"403,118,388","-31,528,123",,,,"-86,781,513","-118,309,636",,,"6,317,768,068",,,"1,773,481,354",,"4,544,286,714"
[011780],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"67,858,229,608",,,,,"11,542,309,407","10,388,062,764",,,,,,,,,,,,,,,,,,,,,"35,572,163,645",,,,,,,,,,,,,,,,,,,,,,,,"1,402","1,394",8,"823,795,343,165",,,,,,"17,385,226,160","6,358,054,770",,"103,430,393,253","19,057,307,575",,,,"39,159,895,896","57,985,304,861","38,927,997,286","231,898,610","927,225,736,418",,,,,
[000270],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"569,082,000,000",,,,,,,,,,,,,,,"543,737,000,000",,,,,"310,423,000,000",,,,"35,954,000,000",,,,,,,,,,,,,,,,,,,,,,,"1,112,819,000,000",,,,,,,,,,,,"82,564,000,000",,"33,326,000,000",,,,,,,,,,655,,,"6,917,602,000,000",,,,,,,"-46,610,000,000",,"1,423,242,000,000","87,523,000,000",,"16,427,000,000",,"262,648,000,000","350,171,000,000",,,"8,340,844,000,000",,,,,
[089600],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,003,078,336","4,033,915,822",,,,,"65,235,133","22,000,155",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370,,,,,,,,,"157,273,221","303,516,601",,,"985,158,012",,,,"3,238,236,168","4,223,394,180",,,"18,036,994,158",,,,,
[004270],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"468,328,305",,,,,"97,568,586","85,858,290",,,,,,,,,,,,,,,,,,,,,"1,109,208,375",,,,,,,,,,,,,,"-400,173,057",,,,,,,,,,11,11,,"13,881,860,247",,,,,,"2,024,482,794","2,390,556,242",,"1,577,536,680","123,454,722",,,,"322,484,270","445,938,992",,,"15,459,396,927",,,,,
[056000],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"99,008,738",,,,,"156,412,873","3,127,521",,,,,,,,,,,,,,,,,,,,,"1,630,968,779",,,,,,,,,,,,,,,,,,,,,,,,,,,"1,946,460,368",20,20,,,,"5,776,797","37,459,099",,"1,729,977,517",,,,,"283,976,392","283,976,392",,,"3,676,437,885",,,,,
[000320],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,631,215,761",,,,,"1,087,212","39,719,057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235,,,,,,,,,,,,,,,,,,,"524,842,342","334,541,750",,,"-35,313,769",,,,"2,437,597,093","2,402,283,324",,,,,,,,
[004370],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,795,136,376",,,,,"7,195,725,655","188,759,833",,,,,,,,,,,,,,,,,,,,,"110,848,897,142",,,,,,,,,,,,,,"-312,059,198",,,,,,,,,,"2,269",,,"351,375,749,268","2,269",,,,,"5,225,907,579","5,170,421,077",,"121,644,033,518","4,313,640,628",,,,"13,120,915,870","17,434,556,498",,,"473,019,782,786",,,,,
[054050],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-3,141,608,486",,,,,"450,483,356","228,376,731",,,,,,,,,,,,,,,,,,,,,"10,117,092,055",,,,,,,,,,,,,,,,,,,,,,,,-68,,,"11,503,754,085",-68,,,,,"88,116,965","775,326,394",,"6,975,483,569","-1,146,687,882",,,,"-1,085,604,550","-2,232,292,432",,,"18,479,237,654",,,,,
[064260],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,115,825,914",,,,,"-2,080,633,212","2,512,850,775",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,856,110,285",,,,,,,,,,-2,,,,1,,,,,"1,265,638,237","212,275,638",,,"571,243,123",,,,"-114,886,634","456,356,489",,,"42,328,920,515",,,,,
[019680],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,559,071,891",,,,,"2,104,729,614","3,742,433,280",,,,,,,,,,,,,,,,,,,,,"18,671,446,549",,,,,72,,,71,,,,,,"1,147,120,329",,,,,,,,,,,,,"144,342,455,449",,,,,,,"76,952,463",,"27,845,416,702","-1,968,678,735",,,,"6,164,552,753","8,133,231,488",,,"172,187,872,151",,,,,
[006370],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-4,205,211,969",,,,,"6,544,014","1,931,867",,,,,,,,,,,,,,,,,,,,,"18,046,011,814",,,,,,,,,,,,,,,,,,,,,,,,-734,,,"9,315,072,412",-734,,,,,"631,724,733","-243,118,679",,"13,840,799,845","589,703,909",,,,"-5,665,147,143","-5,075,443,234",,,"23,155,872,257",,,,,
[001880],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"33,350,501,050",,,,,"8,365,880,343","5,206,674,190",,,,,,,,,,,,,,,,,,,,,"8,013,694,106",,,,,,,,,,,,,,,,,,,,,,,,"1,827",,,"273,696,181,747",,,,,,"881,216,069","2,469,036,251",,"41,364,195,156","10,371,258,604",,,,"27,726,268,781","38,097,527,385",,,"315,060,376,903",,,,,
[000210],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"126,825,736,604",,,,,"61,888,061,915","144,659,756,798",,,,,,,,,,,,,,,,,,,,,"120,845,741,799",,,,,,,,,,,,,,"1,148",,,,,,,,,,,,,"1,341,305,514,300",,,,,,"19,623,539,629","31,873,102,184",,"247,671,478,403","12,423,680,092",,,,"43,879,924,184","56,303,604,276",,,"1,588,976,992,703",,,,,
[045390],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,259,496,975",,,,,"369,139,538","-16,040,784",,,,,,,,,,,,,,,,,,,,,"2,021,320,897",,,,,,,,,,,,,,,,,,,,,,,,21,,,"16,613,699,721",,,,,,"19,161,188","141,682,732",,"3,280,817,872","245,801,768",,,,"1,521,397,073","1,767,198,841",,,"19,894,517,593",,,,,
[047040],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"86,003,888,567",,,,,"81,285,698,010","93,177,585,083",,,,,,,,,,,,,,,,,,,,,"84,792,542,572",,,,,,,,,,,,,,,,,,,,,,,,104,,,"1,774,909,108,954",104,,,,,"30,240,423,055","12,658,209,016",,"170,796,431,139","13,755,582,713",,,,"42,774,204,742","56,529,787,455",,,"1,945,705,540,093",,,,,
[042660],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-265,845,163,479",,,,,"182,558,928,126","-3,738,075,620",,,,,,,,,,,,,,,,,,,,,"58,249,131,656",,,,,,,,,,,,,,,,,,,,,,,,"-2,898",,,"2,132,333,608,614","-2,898",,,,,"328,121,924,456","101,045,721,734",,"-207,596,031,823","-1,980,228,685",,,,"-304,644,133,770","-306,624,362,455",,,"1,924,737,576,791",,,,,
[000430],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"208,955,554",,,,,"1,133,802,140","361,145,862",,,,,,,,,,,,,,,,,,,,,"8,126,870,285",,,,,,,,,,,,,,"-4,352,421",,,,,,,,,,7,,,"156,511,994,385",,,,,,"486,292,145","38,678,002",,"8,331,473,418","117,147,363",,,,"416,850,326","533,997,689",,,"164,843,467,803",,,,,
[005710],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,382,676,916",,,,,"2,056,967,175","-254,304,569",,,,,,,,,,,,,,,,,,,,,"3,649,432,768",,,,,,,,,,,,,,,,,,,,,,,,268,,,"119,100,090,762",268,,,,,,"1,082,496,113",,"7,032,109,684","1,414,086,492",,,,"5,362,358,281","6,776,444,773",,,"126,132,200,446",,,,,
[005160],,,,,,,,,,,,"68,001,451",,,,,"65,012,083,707",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,899,743,333",,"4,415,387,079",,,"96,571,464","42,478,401",,,,,,,,,"69,973,600",,,,"75,523,630,941",,,,,,,,"5,904,089,717",,,,,,,,,,,,,,,,,,,,,,,,68,,,"69,495,472,237",68,,,,,"485,825,766","748,076,555",,"10,803,833,050","1,729,802,607",,,"4,705,700,746","3,486,284,578","5,216,087,185",,,"80,299,305,287",,,,,
[001230],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"43,898,533,336",,,,,"10,536,393,987","14,908,466,525",,,,,,,,,,,,,,,,,,,,,"62,378,222,261",,,,,,,,,,,,,,"-19,814,781,438",,,,,,,,,,-317,,,"1,156,687,702,982",-317,,,,,"56,428,803,942","3,813,632,073",,"106,276,755,597","-2,970,571,749",,,,"-29,932,920,760","-32,903,492,509",,,"1,262,964,458,579",,,,,
[001520],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-282,441,374",,,,,,,,,,,,,,,,,,,,"8,770,801,281",,,,,"-710,930,462",,,,,"829,121,712","548,848,420",,,,,,,,,,,,,,,,,,,,,"8,488,359,907",,,,,,,,,,,,,,,,,,,,,,,,10,,,"80,447,147,627",22,,,,,"745,825,174","3,888,582,046",,"7,777,429,445","692,533,065",,,,"2,019,566,637","2,712,099,702",,,"88,224,577,072",,,,,
[084670],,,,,,,,,,,,,,"28,942,944,504",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,783,786,291",,"394,760,003",,,"344,309,011","23,707,342",,,,,,,,,,,"34,417,627,887",,,,,,,,,,"2,182,900,476",,,,,,,,,,,,,,,,,,,,,,,,"1,096",,,"29,337,704,507","1,096",,,,,"357,799,131","44,493,555",,"5,966,686,767","839,913,069",,,"886,763,387","2,951,169,315","3,791,082,384","2,951,169,315",,"35,304,391,274",,,,,
[000150],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"31,188,834,862",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,,,,"6,216,291,154",,,,,,,,,,,,,,,,,,,,"10,893,306,545",,,"3,923,951,805",,,,"6,140,589,706","15,682,604,932","11,758,653,127","-5,618,063,421",,,,,,
[241560],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"77,916,981,000",,,,,"9,421,000",0,,,,,,,,,,,,,,,,,,,,,"8,691,190,000",,,,,,,,,,,,,,"625,000",,,,,,,,,,,,,,,,,,,"4,020,751,000","5,955,099,000",,"86,608,171,000","17,174,011,000",,,,"62,686,739,000","79,860,750,000",,,"86,608,171,000",,,,,
[336370],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[042670],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28,586,731,370",,,,,"906,899,967","3,654,421,827",,,,,,,,,,,,,,,,,,,,,"98,925,253,761",,,,,,,,,,82,,,,,,,,,,,,,,82,,,"565,858,438,012",,,,,,"52,209,074,026","57,846,626,883",,"127,511,985,131","11,410,774,099",,"-3,052,604,138",,"17,013,384,130","28,424,158,229",,,"693,370,423,143",,,,,
[034020],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-46,678,581,301",,,,,"4,341,499,155","14,588,498,633",,,,,,,,,,,,,,,,,,,,,"75,254,652,196",,,,,,,,,,,,,,"-10,246,999,478",,,,,,,,,,-617,,,"770,627,284,811",-617,,,,,"165,561,951,670","144,799,314,393",,"28,576,070,895","42,701,622,428",,,,"-120,389,840,484","-77,688,218,056",,,"799,203,355,706",,,,,
[003160],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20,188,146",,,,,,"148,837,235","41,528,311",,,,,,,,,"245,955,311","54,654,270",,,,,,,,,"35,513,592","314,547,725",,"88,200,000",,"27,621,294",,,,,,,"2,801,249,127",,,,,"23,407,037","8,297,212",,,,,,,,,,,,,,,,,,,,,"5,399,975,804",,,,,,,,,,,,,,"702,376,578",,,,,,,,,,64,,,"21,799,661,764",64,,,,,"711,837,922","265,207,962",,"8,903,601,509","542,209,632",,,,"1,827,519,360","2,369,728,992",,,"30,703,263,273",,,,,
[001530],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-180,734,730",,,,,"5,579,125,383","777,467,794",,,,,,,,,,,,,,,,,,,,,"2,480,109,883",,,,,,,,,,,,,,,,,,,,,,,,"1,538",,,"72,001,913,198",,,,,,"3,423,809,875","2,098,788,022",,"2,299,375,153","577,219,189",,,,"2,718,681,817","3,295,901,006",,,"74,301,288,351",,,,,
[066900],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"352,850,038",,,,,"288,695,247","24,730,500",,,,,,,,,,,,,,,,,,,,,"2,749,959,825",,,,,,,,,,,,,,,,,,,,,,,,46,,,"66,918,194,528",46,,,,,"738,347,611","1,112,869,654",,"3,102,809,863","150,683,748",,,,"840,653,080","991,336,828",,,"70,021,004,391",,,,,
[171010],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,440,557,313",,,,,"162,771,856","154,153,655",,,,,,,,,,,,,,,,,,,,,"789,452,303",,,,,,,,,,,,,,,,,,,,,,,,92,,,"9,243,329,199",,,,,,"391,285,151","6,934,088",,"2,230,009,616",0,,,,"1,064,824,451","1,064,824,451",,,"11,473,338,815",,,,,
[267980],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"595,956,325",,"75,736,231",,,,,,"717,016,821","845,928,563",,,,,,,,,,,,"624,648,000","32,143,433","49,040,000",,,,,,,"19,163,312,464",,,,,"977,585,449","895,463,543",,,,,,,,,,,,,,,,,,,,,"85,362,420,504",,,,,,,,,,,,,,,,,,,,,,,,"2,075",,,"245,880,838,696","2,075",,,,,"1,422,848,254","1,517,621,119",,"104,525,732,968","3,069,102,257",,,,"16,271,104,978","19,340,207,235",,,"350,406,571,664",,,,,
