,dart_AdvertisingExpenses,dart_AmortisationExpense,dart_BadDebtExpenses,dart_Commissions,dart_CommunicationExpenses,dart_CostOfSalesFromConstructionContracts,dart_CostOfSalesFromRenderingOfServices,dart_CostOfSalesFromSaleOfGoods,dart_DepreciationExpense,dart_DividendIncome,dart_Donations,dart_EmployeeBenefits,dart_EntertainmentExpenses,dart_FreightExpenses,dart_GainOnForeignExchangeTranslations,dart_GainsForeignCurrencyTransactions,dart_GainsOnDisposalsOfPropertyPlantAndEquipment,dart_InsurancePremiums,dart_InterestExpenseFinanceExpense,dart_InterestIncomeFinanceIncome,dart_LossOnForeignExchangeTranslations,dart_LossesForeignCurrencyTransactions,dart_LossesOnDisposalsOfInvestments,dart_LossesOnDisposalsOfPropertyPlantAndEquipment,dart_MiscellaneousIncome,dart_MiscellaneousLosses,dart_OperatingIncomeLoss,dart_OrdinaryDevelopmentExpense,dart_OtherCostOfSales,dart_OtherGains,dart_OtherLosses,dart_OtherReversalsOfProvisions,dart_ProvisionForSeveranceIndemnities,dart_PublicationExpenses,dart_RentalExpenses,dart_RepairExpenses,dart_SalariesWages,dart_SupplyExpenses,dart_TaxesDues,dart_TotalSellingGeneralAdministrativeExpenses,dart_TrainingExpenses,dart_TravelExpenses,dart_UtilityExpenses,dart_VehicleMaintenanceExpenses,dart_WritedownsOfInventories,dart_WritedownsOfPropertyPlantAndEquipment,entity_BasicEarningsLossPerShare,entity_CostOfSales,entity_DilutedEarningsLossPerShare,entity_EarningsPerShareAbstract,entity_FinanceCosts,entity_FinanceIncome,entity_GrossProfit,entity_IncomeStatementAbstract,entity_OperatingIncomeLoss,entity_OtherGains,entity_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates,entity_OtherLosses,entity_ProfitLoss,entity_ProfitLossBeforeTax,entity_ProfitLossFromDiscontinuedOperations,entity_Revenue,entity_TotalSellingGeneralAdministrativeExpenses,ifrs_AdministrativeExpense,ifrs_BasicEarningsLossPerShare,ifrs_BasicEarningsLossPerShareFromContinuingOperations,ifrs_BasicEarningsLossPerShareFromDiscontinuedOperations,ifrs_CostOfSales,ifrs_DepreciationAndAmortisationExpense,ifrs_DilutedEarningsLossPerShare,ifrs_DilutedEarningsLossPerShareFromContinuingOperations,ifrs_DilutedEarningsLossPerShareFromDiscontinuedOperations,ifrs_DistributionCosts,ifrs_EarningsPerShareAbstract,ifrs_EmployeeBenefitsExpense,ifrs_FinanceCosts,ifrs_FinanceIncome,ifrs_GainsArisingFromDerecognitionOfFinancialAssetsMeasuredAtAmortisedCost,ifrs_GrossProfit,ifrs_IncomeTaxExpenseContinuingOperations,ifrs_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates,ifrs_OtherRevenue,ifrs_ProfitLoss,ifrs_ProfitLossBeforeTax,ifrs_ProfitLossFromContinuingOperations,ifrs_ProfitLossFromDiscontinuedOperations,ifrs_RawMaterialsAndConsumablesUsed,ifrs_Revenue,ifrs_RevenueFromConstructionContracts,ifrs_RevenueFromDividends,ifrs_RevenueFromRenderingOfServices,ifrs_RevenueFromRoyalties,ifrs_RevenueFromSaleOfGoods,ifrs_ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod
[060370],,,,,,,,,,,,,,,,,,,,,,,,,,,"66,661,266",,,"122,566,242","245,721,434",,,,,,,,,"1,536,880,219",,,,,,,,,,,,,,"102,012,629",,,,,,,,,,,12,,,"9,593,443,221",,,,,,,,,"245,781,050",,"1,603,541,485","-158,826,953",,,"246,101,448","87,274,495",,,,,,,,,,
[003550],,,,,,,,,,,,,,,,,,,,,,,,,,,"263,920,000,000",,,,,,,,,,,,,,,,,,,,,,,"1,436,000,000",,,,"130,000,000",,,,,,,,"25,571,000,000",,,,,,,,,,,,,,,,,,"21,682,000,000",,,"243,863,000,000","265,545,000,000",,,,"303,347,000,000",,,,,,
[001120],,,,,,,,,,,,,,,,,,,,,,,,,,,"10,180,329,207",,,,,,,,,,,,,"41,110,886,729",,,,,,,,,,,,,,"1,253,579,194",,,,,,,,,,,226,,,"791,989,055,438",,,,,,,,,,,"51,291,215,936","5,058,290,881",,,"8,721,169,677","13,779,460,558",,,,"843,280,271,374",,,,,,
[051900],,,,,,,,,,,,,,,,,,,,,,,,,,,"135,440,088,020",,,,,,,,,,,,,"322,163,134,864",,,,,,,,,,"5,702",,,,"-4,472,447,383",,,,,,,,,,,"5,689",,,"325,327,427,024",,,,,,,,"8,333,240,994","1,952,531,199",,"457,603,222,884","29,225,936,313",,,"95,360,994,529","124,586,930,842",,,,"782,930,649,908",,,,,,
[032640],,,,"1,320,922,000,000",,,,,"390,561,000,000",,,,,,,,,,,,,,,,,,"161,216,000,000",,,"9,156,000,000","7,926,000,000",,,,,,"143,267,000,000",,,"1,854,750,000,000",,,,,,,,,,,,,,,,,,,,,,,,,203,,,"534,274,000,000",,,,,,,,"54,600,000,000","9,113,000,000",,"2,015,966,000,000","28,175,000,000",,,"88,784,000,000","116,959,000,000",,,,"2,550,240,000,000",,,,,,
[011070],,,,,,,,,,,,,,,,,,,,,,,,,,,"65,529,343,367",,,"17,441,189,685","28,547,658,647",,,,,,,,,"115,508,581,851",,,,,,,,,,,,,,,,,,,,,,,"73,651,447,438",,,"1,069",,"1,249,489,063,388",,,"1,069",,,,,"14,468,836,134","4,238,753,925",,"181,037,925,218","18,902,058,166",,,"25,290,734,030","44,192,792,196","25,290,734,030",,,"1,430,526,988,606",,,,,,
[066570],,,,,,,,,,,,,,,,,,,,,,,,,,,"-96,982,000,000",,,"304,317,000,000","429,104,000,000",,,,,,,,,"604,772,000,000",,,,,,,,,,"-12,000,000",,,,"85,251,000,000",,,,,,,,,,"163,477,000,000","-1,168","-1,156",-12,"5,585,406,000,000",,,,,,,,"108,341,000,000","50,559,000,000",,"1,277,955,000,000","-71,626,000,000",,,"-210,001,000,000","-279,551,000,000","-207,925,000,000","-2,076,000,000",,"6,863,361,000,000",,,,,,
[108670],,,,,,,,,,,,,,,,,,,,,,,,,,,"24,492,000,000",,,,,,,,,,,,,"109,084,000,000",,,,,,,,,,,,,,"4,050,000,000",,,,,,,,,,,,887,-3,"415,493,000,000",,,899,-3,,,,,,,"133,576,000,000","2,018,000,000",,,"8,837,000,000","10,881,000,000","8,863,000,000","-26,000,000",,"549,069,000,000",,,,,,
[051910],,,,,,,,,,,,,,,,,,,,,,,,,,,"294,579,000,000",,,"59,180,000,000","82,336,000,000",,,,,,,,,"376,484,000,000",,,,,,,,,,"3,222,000,000",,,,,,,,,,,,,,,,,,"3,549,179,000,000",,,,,,,,"44,052,000,000","65,441,000,000",,"671,063,000,000","56,695,000,000",,,"236,117,000,000","292,812,000,000",,,,"4,220,242,000,000",,,,,,
[010060],,"151,249,000",,"5,043,953,000",,,"1,851,102,000",,"197,071,000",,,"1,234,427,000",,"9,308,955,000",,,,,,,,,,,,,"-6,545,161,000","6,160,694,000",,,,,"1,232,445,000",,,,"7,806,292,000",,,"32,988,687,000",,"568,872,000",,,,,,"6,583,007,000",,"-131,000",,,,"-3,354,269,000",,,,,,,,"9,916,099,000","2,539,846,000",,-236,,,"520,229,471,000",,,,,,,,,,,"26,443,526,000","-3,117,195,000",,,"-5,618,575,000","-6,230,291,000","-3,113,096,000","-2,505,479,000",,"546,672,997,000",,,"2,053,330,000",,,
[066270],,,,,,,,,,,,,,,,,,,,,,,,,,,"-3,392,300,951",,,,,,,,,,,,,,,,,,,,,,,,,,,"1,129,384,366",,,,,,,,,,,-94,,,,,,,,,,,,"396,373,240",,,0,,,"-3,965,068,208","-3,965,068,208",,,,"20,613,941,288",,,,,,
[017670],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,170,000,000",,,,,,,,"3,133,456,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,"3,133,456,000,000",,,,,,
[009450],,,,,,,,,,,,,,,,,,,,,,,,,,,"4,064,427,205",,,"1,092,269,972","3,143,033,303",,,,,,,,,"18,374,808,955",,,,,,,,,,,,,,,,,,,,,,,,,105,,,"66,082,824,823",,105,,,,,,"541,317,886","81,449,596",,"22,439,236,160","222,960,793",,,"1,330,834,791","1,553,795,584",,,,"88,522,060,983",,,,,,
