,dart_AdvertisingExpenses,dart_AmortisationExpense,dart_BadDebtExpenses,dart_Commissions,dart_CommunicationExpenses,dart_CostOfSalesFromConstructionContracts,dart_CostOfSalesFromDividends,dart_CostOfSalesFromRenderingOfServices,dart_CostOfSalesFromSaleOfGoods,dart_DepreciationExpense,dart_DividendIncome,dart_Donations,dart_EmployeeBenefits,dart_EntertainmentExpenses,dart_FreightExpenses,dart_GainOnForeignExchangeTranslations,dart_GainsForeignCurrencyTransactions,dart_GainsFromGovernmentGrants,dart_GainsOnDisposalsOfInvestments,dart_GainsOnDisposalsOfPropertyPlantAndEquipment,dart_InsurancePremiums,dart_InterestExpenseFinanceExpense,dart_InterestIncomeFinanceIncome,dart_LossArisingFromDifferenceBetweenCarryingAmountOfFinancialLiabilityExtinguishedAndConsiderationPaid,dart_LossOnDispositionOfReceivables,dart_LossOnForeignExchangeTranslations,dart_LossesForeignCurrencyTransactions,dart_LossesOnDisposalsOfInvestments,dart_LossesOnDisposalsOfPropertyPlantAndEquipment,dart_MiscellaneousIncome,dart_MiscellaneousLosses,dart_OperatingIncomeLoss,dart_OrdinaryDevelopmentExpense,dart_OtherCostOfSales,dart_OtherGains,dart_OtherLosses,dart_OtherReversalsOfProvisions,dart_ProvisionForSeveranceIndemnities,dart_PublicationExpenses,dart_RentalExpenses,dart_RepairExpenses,dart_SalariesWages,dart_SupplyExpenses,dart_TaxesDues,dart_TotalSellingGeneralAdministrativeExpenses,dart_TrainingExpenses,dart_TravelExpenses,dart_UtilityExpenses,dart_VehicleMaintenanceExpenses,dart_WritedownsOfInventories,dart_WritedownsOfPropertyPlantAndEquipment,entity_BasicEarningsLossPerShare,entity_BasicEarningsLossPerShareFromContinuingOperations,entity_BasicEarningsLossPerShareFromDiscontinuedOperations,entity_CostOfSales,entity_DilutedEarningsLossPerShare,entity_DilutedEarningsLossPerShareFromContinuingOperations,entity_DilutedEarningsLossPerShareFromDiscontinuedOperations,entity_EarningsPerShareAbstract,entity_FinanceCosts,entity_FinanceIncome,entity_GrossProfit,entity_IncomeStatementAbstract,entity_OperatingIncomeLoss,entity_OtherGains,entity_OtherLosses,entity_ProfitLoss,entity_ProfitLossAttributableToAbstract,entity_ProfitLossAttributableToNoncontrollingInterests,entity_ProfitLossAttributableToOwnersOfParent,entity_ProfitLossBeforeTax,entity_ProfitLossFromContinuingOperations,entity_ProfitLossFromDiscontinuedOperations,entity_Revenue,entity_ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,entity_TotalSellingGeneralAdministrativeExpenses,ifrs_AdministrativeExpense,ifrs_BasicEarningsLossPerShare,ifrs_BasicEarningsLossPerShareFromContinuingOperations,ifrs_BasicEarningsLossPerShareFromDiscontinuedOperations,ifrs_CostOfSales,ifrs_DepreciationAndAmortisationExpense,ifrs_DilutedEarningsLossPerShare,ifrs_DilutedEarningsLossPerShareFromContinuingOperations,ifrs_DilutedEarningsLossPerShareFromDiscontinuedOperations,ifrs_EarningsPerShareAbstract,ifrs_EmployeeBenefitsExpense,ifrs_FinanceCosts,ifrs_FinanceIncome,ifrs_GainsArisingFromDerecognitionOfFinancialAssetsMeasuredAtAmortisedCost,ifrs_GrossProfit,ifrs_IncomeTaxExpenseContinuingOperations,ifrs_OtherRevenue,ifrs_ProfitLoss,ifrs_ProfitLossAttributableToAbstract,ifrs_ProfitLossAttributableToNoncontrollingInterests,ifrs_ProfitLossAttributableToOwnersOfParent,ifrs_ProfitLossBeforeTax,ifrs_ProfitLossFromContinuingOperations,ifrs_ProfitLossFromDiscontinuedOperations,ifrs_RawMaterialsAndConsumablesUsed,ifrs_Revenue,ifrs_RevenueFromConstructionContracts,ifrs_RevenueFromDividends,ifrs_RevenueFromRenderingOfServices,ifrs_RevenueFromSaleOfGoods,ifrs_ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod
[001120],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"44,605,293,914",,,,,,,,,,,,,"141,706,302,414",,,,,,,,,,,,,,,,,,"15,813,687,325",,,,,,,,,,,,,,,612,,,"2,829,025,927,185",,612,,,,,,,,"186,311,596,328","17,695,809,914",,"33,608,123,858",,"9,949,847,234","23,658,276,624","51,303,933,772",,,,"3,015,337,523,513",,,,,
[051900],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"233,512,997,524",,,,,,,,,,,,,"683,868,278,854",,,,,,,,,,,,,,"9,461",,,,"2,512,982,237",,,,,,,,,,,,,,,"9,448",,,"601,998,838,102",,,,,,,"5,643,718,488","1,053,026,885",,"917,381,276,378","58,324,054,448",,"160,551,600,962",,"2,214,176,281","158,337,424,681","218,875,655,410",,,,"1,519,380,114,480",,,,,
[032640],,,,"1,335,164,000,000",,,,,,"402,955,000,000",,,,,,,,,,,,,,,,,,,,,,"170,597,000,000",,,"17,549,000,000","13,359,000,000",,,,,,"195,117,000,000",,,"1,933,236,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252,,,"608,962,000,000",,,,,,,"41,433,000,000","10,558,000,000",,"2,103,833,000,000","33,963,000,000",,"110,073,000,000",,"-56,000,000","110,129,000,000","144,036,000,000",,,,"2,712,795,000,000",,,,,"124,000,000"
[011070],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"404,494,420",,,"44,575,726,151","48,394,318,830",,,,,,,,,"133,015,039,812",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"77,351,119,955",,,-512,,"1,061,615,573,652",,,-512,,,,"14,991,122,846","5,441,359,546",,"133,419,534,232","-845,324,080",,"-12,118,537,479",,,"-12,118,537,479","-12,963,861,559","-12,118,537,479",,,"1,195,035,107,884",,,,,
[066570],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"505,163,000,000",,,"650,568,000,000","730,915,000,000",,,,,,,,,"1,514,095,000,000",,,,,,,,,,,,,,0,,,,"326,585,000,000",,,,,,0,0,,,,,,,"327,803,000,000","1,058","1,058",0,"10,038,408,000,000",,,,,,,"244,965,000,000","124,089,000,000",,"3,323,682,000,000","83,502,000,000",,"198,068,000,000",,"7,421,000,000","190,647,000,000","281,570,000,000","198,068,000,000",0,,"13,362,090,000,000",,,,,"-22,370,000,000"
[108670],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"42,413,000,000",,,,,,,,,,,,,"145,507,000,000",,,,,,,,,,,,,,,,,,"-3,000,000",,,,,,0,"-4,010,000,000",,,,,,,,,"2,621",-402,"473,244,000,000",,,"2,633",-402,,,,,,"187,920,000,000","9,174,000,000",,"21,923,000,000",,"-231,000,000","22,154,000,000","35,107,000,000","25,933,000,000","-4,010,000,000",,"661,164,000,000",,,,,
[051910],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"457,745,000,000",,,"170,650,000,000","200,916,000,000",,,,,,,,,"476,628,000,000",,,,,,,,,,,,,,"4,632,000,000",,,,,,,,,,,,,,,,,,,,,,"3,939,719,000,000",,,,,,,"45,379,000,000","43,322,000,000",,"934,373,000,000","84,959,000,000",,"338,125,000,000",,"-1,637,000,000","339,762,000,000","423,084,000,000",,,,"4,874,092,000,000",,,,,"-2,338,000,000"
[104200],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,246,056,267",,,"8,781,471","17,763,822",,,,,,,,,,,,,,,,,,,,,,,,,,,"13,924,514,147",,,,,,,,,,,,,,,84,,,,,84,,,,,"41,460,931","303,561,749",,,"337,721,741",,"1,190,464,157",,,"1,190,464,157","1,528,185,898","1,190,464,157",,,"15,170,570,414",,,,,"29,011,164"
[010060],,"572,028,000",,"3,091,443,000",,,,"833,934,000","676,187,821,000","749,930,000",,,"2,614,226,000",,"10,169,776,000",,,,,,,,,,,,,,,,,"73,817,364,000","5,825,644,000","298,119,000",,,,"1,411,547,000",,,,"14,066,534,000",,,"48,199,361,000",,"1,053,912,000",,,,,,,,"4,292,170,000",,,,,,,,"194,771,318,000",,,,,,,,,,,"5,599,147,000",,"7,973,575,000",,"10,024",,,"767,694,957,000",,"2,041",,,,,,,,"122,016,725,000","34,912,882,000","239,227,000","247,875,467,000",,"8,810,471,000","239,064,996,000","88,017,031,000","53,104,149,000",,,"889,711,682,000",,,"896,059,000","786,943,693,000",
[017670],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,099,000,000",,,,,,,,,,,"4,228,463,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,228,463,000,000",,,,,
