,dart_AdvertisingExpenses,dart_AmortisationExpense,dart_BadDebtExpenses,dart_Commissions,dart_CommunicationExpenses,dart_CostOfSalesFromConstructionContracts,dart_CostOfSalesFromDividends,dart_CostOfSalesFromRenderingOfServices,dart_CostOfSalesFromSaleOfGoods,dart_DepreciationExpense,dart_DividendIncome,dart_Donations,dart_EmployeeBenefits,dart_EntertainmentExpenses,dart_FreightExpenses,dart_GainOnForeignExchangeTranslations,dart_GainsForeignCurrencyTransactions,dart_GainsFromGovernmentGrants,dart_GainsOnDisposalsOfInvestments,dart_GainsOnDisposalsOfPropertyPlantAndEquipment,dart_InsurancePremiums,dart_InterestExpenseFinanceExpense,dart_InterestIncomeFinanceIncome,dart_LossArisingFromDifferenceBetweenCarryingAmountOfFinancialLiabilityExtinguishedAndConsiderationPaid,dart_LossOnDispositionOfReceivables,dart_LossOnForeignExchangeTranslations,dart_LossesForeignCurrencyTransactions,dart_LossesOnDisposalsOfInvestments,dart_LossesOnDisposalsOfPropertyPlantAndEquipment,dart_MiscellaneousIncome,dart_MiscellaneousLosses,dart_OperatingIncomeLoss,dart_OrdinaryDevelopmentExpense,dart_OtherCostOfSales,dart_OtherGains,dart_OtherLosses,dart_OtherReversalsOfProvisions,dart_ProvisionForSeveranceIndemnities,dart_PublicationExpenses,dart_RentalExpenses,dart_RepairExpenses,dart_SalariesWages,dart_SupplyExpenses,dart_TaxesDues,dart_TotalSellingGeneralAdministrativeExpenses,dart_TrainingExpenses,dart_TravelExpenses,dart_UtilityExpenses,dart_VehicleMaintenanceExpenses,dart_WritedownsOfInventories,dart_WritedownsOfPropertyPlantAndEquipment,entity_BasicEarningsLossPerShare,entity_BasicEarningsLossPerShareFromContinuingOperations,entity_BasicEarningsLossPerShareFromDiscontinuedOperations,entity_CostOfSales,entity_DilutedEarningsLossPerShare,entity_DilutedEarningsLossPerShareFromContinuingOperations,entity_DilutedEarningsLossPerShareFromDiscontinuedOperations,entity_EarningsPerShareAbstract,entity_FinanceCosts,entity_FinanceIncome,entity_GrossProfit,entity_IncomeStatementAbstract,entity_OperatingIncomeLoss,entity_OtherGains,entity_OtherLosses,entity_ProfitLoss,entity_ProfitLossAttributableToAbstract,entity_ProfitLossAttributableToNoncontrollingInterests,entity_ProfitLossAttributableToOwnersOfParent,entity_ProfitLossBeforeTax,entity_ProfitLossFromContinuingOperations,entity_ProfitLossFromDiscontinuedOperations,entity_Revenue,entity_ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,entity_TotalSellingGeneralAdministrativeExpenses,ifrs_AdministrativeExpense,ifrs_BasicEarningsLossPerShare,ifrs_BasicEarningsLossPerShareFromContinuingOperations,ifrs_BasicEarningsLossPerShareFromDiscontinuedOperations,ifrs_CostOfSales,ifrs_DepreciationAndAmortisationExpense,ifrs_DilutedEarningsLossPerShare,ifrs_DilutedEarningsLossPerShareFromContinuingOperations,ifrs_DilutedEarningsLossPerShareFromDiscontinuedOperations,ifrs_EarningsPerShareAbstract,ifrs_EmployeeBenefitsExpense,ifrs_FinanceCosts,ifrs_FinanceIncome,ifrs_GainsArisingFromDerecognitionOfFinancialAssetsMeasuredAtAmortisedCost,ifrs_GrossProfit,ifrs_IncomeTaxExpenseContinuingOperations,ifrs_OtherRevenue,ifrs_ProfitLoss,ifrs_ProfitLossAttributableToAbstract,ifrs_ProfitLossAttributableToNoncontrollingInterests,ifrs_ProfitLossAttributableToOwnersOfParent,ifrs_ProfitLossBeforeTax,ifrs_ProfitLossFromContinuingOperations,ifrs_ProfitLossFromDiscontinuedOperations,ifrs_RawMaterialsAndConsumablesUsed,ifrs_Revenue,ifrs_RevenueFromConstructionContracts,ifrs_RevenueFromDividends,ifrs_RevenueFromRenderingOfServices,ifrs_RevenueFromSaleOfGoods,ifrs_ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod
[001040],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"364,086,816,000",,,"18,434,409,000","48,301,540,000",,,,,,,,,"1,407,453,037,000",,,,,,,,,,,,,,"2,086,000",,,,,,,,,,,,,,,"23,181,349,000",,,,"2,044",,,"3,754,895,269,000",,"2,036",,,,,"230,717,044,000","113,169,014,000",,"1,771,539,853,000","79,966,648,000","390,321,947,000","155,552,462,000",,"97,383,983,000","58,168,479,000","235,519,110,000","155,552,462,000",,,"5,526,435,122,000","84,812,799,000",,"1,973,068,498,000","3,055,050,529,000","18,847,455,000"
[000120],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"51,641,179,145",,,"2,464,492,993","17,575,849,042",,,,,,,,,"89,987,409,861",,,,,,,,,,,,,,,,,,"4,575,379,238",,,,,,,,,,"-5,110,460,660",,,,,997,"1,193",-196,"1,128,474,484,368",,,,,,,"28,401,587,764","15,152,700,459",,"141,628,589,006","4,881,352,278",,"17,864,502,091",,"496,330,267","17,368,171,824","27,856,315,029","22,974,962,751","-5,110,460,660",,"1,270,103,073,374",,,,,
[155660],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,855,580,510",,,"1,292,492,607","1,358,161,991",,,,,,,,,"4,999,813,422",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231,,,"44,345,602,337",,,,,,,"638,282,554","563,568,170",,"9,855,393,932","979,454,755",,,,"34,441,125","3,701,300,862","4,715,196,742",,,,"54,200,996,269",,,,,
[078930],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"317,806,000,000",,,"48,816,000,000","46,684,000,000",,,,,,,,,"320,247,000,000",,,,,,,,,,,,,,"3,280,000,000",,,,"-3,450,000,000",,,,,,,,,,,,,,,"3,243",,,"2,314,933,000,000",,,,,,,"62,048,000,000","20,592,000,000",,"638,053,000,000","197,822,000,000",,"77,210,000,000",,"16,835,000,000","60,375,000,000","278,482,000,000",,,,"2,952,986,000,000",,,,,
[006360],,,,,,,,"79,492,784,140","2,453,751,010,317",,,,,,,,,,,,,,,,,,,,,,,"10,884,440,049",,"142,903,257,628","211,029,514,300","267,272,822,450",,,,,,,,,"101,825,290,182",,,,,,,,,,,,,,,,,,737,,,,"476,161,987",,,,,,,,,,,,,,"2,676,147,052,085",,,,,,,"271,098,800,561","336,295,408,847",,"112,709,730,231","-33,210,818,003","164,080,093,977","53,379,046,114",,,,"20,168,228,111",,,,"2,788,856,782,316",,,"117,029,122,517","2,507,747,565,822","330,487,926"
[001250],,,,,,,,"12,772,990,541",,,,,,,,,,,,,,,,,,,,,,,,"8,946,008,280",,,"36,810,048,151","38,083,985,617",,,,,,,,,,,,,,,,,,,"8,091,799,589",,,,,,,,"80,961,003",,,,,,,,,,,"6,693,035,038",,,"12,158,176,803",52,,,"485,296,260,988",,,,,,,"2,413,405,997","182,591,583",,"24,399,476,027","324,302,040",,"1,257,178,057",,,,"1,581,480,097",,,,"509,695,737,015",,,"15,121,860,838",,
[028150],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,507,944,094",,,"88,338,545","703,259,147",,,,,,,,,"201,850,928,230",,,,,,,,,,,,,,"1,918",,,,,,,,,,,,,,,,0,,,,,,"36,536,183,550",,,,,,,"38,083,772","3,860,514,153",,"218,358,872,324","5,392,884,682",,"11,853,450,740",,"-114,869,943","11,968,320,683","17,246,335,422",,,,"254,895,055,874",,,,,"-2,469,118,451"
[024120],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,983,215,971",,,"101,213,247","89,993,208",,,,,,,,,"2,263,284,871",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138,,,"27,699,758,762",,,,,,,"1,821,093,911","1,895,263,770",,"4,246,500,842","479,258,595",,"1,589,347,274",,,"1,589,347,274","2,068,605,869",,,,"31,946,259,604",,,,,
[083470],,,,,,,,,,,,,,,,,,,,,,,"47,746,856",,,,,,,,,"2,095,087,651",,,,,,,,,,,,,"2,699,498,450",,,,,,,,,,,,,,,,"1,437,087,366",,152,,,,,,,,,,,,,,,,,,"22,078,764,013",,,,,,,,"4,056,229,386",,"6,248,315,523","20,200,994",,,,,,"2,968,897,237",,,,,,,,,
[003550],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"373,347,000,000",,,,,,,,,,,,,"128,300,000,000",,,,,,,,,,,,,,"1,803,000,000",,,,,"16,683,000,000",,,,,,,,,,"241,054,000,000",,,,,,,"2,088,618,000,000",,,,,,,,,,"501,647,000,000","37,722,000,000","109,023,000,000","320,210,000,000",,"3,475,000,000","316,735,000,000","358,150,000,000","320,428,000,000","-218,000,000",,"2,590,265,000,000","357,994,000,000",,"580,672,000,000","1,301,522,000,000",
